date,fsi_variance_equal,fsi_std,p_calm,p_stress,p_crisis,hmm_stress_prob,combined_stress,combined_stress_norm,regime_realtime,early_warning,possible_false_alarm,agreement
2018-12-01,-0.1161163282486784,-0.7988528381561505,4.504992086789336e-16,7.649476068157135e-22,1.0,1.0,0.10057358092192475,0.388751998803784,CRISIS,False,True,False
2019-01-01,-0.4925821472138276,-1.8219944392348244,1.0,0.0,0.0,0.0,-0.9109972196174122,0.06752011971840798,CALM,False,False,True
2019-02-01,-0.6490519925037068,-2.2472410352484715,1.0,0.0,0.0,0.0,-1.1236205176242358,0.0,CALM,False,False,True
2019-03-01,-0.5707557015949392,-2.034450953378292,1.0,0.0,0.0,0.0,-1.017225476689146,0.03378654159127771,CALM,False,False,True
2019-04-01,-0.4763150022612042,-1.77778433597085,1.0682175602958298e-11,0.999999999989317,6.301533305141068e-291,0.999999999989317,-0.38889216799076654,0.23331848669833016,STRESS,False,False,True
2019-05-01,-0.8370742919146109,-2.7582394493583453,1.2565791309178145e-18,0.9999313542443572,6.864575564621134e-05,1.0000000000000033,-0.879119724679171,0.0776430568317431,STRESS,False,False,True
2019-06-01,-0.3752095263790375,-1.5030044933910973,6.828263018569806e-53,1.0,1.5083138525476898e-251,1.0,-0.25150224669554866,0.27694768453749663,STRESS,False,False,True
2019-07-01,-0.127430867449117,-0.8296029758043065,7.0145283125078295e-31,0.9999921979861914,7.802013805298866e-06,0.9999999999999968,0.08519851209784512,0.38386953061985385,STRESS,False,False,True
2019-08-01,0.3363716887617345,0.43089841911750376,2.208741182245292e-15,0.9999709302225624,2.906977743623877e-05,0.9999999999999987,0.7154492095587512,0.5840103568796593,STRESS,False,False,True
2019-09-01,0.2669946469890882,0.2423486650057274,4.616878058493367e-14,0.9812268039740294,0.0187731960259244,0.9999999999999538,0.6211743325028406,0.5540726640448459,STRESS,False,False,True
2019-10-01,0.0297540058102206,-0.40241310944675823,2.123669483187613e-30,3.0837524948319297e-12,0.9999999999969162,1.0,0.2987934452766209,0.45169820035958036,CRISIS,False,True,False
2019-11-01,0.1149251539819375,-0.17093885463748829,5.245486491008026e-18,2.6266700817453183e-08,0.999999973733296,0.9999999999999968,0.41453057268125426,0.488451391432624,CRISIS,False,True,False
2019-12-01,0.0047208663845362,-0.47044703194847526,4.94626830619286e-27,2.9677601663001526e-11,0.9999999999703276,1.0000000000000053,0.26477648402576504,0.4408958597052627,CRISIS,False,True,False
2020-01-01,0.1695547163474016,-0.02246912620776729,1.5253595899167819e-176,1.0,5.266753385242474e-306,1.0,0.48876543689611635,0.5120252281948888,STRESS,False,False,True
2020-02-01,0.2357112440148243,0.15732806182251846,1.1696894142383819e-31,0.0006151958731573,0.9993848041268492,1.0000000000000064,0.5786640309112625,0.5405731995946383,CRISIS,False,True,False
2020-03-01,0.1018033211441801,-0.20660077235319113,4.3474098872949785e-59,1.3938176056888888e-06,0.9999986061823926,0.9999999999999982,0.3966996138234036,0.48278903698669945,CRISIS,False,True,False
2020-04-01,0.1838747400448996,0.016449179878074153,2.42834451136264e-60,6.658631608894543e-15,1.0,1.0000000000000067,0.5082245899390404,0.5182046278909415,CRISIS,False,True,False
2020-05-01,0.3027806516825057,0.33960623340563995,2.8867127520006676e-67,1.0,1.857728561330545e-21,1.0,0.66980311670282,0.5695150984427821,STRESS,False,False,True
2020-06-01,0.337171435225588,0.43307193351446377,5.818812530246004e-16,0.9999999999961916,3.796095386910345e-12,0.9999999999999877,0.7165359667572258,0.5843554647621618,STRESS,False,False,True
2020-07-01,0.2381910534674962,0.1640675746440308,5.28556579320509e-162,1.0,3.562043916312331e-33,1.0,0.5820337873220154,0.5416432909647224,STRESS,False,False,True
2020-08-01,0.1032543890614891,-0.20265712627060517,1.2529021323282063e-125,2.9919805716478785e-07,0.9999997008019528,1.00000000000001,0.3986714368647024,0.4834152041521045,CRISIS,False,True,False
2020-09-01,0.2975219091672874,0.32531426328343604,2.093683870701431e-169,1.0,6.317245664238409e-31,1.0,0.662657131641718,0.5672458374005793,STRESS,False,False,True
2020-10-01,0.0054235447793449,-0.4685373247142721,8.485921606163695e-147,1.0,2.495647827203514e-34,1.0,0.26573133764286394,0.4411990806182315,STRESS,False,False,True
2020-11-01,0.7888259960496717,1.6605580616476987,3.5792148255804764e-154,1.0,2.0773750366836878e-42,1.0,1.3302790308238492,0.7792541684817845,STRESS,False,False,True
2020-12-01,0.0327638985400323,-0.39423296051552226,1.7650480153421703e-68,0.0239282225681741,0.976071777431818,0.9999999999999921,0.30288351974223493,0.4529970341194001,CRISIS,False,True,False
2021-01-01,0.9565476047971426,2.1163841862639794,1.873447046852455e-58,1.0,4.904105045174413e-45,1.0,1.5581920931319897,0.8516296672944347,STRESS,False,False,True
2021-02-01,0.5841099958695851,1.104190270366053,0.0006654160217502,0.9993345839782432,6.51967470305848e-51,0.9993345839782432,1.0517624271721482,0.6908091363596522,STRESS,False,False,True
2021-03-01,0.5505595810099584,1.0130084858664887,1.0,9.489222354159535e-155,7.414854850110226e-98,7.414854850110226e-98,0.5065042429332444,0.5176583188228503,CALM,True,False,False
2021-04-01,0.3700094077444004,0.5223174747735109,1.0,5.874013261628225e-121,1.482126843272753e-66,1.482126843272753e-66,0.26115873738675544,0.439747017182046,CALM,False,False,True
2021-05-01,0.2920599426969267,0.31046998038177853,0.9940293018372028,2.696712222769016e-19,0.0059706981627923,0.0059706981627923,0.1582203392722854,0.4070581583906303,CALM,False,False,True
2021-06-01,0.7185491629362537,1.4695628957437852,1.0,4.357355302440584e-145,2.2571234579635816e-87,2.2571234579635816e-87,0.7347814478718926,0.5901494538533418,CALM,True,False,False
2021-07-01,1.111907920539474,2.538615353570598,3.518445515081316e-44,1.7973975642986202e-113,1.0,1.0,1.769307676785299,0.9186710010349901,CRISIS,False,False,True
2021-08-01,0.2925149243330748,0.31170650868320465,0.0618479807404585,8.203294086596639e-56,0.9381520192595312,0.9381520192595312,0.6249292639713679,0.5552650706374727,CRISIS,False,True,False
2021-09-01,0.7786726161804995,1.632963669773661,3.793318922664638e-17,1.6824909752717234e-101,1.0,1.0,1.3164818348868303,0.7748727656431551,CRISIS,False,False,True
2021-10-01,0.2253158500352339,0.12907593505744203,1.3499080400863607e-34,5.585044366280253e-94,1.0,1.0,0.564537967528721,0.5360873624371862,CRISIS,False,True,False
2021-11-01,0.8921535327309147,1.9413769195354291,1.1366560896990038e-170,7.309429528034972e-78,1.0,1.0,1.4706884597677146,0.8238422335750972,CRISIS,False,False,True
2021-12-01,0.1322361385045194,-0.12389185188603208,8.242687410212922e-60,2.2722548567195505e-52,1.0,1.0,0.43805407405698393,0.49592145536246873,CRISIS,False,True,False
2022-01-01,-0.6282575363399434,-2.1907268124395136,2.1963166431028696e-71,2.698904126976032e-88,1.0,1.0,-0.5953634062197568,0.16775199960912154,CRISIS,False,True,False
2022-02-01,0.2047841915316411,0.07327593172138565,2.1385641004782797e-105,1.6038553076736101e-96,1.0,1.0,0.5366379658606928,0.5272275080824269,CRISIS,False,True,False
2022-03-01,0.4563051379894168,0.7568480673565071,1.4429357445399153e-142,5.587449001176904e-167,1.0,1.0,0.8784240336782536,0.6357642321077736,CRISIS,False,False,True
