date,actual,forecast
2023-01-01,2121.0,2576.3981639476506
2023-02-01,2219.0,2641.83927255978
2023-03-01,2694.0,2609.0586817400326
2023-04-01,2761.0,2811.924545955378
2023-05-01,3491.0,3084.8539724893635
2023-06-01,3724.0000000000005,3362.964642853608
2023-07-01,3765.0,3560.524251921801
2023-08-01,3600.0,3610.5261067545216
2023-09-01,3540.0,3609.14237689874
2023-10-01,3569.0,3632.0624747400443
2023-11-01,3571.0,3789.156492062626
2023-12-01,4392.0,3694.8577234821296
2024-01-01,4496.0,3900.987231336354
2024-02-01,4520.0,4068.5363266920544
2024-03-01,4960.0,4107.096127199505
2024-04-01,5471.0,4320.766897332846
2024-05-01,5410.0,4670.556093830235
2024-06-01,5654.0,4755.388505600226
2024-07-01,5652.0,4840.364656016964
2024-08-01,5959.0,5030.388673830039
2024-09-01,5994.0,5119.160702348946
2024-10-01,6471.999999999999,5299.153333056528
2024-11-01,6450.999999999999,5475.964737416919
2024-12-01,6122.0,5568.808124934569
2025-01-01,6065.0,5733.258441907374
2025-02-01,6086.0,5756.555008495695
2025-03-01,6531.0,5589.129148853822
