group,forecast_date,info_loss_potential,cancellation_index,mean_loss_gain_agg_minus_disagg,share_models_helped,n_models
All models,2023-01-01,0.9512820881625089,0.04871791183749109,1417745.4093336265,0.7142857142857143,7
All models,2023-02-01,0.7939605786386126,0.20603942136138745,-11291.917171714998,0.5714285714285714,7
All models,2023-03-01,0.8936359055472526,0.10636409445274743,-87466.53669009963,0.14285714285714285,7
All models,2023-04-01,0.9931919394048917,0.006808060595108305,14233.81611766435,0.7142857142857143,7
All models,2023-05-01,0.9566419947014287,0.0433580052985714,9072.147403393106,0.2857142857142857,7
All models,2023-06-01,0.9210158976474291,0.07898410235257089,-197133.67965171539,0.42857142857142855,7
All models,2023-07-01,0.8759989738494494,0.12400102615055063,-284516.4896727328,0.42857142857142855,7
All models,2023-08-01,0.8763818478291562,0.12361815217084383,-218542.27377716688,0.5714285714285714,7
All models,2023-09-01,0.912988439187235,0.08701156081276504,-160964.32124967765,0.42857142857142855,7
All models,2023-10-01,0.9910907751980685,0.008909224801931319,-201745.62759752944,0.2857142857142857,7
All models,2023-11-01,0.8872634054945232,0.11273659450547675,-219983.6194789766,0.42857142857142855,7
All models,2023-12-01,0.8942167507530899,0.10578324924691007,-330190.6196940113,0.2857142857142857,7
All models,2024-01-01,0.9129512820367616,0.08704871796323845,-238160.08250531266,0.5714285714285714,7
All models,2024-02-01,0.8457616109859736,0.1542383890140264,-12313.523621530472,0.14285714285714285,7
All models,2024-03-01,0.8453723092126693,0.15462769078733077,-63674.05775733748,0.14285714285714285,7
All models,2024-04-01,0.9312597904691751,0.06874020953082492,-123621.50852048214,0.42857142857142855,7
All models,2024-05-01,0.9020506557081569,0.09794934429184303,-35807.35026957748,0.5714285714285714,7
All models,2024-06-01,0.9057419759857689,0.09425802401423115,-71419.7711529426,0.42857142857142855,7
All models,2024-07-01,0.9225176135939362,0.0774823864060638,-113183.6777342019,0.42857142857142855,7
All models,2024-08-01,0.8832659220875537,0.1167340779124463,-71370.32070948483,0.42857142857142855,7
All models,2024-09-01,0.9697885347486296,0.030211465251370407,-137927.63420480472,0.2857142857142857,7
All models,2024-10-01,0.9369930978000245,0.06300690219997551,-57280.23731210572,0.5714285714285714,7
All models,2024-11-01,0.9086666525619556,0.09133334743804447,-219233.76527333513,0.14285714285714285,7
All models,2024-12-01,0.9617268284835457,0.03827317151645423,-139747.5096537327,0.42857142857142855,7
All models,2025-01-01,0.9463769739594394,0.05362302604056054,-142762.64087081485,0.14285714285714285,7
All models,2025-02-01,0.8544330530330101,0.14556694696698988,3706.5499854532513,0.5714285714285714,7
All models,2025-03-01,0.8323097744821757,0.16769022551782437,-48077.06541290718,0.42857142857142855,7
Regime-switching,2023-01-01,0.9512820881625089,0.04871791183749109,18364.374461342013,1.0,2
Regime-switching,2023-02-01,0.7939605786386126,0.20603942136138745,21772.639513276008,1.0,2
Regime-switching,2023-03-01,0.8936359055472526,0.10636409445274743,-127820.7133822849,0.0,2
Regime-switching,2023-04-01,0.9931919394048917,0.006808060595108304,113565.65306822106,1.0,2
Regime-switching,2023-05-01,0.9566419947014286,0.043358005298571395,-12791.347583397874,0.0,2
Regime-switching,2023-06-01,0.9210158976474291,0.07898410235257089,13818.574756831395,1.0,2
Regime-switching,2023-07-01,0.8759989738494494,0.12400102615055063,64781.03322717616,1.0,2
Regime-switching,2023-08-01,0.8763818478291562,0.12361815217084383,17081.65395593248,1.0,2
Regime-switching,2023-09-01,0.9129884391872349,0.08701156081276504,43186.664213650336,1.0,2
Regime-switching,2023-10-01,0.9910907751980687,0.008909224801931319,10040.504088920668,0.5,2
Regime-switching,2023-11-01,0.8872634054945232,0.11273659450547675,104434.81099360912,1.0,2
Regime-switching,2023-12-01,0.8942167507530899,0.10578324924691007,-230253.06059748092,0.0,2
Regime-switching,2024-01-01,0.9129512820367616,0.08704871796323845,195384.6858177389,1.0,2
Regime-switching,2024-02-01,0.8457616109859736,0.1542383890140264,-12007.882977003508,0.0,2
Regime-switching,2024-03-01,0.8453723092126693,0.15462769078733077,-70841.86262701135,0.0,2
Regime-switching,2024-04-01,0.9312597904691751,0.06874020953082492,292220.59392453544,1.0,2
Regime-switching,2024-05-01,0.9020506557081569,0.09794934429184304,70969.53762293671,1.0,2
Regime-switching,2024-06-01,0.9057419759857689,0.09425802401423115,3423.626629347587,0.5,2
Regime-switching,2024-07-01,0.9225176135939362,0.0774823864060638,12183.81602924073,0.5,2
Regime-switching,2024-08-01,0.8832659220875537,0.1167340779124463,58807.16872181851,0.5,2
Regime-switching,2024-09-01,0.9697885347486296,0.030211465251370407,-11392.916822475663,0.0,2
Regime-switching,2024-10-01,0.9369930978000245,0.06300690219997551,109797.04206308129,1.0,2
Regime-switching,2024-11-01,0.9086666525619556,0.09133334743804447,-26400.070780000136,0.0,2
Regime-switching,2024-12-01,0.9617268284835457,0.03827317151645423,119310.36271675979,1.0,2
Regime-switching,2025-01-01,0.9463769739594394,0.053623026040560545,19431.36683404114,0.5,2
Regime-switching,2025-02-01,0.8544330530330101,0.14556694696698988,2498.2534107808087,1.0,2
Regime-switching,2025-03-01,0.8323097744821757,0.16769022551782437,-49731.89681766806,0.0,2
Other models,2023-01-01,0.9512820881625089,0.04871791183749109,1977497.8232825405,0.6,5
Other models,2023-02-01,0.7939605786386126,0.20603942136138748,-24517.739845711403,0.4,5
Other models,2023-03-01,0.8936359055472526,0.10636409445274744,-71324.86601322555,0.2,5
Other models,2023-04-01,0.9931919394048917,0.006808060595108303,-25498.91866255833,0.6,5
Other models,2023-05-01,0.9566419947014285,0.043358005298571395,17817.545398109498,0.4,5
Other models,2023-06-01,0.9210158976474292,0.07898410235257089,-281514.58141513413,0.2,5
Other models,2023-07-01,0.8759989738494494,0.12400102615055061,-424235.4988326963,0.2,5
Other models,2023-08-01,0.8763818478291562,0.12361815217084385,-312791.8448704066,0.4,5
Other models,2023-09-01,0.9129884391872348,0.08701156081276504,-242624.71543500884,0.2,5
Other models,2023-10-01,0.9910907751980688,0.008909224801931319,-286460.0802721095,0.2,5
Other models,2023-11-01,0.8872634054945232,0.11273659450547675,-349750.9916680109,0.2,5
Other models,2023-12-01,0.8942167507530898,0.10578324924691007,-370165.6433326234,0.4,5
Other models,2024-01-01,0.9129512820367616,0.08704871796323845,-411577.98983453325,0.4,5
Other models,2024-02-01,0.8457616109859736,0.1542383890140264,-12435.779879341255,0.2,5
Other models,2024-03-01,0.8453723092126693,0.15462769078733077,-60806.93580946794,0.2,5
Other models,2024-04-01,0.9312597904691751,0.06874020953082492,-289958.34949848923,0.2,5
