group,n_dates,n_models,pearson_corr,hac_slope,hac_p_value,r_squared,mean_loss_gain_low_info_loss_quartile,mean_loss_gain_high_info_loss_quartile,share_helped_low_info_loss_quartile,share_helped_high_info_loss_quartile
All models,27,7,0.13075505255369455,836839.484985696,0.3786250356604728,0.017096883768319526,-90672.68248970523,116981.13721825749,0.4081632653061224,0.4081632653061224
Regime-switching,27,2,0.2726460227886437,547689.7503170139,0.021133371611668277,0.07433585374246543,-3778.2946163596375,36646.856680487304,0.5714285714285714,0.5714285714285714
Other models,27,5,0.10592405955551458,952499.3788531701,0.48580756046984186,0.011219906392720636,-125430.43763904343,149114.84943336557,0.34285714285714286,0.3428571428571429
