date,actual,split,forecast
2020-01-01,7512.733529432759,validation,7744.905554440328
2020-02-01,7941.515070351391,validation,7854.457935610234
2020-03-01,7533.736569408685,validation,7869.149355652807
2020-04-01,7209.520101152639,validation,7933.697816879435
2020-05-01,6499.857251537734,validation,7977.534631861174
2020-06-01,6694.648013475818,validation,8019.881033481574
2020-07-01,7095.831822594811,validation,8068.0378030779275
2020-08-01,7430.083006707859,validation,8109.474054146279
2020-09-01,6666.320938200717,validation,8155.151572094566
2020-10-01,5855.74394110227,validation,8197.884601256543
2020-11-01,5555.275602812615,validation,8242.148016615978
2020-12-01,5664.265569350756,validation,8285.363047073539
2021-01-01,4841.863004371764,validation,8329.138016744768
2021-02-01,4582.993424023525,validation,8372.48861696835
2021-03-01,4055.2,validation,8416.078199937154
2021-04-01,4470.738472224253,validation,8459.483431963285
2021-05-01,4032.831217910092,validation,8502.990765956336
2021-06-01,4060.0459080962846,validation,8546.421335667055
2021-07-01,2805.884166609781,validation,8589.89292494217
2021-08-01,3543.508985941734,validation,8633.333822387449
2021-09-01,2704.1872990039246,validation,8676.790789779468
2021-10-01,2269.211946488995,validation,8720.23551142811
2021-11-01,1588.37233054694,validation,8763.686587786096
2021-12-01,3139.2264604363068,validation,8807.132721941687
2022-01-01,2361.645210710561,validation,8850.581391861635
2022-02-01,2311.250466948733,validation,8894.028060779057
2022-03-01,1917.0,validation,8937.475739130823
2024-01-01,4496.0,test,8980.92260977164
2024-02-01,4520.0,test,9024.369880219516
2024-03-01,4960.0,test,9067.816825171558
2024-04-01,5471.0,test,9111.263928205208
2024-05-01,5410.0,test,9154.710899939544
2024-06-01,5654.0,test,9198.157934190385
2024-07-01,5652.0,test,9241.604915406026
2024-08-01,5959.0,test,9285.051921333057
2024-09-01,5994.0,test,9328.49890582443
2024-10-01,6472.0,test,9371.945900069817
2024-11-01,6451.0,test,9415.392885648287
2024-12-01,6122.0,test,9458.83987507086
2025-01-01,6065.0,test,9502.286860987197
2025-02-01,6086.0,test,9545.7338484164
2025-03-01,6531.0,test,9589.18083442606
2025-04-01,,test,9632.627821030246
2025-05-01,,test,9676.074807059264
2025-06-01,,test,9719.521793321519
