date,reserves_usd_m,inflation_yoy,policy_rate,real_policy_rate,kibor,country,interbank_rate
2020-02-01,12100.0,8.360000000000001,12.0,3.6399999999999997,12.3,Pakistan,
2020-03-01,12200.0,8.42,10.75,2.3299999999999996,11.05,Pakistan,
2020-04-01,12300.0,8.48,9.5,1.0199999999999996,9.8,Pakistan,
2020-05-01,12400.0,8.54,8.25,-0.29000000000000004,8.55,Pakistan,
2020-06-01,12500.0,8.6,7.0,-1.5999999999999996,7.3,Pakistan,
2020-07-01,12666.666666666666,8.5,7.0,-1.4999999999999998,7.3,Pakistan,
2020-08-01,12833.333333333334,8.4,7.0,-1.3999999999999997,7.3,Pakistan,
2020-09-01,13000.0,8.3,7.0,-1.2999999999999998,7.3,Pakistan,
2020-10-01,13166.666666666666,8.2,7.0,-1.2,7.3,Pakistan,
2020-11-01,13333.333333333334,8.1,7.0,-1.1,7.3,Pakistan,
2020-12-01,13500.0,8.0,7.0,-1.0,7.3,Pakistan,
2021-01-01,13000.0,5.7,7.0,1.2999999999999998,7.3,Pakistan,
2021-02-01,13900.0,6.24,7.05,0.8099999999999998,7.35,Pakistan,
2021-03-01,14800.0,6.78,7.1,0.31999999999999973,7.3999999999999995,Pakistan,
2021-04-01,15700.0,7.32,7.15,-0.17000000000000037,7.45,Pakistan,
2021-05-01,16600.0,7.86,7.2,-0.6600000000000004,7.5,Pakistan,
2021-06-01,17500.0,8.4,7.25,-1.1500000000000004,7.55,Pakistan,
2021-07-01,18800.0,8.7,7.25,-1.4500000000000002,7.55,Pakistan,
2021-08-01,20100.0,9.0,7.25,-1.75,7.55,Pakistan,
2021-09-01,19700.0,9.5,7.875,-1.625,8.175,Pakistan,
2021-10-01,19300.0,10.0,8.5,-1.5,8.8,Pakistan,
2021-11-01,18900.0,10.5,9.125,-1.375,9.425,Pakistan,
2021-12-01,18500.0,11.0,9.75,-1.25,10.05,Pakistan,
2022-01-01,16000.0,13.0,9.75,-3.25,10.55,Pakistan,
2022-02-01,14000.0,13.133333333333333,10.583333333333334,-2.5500000000000003,11.383333333333335,Pakistan,
2022-03-01,12000.0,13.266666666666667,11.416666666666666,-1.8500000000000003,12.216666666666667,Pakistan,
2022-04-01,10000.0,13.4,12.25,-1.1500000000000004,13.05,Pakistan,
2022-05-01,9600.0,17.35,13.625,-3.7250000000000005,14.425,Pakistan,
2022-06-01,9200.0,21.3,15.0,-6.300000000000001,15.8,Pakistan,
2022-07-01,8800.0,21.933333333333334,15.0,-6.933333333333334,15.8,Pakistan,
2022-08-01,8400.0,22.566666666666666,15.0,-7.566666666666666,15.8,Pakistan,
2022-09-01,8000.0,23.2,15.0,-8.2,15.8,Pakistan,
2022-10-01,7333.333333333333,23.633333333333333,15.333333333333334,-8.299999999999999,16.133333333333333,Pakistan,
2022-11-01,6666.666666666667,24.066666666666666,15.666666666666666,-8.4,16.46666666666667,Pakistan,
2022-12-01,6000.0,24.5,16.0,-8.5,16.8,Pakistan,
2023-01-01,3700.0,27.6,17.0,-10.600000000000001,17.8,Pakistan,
2023-02-01,3800.0,30.533333333333335,18.333333333333332,-12.200000000000001,19.133333333333333,Pakistan,
2023-03-01,3900.0,33.46666666666667,19.666666666666668,-13.799999999999999,20.46666666666667,Pakistan,
2023-04-01,4000.0,36.4,21.0,-15.399999999999999,21.8,Pakistan,
2023-05-01,4250.0,32.9,21.5,-11.399999999999999,22.3,Pakistan,
2023-06-01,4500.0,29.4,22.0,-7.399999999999999,22.8,Pakistan,
2023-07-01,5333.333333333333,28.73333333333333,22.0,-6.733333333333332,22.666666666666668,Pakistan,
2023-08-01,6166.666666666667,28.066666666666666,22.0,-6.0666666666666655,22.53333333333333,Pakistan,
2023-09-01,7000.0,27.4,22.0,-5.399999999999999,22.4,Pakistan,
2023-10-01,7166.666666666667,28.0,22.0,-5.999999999999999,22.4,Pakistan,
2023-11-01,7333.333333333333,28.599999999999998,22.0,-6.599999999999999,22.4,Pakistan,
2023-12-01,7500.0,29.2,22.0,-7.199999999999999,22.4,Pakistan,
2024-01-01,8000.0,28.3,22.0,-6.300000000000001,22.4,Pakistan,
2024-02-01,8000.0,25.766666666666666,22.0,-3.766666666666667,22.4,Pakistan,
2024-03-01,8000.0,23.233333333333334,22.0,-1.2333333333333334,22.4,Pakistan,
2024-04-01,8000.0,20.7,22.0,1.3000000000000007,22.4,Pakistan,
2024-05-01,8350.0,17.925,21.375,3.4500000000000006,21.775,Pakistan,
2024-06-01,8700.0,15.149999999999999,20.75,5.6000000000000005,21.15,Pakistan,
2024-07-01,9050.0,12.375,20.125,7.75,20.525,Pakistan,
2024-08-01,9400.0,9.6,19.5,9.9,19.9,Pakistan,
2024-09-01,9675.0,8.225,17.875,9.65,18.275,Pakistan,
2024-10-01,9950.0,6.85,16.25,9.4,16.65,Pakistan,
2024-11-01,10225.0,5.475,14.625,9.15,15.025,Pakistan,
2024-12-01,10500.0,4.1,13.0,8.9,13.4,Pakistan,
