date,reserves_usd_b,inflation_yoy,policy_rate,real_policy_rate,reserves_usd_m
2021-01-01,13.0,5.7,7.0,1.2999999999999998,13000.0
2021-04-01,15.5,11.1,7.0,-4.1,15500.0
2021-07-01,17.0,8.4,7.25,-1.1500000000000004,17000.0
2021-10-01,18.5,9.2,8.75,-0.4499999999999993,18500.0
2022-01-01,16.0,13.0,9.75,-3.25,16000.0
2022-04-01,10.0,13.4,12.25,-1.1500000000000004,10000.0
2022-07-01,9.0,24.9,15.0,-9.899999999999999,9000.0
2022-10-01,7.5,26.6,15.0,-11.600000000000001,7500.0
2023-01-01,3.7,27.6,17.0,-10.600000000000001,3700.0
2023-04-01,4.0,36.4,21.0,-15.399999999999999,4000.0
2023-07-01,8.0,28.3,22.0,-6.300000000000001,8000.0
2023-10-01,7.5,26.9,22.0,-4.899999999999999,7500.0
2024-01-01,8.0,28.3,22.0,-6.300000000000001,8000.0
2024-04-01,9.0,20.7,22.0,1.3000000000000007,9000.0
