origin,horizon,model,forecast,actual,error
2024-01-01,3,MIDAS_AR_exp_almon,3418.052159771718,5471.0,-2052.947840228282
2024-01-01,1,MIDAS_AR_beta,3513.6556890419365,4520.0,-1006.3443109580635
2024-01-01,3,MIDAS_AR_beta,3513.6556890419365,5471.0,-1957.3443109580635
2024-01-01,1,AR_baseline,4420.573409511783,4520.0,-99.42659048821679
2024-01-01,3,AR_baseline,4420.573409511783,5471.0,-1050.4265904882168
2024-02-01,1,MIDAS_AR_exp_almon,4221.254929250809,4960.0,-738.7450707491907
2024-02-01,3,MIDAS_AR_exp_almon,4221.254929250809,5410.0,-1188.7450707491907
2024-02-01,1,MIDAS_AR_beta,4409.861849244026,4960.0,-550.1381507559736
2024-02-01,3,MIDAS_AR_beta,4409.861849244026,5410.0,-1000.1381507559736
2024-02-01,1,AR_baseline,4252.885041779365,4960.0,-707.1149582206353
2024-02-01,3,AR_baseline,4252.885041779365,5410.0,-1157.1149582206353
2024-03-01,1,MIDAS_AR_exp_almon,4229.661431659467,5471.0,-1241.3385683405331
2024-03-01,3,MIDAS_AR_exp_almon,4229.661431659467,5654.0,-1424.3385683405331
2024-03-01,1,MIDAS_AR_beta,4329.628393803707,5471.0,-1141.3716061962932
2024-03-01,3,MIDAS_AR_beta,4329.628393803707,5654.0,-1324.3716061962932
2024-03-01,1,AR_baseline,4580.181853883408,5471.0,-890.8181461165923
2024-03-01,3,AR_baseline,4580.181853883408,5654.0,-1073.8181461165923
2024-04-01,1,MIDAS_AR_exp_almon,4454.811328293107,5410.0,-955.1886717068928
2024-04-01,3,MIDAS_AR_exp_almon,4454.811328293107,5652.0,-1197.1886717068928
2024-04-01,1,MIDAS_AR_beta,4487.490282665532,5410.0,-922.5097173344684
2024-04-01,3,MIDAS_AR_beta,4487.490282665532,5652.0,-1164.5097173344684
2024-04-01,1,AR_baseline,5293.9529905532045,5410.0,-116.04700944679553
2024-04-01,3,AR_baseline,5293.9529905532045,5652.0,-358.0470094467955
2024-05-01,1,MIDAS_AR_exp_almon,5042.341995909908,5654.0,-611.6580040900917
2024-05-01,3,MIDAS_AR_exp_almon,5042.341995909908,5959.0,-916.6580040900917
2024-05-01,1,MIDAS_AR_beta,5123.776826070088,5654.0,-530.2231739299123
2024-05-01,3,MIDAS_AR_beta,5123.776826070088,5959.0,-835.2231739299123
2024-05-01,1,AR_baseline,5437.4002818953195,5654.0,-216.5997181046805
2024-05-01,3,AR_baseline,5437.4002818953195,5959.0,-521.5997181046805
2024-06-01,1,MIDAS_AR_exp_almon,5394.994720431252,5652.0,-257.00527956874794
2024-06-01,3,MIDAS_AR_exp_almon,5394.994720431252,5994.0,-599.0052795687479
2024-06-01,1,MIDAS_AR_beta,5421.481914856347,5652.0,-230.51808514365257
2024-06-01,3,MIDAS_AR_beta,5421.481914856347,5994.0,-572.5180851436526
2024-06-01,1,AR_baseline,5457.283090899793,5652.0,-194.71690910020698
2024-06-01,3,AR_baseline,5457.283090899793,5994.0,-536.716909100207
2024-07-01,1,MIDAS_AR_exp_almon,5335.60852454429,5959.0,-623.39147545571
2024-07-01,3,MIDAS_AR_exp_almon,5335.60852454429,6472.0,-1136.39147545571
2024-07-01,1,MIDAS_AR_beta,5318.66206770672,5959.0,-640.3379322932797
2024-07-01,3,MIDAS_AR_beta,5318.66206770672,6472.0,-1153.3379322932797
2024-07-01,1,AR_baseline,5667.151177861613,5959.0,-291.8488221383868
2024-07-01,3,AR_baseline,5667.151177861613,6472.0,-804.8488221383868
2024-08-01,1,MIDAS_AR_exp_almon,5729.211358503924,5994.0,-264.7886414960758
2024-08-01,3,MIDAS_AR_exp_almon,5729.211358503924,6451.0,-721.7886414960758
2024-08-01,1,MIDAS_AR_beta,5741.922023342841,5994.0,-252.07797665715862
2024-08-01,3,MIDAS_AR_beta,5741.922023342841,6451.0,-709.0779766571586
2024-08-01,1,AR_baseline,5822.085429974092,5994.0,-171.91457002590778
2024-08-01,3,AR_baseline,5822.085429974092,6451.0,-628.9145700259078
2024-09-01,1,MIDAS_AR_exp_almon,5710.78815618212,6472.0,-761.2118438178804
2024-09-01,3,MIDAS_AR_exp_almon,5710.78815618212,6122.0,-411.21184381788044
2024-09-01,1,MIDAS_AR_beta,5730.899271024421,6472.0,-741.1007289755789
2024-09-01,3,MIDAS_AR_beta,5730.899271024421,6122.0,-391.10072897557893
2024-09-01,1,AR_baseline,6076.499884828365,6472.0,-395.5001151716351
2024-09-01,3,AR_baseline,6076.499884828365,6122.0,-45.500115171635116
2024-10-01,1,MIDAS_AR_exp_almon,6045.659004802087,6451.0,-405.3409951979129
2024-10-01,3,MIDAS_AR_exp_almon,6045.659004802087,6065.0,-19.34099519791289
2024-10-01,1,MIDAS_AR_beta,6023.917908202974,6451.0,-427.0820917970259
2024-10-01,3,MIDAS_AR_beta,6023.917908202974,6065.0,-41.082091797025896
2024-10-01,1,AR_baseline,6385.130280158457,6451.0,-65.86971984154297
2024-10-01,3,AR_baseline,6385.130280158457,6065.0,320.130280158457
2024-11-01,1,MIDAS_AR_exp_almon,6137.231257771572,6122.0,15.231257771572018
2024-11-01,3,MIDAS_AR_exp_almon,6137.231257771572,6086.0,51.23125777157202
2024-11-01,1,MIDAS_AR_beta,6138.948976108176,6122.0,16.948976108175884
2024-11-01,3,MIDAS_AR_beta,6138.948976108176,6086.0,52.948976108175884
2024-11-01,1,AR_baseline,6629.862417642346,6122.0,507.8624176423464
2024-11-01,3,AR_baseline,6629.862417642346,6086.0,543.8624176423464
2024-12-01,1,MIDAS_AR_exp_almon,6581.878494729645,6065.0,516.8784947296454
2024-12-01,3,MIDAS_AR_exp_almon,6581.878494729645,6531.0,50.878494729645354
2024-12-01,1,MIDAS_AR_beta,6581.326026857454,6065.0,516.326026857454
2024-12-01,3,MIDAS_AR_beta,6581.326026857454,6531.0,50.32602685745405
2024-12-01,1,AR_baseline,6288.173780753907,6065.0,223.1737807539066
2024-12-01,3,AR_baseline,6288.173780753907,6531.0,-242.8262192460934
