origin,horizon,model,forecast,actual,error
2023-02-01,1,MIDAS_AR_exp_almon,2089.6724180237034,2694.0,-604.3275819762966
2023-02-01,3,MIDAS_AR_exp_almon,2089.6724180237034,3491.0,-1401.3275819762966
2023-02-01,1,MIDAS_AR_beta,1913.6087894838945,2694.0,-780.3912105161055
2023-02-01,3,MIDAS_AR_beta,1913.6087894838945,3491.0,-1577.3912105161055
2023-02-01,1,AR_baseline,1706.595559735446,2694.0,-987.4044402645541
2023-02-01,3,AR_baseline,1706.595559735446,3491.0,-1784.404440264554
2023-03-01,1,MIDAS_AR_exp_almon,1929.0615951320901,2761.0,-831.9384048679099
2023-03-01,3,MIDAS_AR_exp_almon,1929.0615951320901,3724.0,-1794.9384048679099
2023-03-01,1,MIDAS_AR_beta,1647.8749472289994,2761.0,-1113.1250527710006
2023-03-01,3,MIDAS_AR_beta,1647.8749472289994,3724.0,-2076.125052771001
2023-03-01,1,AR_baseline,2251.4855962843594,2761.0,-509.5144037156406
2023-03-01,3,AR_baseline,2251.4855962843594,3724.0,-1472.5144037156406
2023-04-01,1,MIDAS_AR_exp_almon,2721.077133058976,3491.0,-769.922866941024
2023-04-01,3,MIDAS_AR_exp_almon,2721.077133058976,3765.0,-1043.922866941024
2023-04-01,1,MIDAS_AR_beta,2583.8370958595538,3491.0,-907.1629041404462
2023-04-01,3,MIDAS_AR_beta,2583.8370958595538,3765.0,-1181.1629041404462
2023-04-01,1,AR_baseline,2597.1011746778495,3491.0,-893.8988253221505
2023-04-01,3,AR_baseline,2597.1011746778495,3765.0,-1167.8988253221505
2023-05-01,1,MIDAS_AR_exp_almon,2736.212463534426,3724.0,-987.7875364655738
2023-05-01,3,MIDAS_AR_exp_almon,2736.212463534426,3600.0,-863.7875364655738
2023-05-01,1,MIDAS_AR_beta,3070.5653419856035,3724.0,-653.4346580143965
2023-05-01,3,MIDAS_AR_beta,3070.5653419856035,3600.0,-529.4346580143965
2023-05-01,1,AR_baseline,2820.0627459950283,3724.0,-903.9372540049717
2023-05-01,3,AR_baseline,2820.0627459950283,3600.0,-779.9372540049717
2023-06-01,1,MIDAS_AR_exp_almon,3207.4830972526083,3765.0,-557.5169027473917
2023-06-01,3,MIDAS_AR_exp_almon,3207.4830972526083,3540.0,-332.51690274739167
2023-06-01,1,MIDAS_AR_beta,3002.9461053745226,3765.0,-762.0538946254774
2023-06-01,3,MIDAS_AR_beta,3002.9461053745226,3540.0,-537.0538946254774
2023-06-01,1,AR_baseline,3285.1882691820265,3765.0,-479.8117308179735
2023-06-01,3,AR_baseline,3285.1882691820265,3540.0,-254.8117308179735
2023-07-01,1,MIDAS_AR_exp_almon,3834.8492285852362,3600.0,234.84922858523623
2023-07-01,3,MIDAS_AR_exp_almon,3834.8492285852362,3569.0,265.84922858523623
2023-07-01,1,MIDAS_AR_beta,3805.5212503811517,3600.0,205.52125038115173
2023-07-01,3,MIDAS_AR_beta,3805.5212503811517,3569.0,236.52125038115173
2023-07-01,1,AR_baseline,3383.730658479289,3600.0,-216.2693415207109
2023-07-01,3,AR_baseline,3383.730658479289,3569.0,-185.2693415207109
2023-08-01,1,MIDAS_AR_exp_almon,3233.002241854315,3540.0,-306.9977581456851
2023-08-01,3,MIDAS_AR_exp_almon,3233.002241854315,3571.0,-337.9977581456851
2023-08-01,1,MIDAS_AR_beta,3069.76956090323,3540.0,-470.23043909677017
2023-08-01,3,MIDAS_AR_beta,3069.76956090323,3571.0,-501.23043909677017
2023-08-01,1,AR_baseline,3258.029529906427,3540.0,-281.9704700935731
2023-08-01,3,AR_baseline,3258.029529906427,3571.0,-312.9704700935731
2023-09-01,1,MIDAS_AR_exp_almon,3321.5733657407186,3569.0,-247.4266342592814
2023-09-01,3,MIDAS_AR_exp_almon,3321.5733657407186,4392.0,-1070.4266342592814
2023-09-01,1,MIDAS_AR_beta,3340.8183827736807,3569.0,-228.1816172263193
2023-09-01,3,MIDAS_AR_beta,3340.8183827736807,4392.0,-1051.1816172263193
2023-09-01,1,AR_baseline,3195.7785945965234,3569.0,-373.22140540347664
2023-09-01,3,AR_baseline,3195.7785945965234,4392.0,-1196.2214054034766
2023-10-01,1,MIDAS_AR_exp_almon,3176.5332869713475,3571.0,-394.4667130286525
2023-10-01,3,MIDAS_AR_exp_almon,3176.5332869713475,4496.0,-1319.4667130286525
2023-10-01,1,MIDAS_AR_beta,3266.0421735505197,3571.0,-304.9578264494803
2023-10-01,3,MIDAS_AR_beta,3266.0421735505197,4496.0,-1229.9578264494803
2023-10-01,1,AR_baseline,3363.49050425561,3571.0,-207.50949574438982
2023-10-01,3,AR_baseline,3363.49050425561,4496.0,-1132.5094957443898
2023-11-01,1,MIDAS_AR_exp_almon,3400.465727769945,4392.0,-991.5342722300552
2023-11-01,3,MIDAS_AR_exp_almon,3400.465727769945,4520.0,-1119.5342722300552
2023-11-01,1,MIDAS_AR_beta,3384.5466296895916,4392.0,-1007.4533703104084
2023-11-01,3,MIDAS_AR_beta,3384.5466296895916,4520.0,-1135.4533703104084
2023-11-01,1,AR_baseline,3311.0872408793616,4392.0,-1080.9127591206384
2023-11-01,3,AR_baseline,3311.0872408793616,4520.0,-1208.9127591206384
2023-12-01,1,MIDAS_AR_exp_almon,3272.3435430195655,4496.0,-1223.6564569804345
2023-12-01,3,MIDAS_AR_exp_almon,3272.3435430195655,4960.0,-1687.6564569804345
2023-12-01,1,MIDAS_AR_beta,3336.9404148400963,4496.0,-1159.0595851599037
2023-12-01,3,MIDAS_AR_beta,3336.9404148400963,4960.0,-1623.0595851599037
2023-12-01,1,AR_baseline,3884.8362869013426,4496.0,-611.1637130986574
2023-12-01,3,AR_baseline,3884.8362869013426,4960.0,-1075.1637130986574
2024-01-01,1,MIDAS_AR_exp_almon,3418.052159771718,4520.0,-1101.947840228282
