weight_type,n_hf_lags,n_lf_lags,theta,intercept,hf_coefs,n_obs,r2,ssr,rmse,model,n_ar_lags,ar_coefs
exp_almon,22.0,3.0,"[-1.397331891152973, 0.046977130222737785]",2694.8139693052835,"[-94478.54289299961, -94873.24800801228, -75775.30175696853, -53518.676648512235]",47,0.2534700922884806,91455033.13484451,1394.937908591805,exp_almon,,
beta,22.0,3.0,"[0.8115929811533082, 6.0413225189464965]",2621.052740232501,"[-104018.77980884405, -105497.14946527006, -84509.65760175859, -65678.81079759695]",47,0.2846820035423385,87631359.96591039,1365.465862096627,beta,,
exp_almon,22.0,3.0,"[-1.6463928994622714, 0.06939677734702307]",51.391899920842164,"[-36691.23981999856, -15816.355390481887, -1209.2530896569963, -29601.477260564843]",47,0.9382263448344538,7567696.37983295,401.26651566283283,midas_ar,1.0,[0.9608944673178741]
,,,,,,47,0.9320047815451951,,420.98871840307817,ar_baseline,,
