fold,train_start,train_end,validation_start,validation_end,train_obs,validation_obs
1,2012-01-01,2014-02-01,2014-03-01,2016-02-01,26,23
2,2012-01-01,2016-02-01,2016-03-01,2018-01-01,49,23
3,2012-01-01,2018-01-01,2018-02-01,2019-12-01,72,23
