fold,train_start,train_end,validation_start,validation_end,train_obs,validation_obs
1,2005-01-01,2008-09-01,2008-10-01,2012-06-01,45,45
2,2005-01-01,2012-06-01,2012-07-01,2016-03-01,90,45
3,2005-01-01,2016-03-01,2016-04-01,2019-12-01,135,45
