fold,train_start,train_end,validation_start,validation_end,train_obs,validation_obs
1,2013-01-01,2014-09-01,2014-10-01,2016-06-01,21,21
2,2013-01-01,2016-06-01,2016-07-01,2018-03-01,42,21
3,2013-01-01,2018-03-01,2018-04-01,2019-12-01,63,21
