fold,train_start,train_end,validation_start,validation_end,train_obs,validation_obs
1,2012-01-01,2013-12-01,2014-01-01,2015-12-01,24,24
2,2012-01-01,2015-12-01,2016-01-01,2017-12-01,48,24
3,2012-01-01,2017-12-01,2018-01-01,2019-12-01,72,24
