model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,bop,1,6,16,0.1,0.0005,60,8,val_loss,10,42,27,33,392.7795157477841,33,60,33,1373.9880396091448,20,93,33,915.6527821934832,14,894.140112516804,400.8654288261927,22.333333333333332
LSTM,bop,2,6,16,0.1,0.0005,60,16,val_loss,10,42,27,33,728.8101868137246,60,60,33,922.2346962220797,41,93,33,852.9924995248444,41,834.6791275202163,80.01997627926265,47.333333333333336
LSTM,bop,3,6,16,0.1,0.001,60,8,val_loss,10,42,27,33,678.9157552980614,25,60,33,966.7740709358158,14,93,33,943.337840753201,14,863.0092223290261,130.52488312937058,17.666666666666668
LSTM,bop,4,6,16,0.1,0.001,60,16,val_loss,10,42,27,33,569.347355370253,21,60,33,1129.2826938047078,13,93,33,889.5329413969641,26,862.7209968573083,229.37749974576124,20.0
LSTM,bop,5,6,16,0.3,0.0005,60,8,val_loss,10,42,27,33,768.2019990394683,60,60,33,1076.9776321709212,30,93,33,894.7873661957968,40,913.3223324687287,126.73662095065878,43.333333333333336
LSTM,bop,6,6,16,0.3,0.0005,60,16,val_loss,10,42,27,33,1019.7288360149438,60,60,33,1123.1329570261464,60,93,33,842.4816597918266,35,995.1144842776389,115.88985400920554,51.666666666666664
LSTM,bop,7,6,16,0.3,0.001,60,8,val_loss,10,42,27,33,866.2847291683204,35,60,33,861.3558928197799,25,93,33,912.5647842010227,24,880.0684687297077,23.066299318068555,28.0
LSTM,bop,8,6,16,0.3,0.001,60,16,val_loss,10,42,27,33,615.4949068525223,54,60,33,854.4418141912932,17,93,33,870.2307518346831,28,780.0558242928328,116.54053457795777,33.0
LSTM,bop,9,6,32,0.1,0.0005,60,8,val_loss,10,42,27,33,346.36763650299923,23,60,33,1288.5731535447576,13,93,33,870.3535119289107,14,835.0981006588892,385.4607780339832,16.666666666666668
LSTM,bop,10,6,32,0.1,0.0005,60,16,val_loss,10,42,27,33,497.18972719665305,35,60,33,1022.8658754764011,20,93,33,890.9743466643245,36,803.6766497791263,223.30773852638555,30.333333333333332
LSTM,bop,11,6,32,0.1,0.001,60,8,val_loss,10,42,27,33,331.2808187287081,14,60,33,1270.865331529508,11,93,33,875.9732988581526,12,826.0398163721229,385.2053813042821,12.333333333333334
LSTM,bop,12,6,32,0.1,0.001,60,16,val_loss,10,42,27,33,792.7926690731938,31,60,33,1103.924525727524,14,93,33,860.0452583788757,15,918.9208177265313,133.6675145592405,20.0
LSTM,bop,13,6,32,0.3,0.0005,60,8,val_loss,10,42,27,33,672.7846432546885,22,60,33,1017.5419930577237,15,93,33,878.4222320435399,17,856.2496227853175,141.6171505898714,18.0
LSTM,bop,14,6,32,0.3,0.0005,60,16,val_loss,10,42,27,33,452.5923598538988,29,60,33,1244.205276961366,20,93,33,904.6785036627738,26,867.1587134926796,324.26178068925975,25.0
LSTM,bop,15,6,32,0.3,0.001,60,8,val_loss,10,42,27,33,556.7784125385017,26,60,33,877.9609990041429,16,93,33,882.7575853663938,13,772.4989989696795,152.55005816199272,18.333333333333332
LSTM,bop,16,6,32,0.3,0.001,60,16,val_loss,10,42,27,33,385.51954230939003,15,60,33,889.3169180576542,14,93,33,869.1389362108761,18,714.6584655259735,232.88210296196547,15.666666666666666
LSTM,bop,17,6,64,0.1,0.0005,60,8,val_loss,10,42,27,33,420.1597936971513,14,60,33,1112.8437435674061,12,93,33,846.0504331297044,15,793.0179901314206,285.2625616395523,13.666666666666666
LSTM,bop,18,6,64,0.1,0.0005,60,16,val_loss,10,42,27,33,385.09185145811637,15,60,33,803.0220873788691,21,93,33,866.5512876658828,21,684.8884088342894,213.56883618360717,19.0
LSTM,bop,19,6,64,0.1,0.001,60,8,val_loss,10,42,27,33,433.96129487363476,14,60,33,1390.6337766131464,15,93,33,857.201223097554,14,893.9320981947785,391.42255702200316,14.333333333333334
LSTM,bop,20,6,64,0.1,0.001,60,16,val_loss,10,42,27,33,489.816934501692,14,60,33,1026.5884734411454,15,93,33,820.384031901207,14,778.9298132813482,221.08785649585033,14.333333333333334
LSTM,bop,21,6,64,0.3,0.0005,60,8,val_loss,10,42,27,33,638.4660070187016,15,60,33,1109.5451251782454,12,93,33,879.9734830038502,16,875.9948717335991,192.33782069096236,14.333333333333334
LSTM,bop,22,6,64,0.3,0.0005,60,16,val_loss,10,42,27,33,314.30055958546563,21,60,33,982.8069107716653,14,93,33,872.2807055813245,18,723.1293919794851,292.58590892925486,17.666666666666668
