fold,train_start,train_end,validation_start,validation_end,train_obs,validation_obs
1,2006-01-01,2009-06-01,2009-07-01,2012-12-01,42,42
2,2006-01-01,2012-12-01,2013-01-01,2016-06-01,84,42
3,2006-01-01,2016-06-01,2016-07-01,2019-12-01,126,42
