date,combined_equal,combined_mse,combined_gr_none,combined_gr_sum,combined_gr_convex,combined_trimmed,combined_median
2020-01-01,7542.893166699527,7497.707180659679,8996.136288754507,8156.785295848378,7542.893166699528,7513.971817343906,7452.797745777004
2020-02-01,7488.5712839841,7439.104454362391,7791.716117865156,7449.554188118069,7488.571283984102,7508.3514730637025,7486.446019282533
2020-03-01,7456.50826047664,7471.664632761666,7316.522238692353,7659.447664453175,7456.50826047664,7523.991303935208,7503.255431480523
2020-04-01,7647.777857255419,7481.577147316449,7250.6527143108515,7284.785746650377,7647.777857255421,7648.966777733783,7642.393000751939
2020-05-01,7600.994480970243,7477.234063290164,7023.894909386579,7609.375375648713,7600.994480970243,7561.9523660401655,7642.393000751939
2020-06-01,7693.361067273008,7547.342076515131,6553.6604136499345,6575.330180776909,7693.361067273009,7680.794510109424,7642.393000751939
2020-07-01,7691.828068890027,7536.1934256182385,6131.253527449223,5942.850361908182,7691.828068890027,7678.818245217241,7656.404409950532
2020-08-01,7674.959641686071,7529.761957504818,5776.7458809869395,5558.319539234668,7674.959641686072,7642.691930116943,7642.393000751939
2020-09-01,7721.7612232207,7513.815496994458,5695.736095698693,5495.94345948402,7721.7612232207,7744.981167812487,7777.089280243474
2020-10-01,7734.058828587498,7525.240109836517,5428.248275796211,5183.806330100604,7734.058828587499,7756.670548797319,7734.937415122164
2020-11-01,7669.505592953217,7471.150358364235,5208.624056872181,5265.782571723481,7669.505592953217,7657.606917827182,7642.393000751939
2020-12-01,7813.745762131768,7589.071836371507,5163.265516274373,5041.890069642017,7813.745762131768,7865.214373074483,7886.813911727609
2021-01-01,7631.067095580863,7369.650581736151,4704.8326131744225,4730.551609509981,7631.067095580864,7640.422339593715,7642.393000751939
2021-02-01,7615.165550888714,7193.587880082771,4575.9668283998735,4452.1385764101,7615.165550888715,7727.839407820782,7642.393000751939
2021-03-01,7602.337023487705,7028.371226398718,4433.079358832457,4141.6516705053,7602.337023487705,7813.86140655043,7780.650581019647
2021-04-01,7589.778856741983,7041.909871261678,4162.577752217022,3931.985668791298,7589.778856741982,7773.501356404893,7642.393000751939
2021-05-01,7578.897591991193,6985.94183101957,4153.394862455211,4238.027719437407,7578.897591991194,7786.781570394007,7752.69042301647
2021-06-01,7630.345093852788,6959.646376639618,3977.5726072047664,3810.6036594313045,7630.345093852788,7906.108929220697,8036.246618569075
2021-07-01,7562.629607965135,6881.959447164518,3692.96288363433,3643.6090183152264,7562.6296079651365,7817.341112215218,7723.819182095004
2021-08-01,7557.305409227874,6733.043173076786,3499.238721773855,3182.4803119265707,7557.305409227875,7907.120766558284,7927.348725669717
2021-09-01,7572.508461783567,6848.882720052684,3359.2501301629063,3411.182085750952,7572.508461783566,7851.83201195745,7800.526376679624
2021-10-01,7532.942244245636,6703.169247824591,3204.218621810808,3256.0253086299053,7532.942244245636,7869.386861790447,7854.238009477458
2021-11-01,7521.500005564342,6639.028610249664,2992.945311701781,2992.018750835239,7521.500005564342,7886.62054823786,7858.339432508154
2021-12-01,7525.186567277464,6629.198882400076,2859.4163330972488,2985.659048508169,7525.186567277463,7896.71755996472,7903.987342873967
2022-01-01,7449.284567981017,6586.63414649666,2740.058797533592,3391.211539899843,7449.284567981017,7767.030668091717,7642.393000751939
2022-02-01,7471.905993076878,6574.230586267291,2629.8939201981966,3331.170298340454,7471.905993076879,7817.832531788379,7779.590343037945
2022-03-01,6921.7002491956955,5025.229312098799,2397.74591465962,2372.838687556665,6921.700249195696,7782.183106263971,7700.763646511907
2022-04-01,6654.375556570974,4279.69848015859,2296.8470972429323,2160.3539650857274,6654.3755565709735,7757.914154167634,7718.962701849337
2022-05-01,6561.867465782263,4029.3479689975215,2186.2110003438547,2161.0541320080883,6561.867465782263,7741.289472320052,7726.218951470317
2022-06-01,6638.365220281809,4057.9240555180495,2056.8705696133957,1841.417029886623,6638.365220281809,7873.384946831425,7901.696878255078
2022-07-01,6591.372738688142,4020.035984924074,1829.6164263203943,1800.0863479589461,6591.372738688143,7799.212762772034,7837.459970032377
2022-08-01,6608.040221583875,4005.4319632039987,1662.9698346232005,1614.5738924962134,6608.040221583876,7839.183423284024,7930.083734464935
2022-09-01,6665.551311729158,4102.956430033867,1417.7311873807746,1264.6363951251842,6665.551311729159,7883.171086822487,7964.961172334921
2022-10-01,6652.419778773017,4076.3784330327353,1305.1593096859986,1365.053078298297,6652.419778773016,7870.792530783231,7970.862796451556
2022-11-01,6681.794246204685,4113.980599486009,1134.8313869244128,1227.2217133380327,6681.794246204686,7899.841060850677,8026.2562079023855
2022-12-01,6714.079705479548,4181.652968093967,1008.6428047138586,1266.695898762482,6714.079705479548,7913.745332692869,8011.821397692343
2023-01-01,6676.310974347997,4166.371419347487,727.5613052035449,1083.4349330592522,6676.310974347997,7842.273445984635,7810.871927787855
2023-02-01,6733.996075670121,4248.6604485637645,636.0229717117152,1106.785227986722,6733.996075670121,7897.991736428808,7997.976896102913
2023-03-01,6945.318264893746,4936.32324818102,422.0424852314143,1438.7768282730976,6945.318264893746,7839.573862142578,7776.430597023435
2023-04-01,6968.77345095815,4916.777620214418,211.9605747083522,1084.1005957408852,6968.77345095815,7896.787124970119,7877.20880516174
2023-05-01,7114.342666469293,5324.661258551577,153.2143294766254,1508.3426667231543,7114.342666469293,7902.253610350842,7950.847469071173
2023-06-01,7076.717530834537,5136.127698279209,-128.11085424507039,888.3628611626627,7076.717530834537,7953.664127724628,7987.868597051331
2023-07-01,6969.9167768593325,4834.697005499524,-309.17910449146007,651.4519089808673,6969.916776859333,7943.65936428885,7957.048107859844
2023-08-01,7016.483031791255,4890.203024520228,-462.9672422328906,503.68439837900223,7016.483031791255,7995.320753520908,8085.499197788896
2023-09-01,7012.259242543146,4897.8757057758785,-726.6260110375908,231.90666166352457,7012.259242543148,7976.382880587192,7952.78589073684
2023-10-01,7023.836198262293,4854.360882842952,-810.7474485359155,223.6054515897995,7023.836198262294,8026.7117222562665,8137.874766530309
2023-11-01,7030.484080614597,4868.69065347353,-989.3123540804402,134.86308491168165,7030.484080614598,8025.655968113001,8117.204526780007
2023-12-01,7083.097312499713,4971.641480105522,-1214.8402150097274,-121.4800798218057,7083.097312499714,8055.859102610203,8132.903775212664
2024-01-01,7089.071852074952,5007.669845859639,-1401.2191499730718,-172.93696759141312,7089.071852074953,8038.041747102846,8063.316583002445
2024-02-01,7144.878839395334,5129.58183274615,-1571.546311846457,-251.6450532112067,7144.878839395333,8061.581357395194,8105.602356913736
2024-03-01,7204.12498382428,5309.028683206407,-1833.1125439612836,-450.96773197366565,7204.124983824281,8051.1068412262875,7987.923095742892
2024-04-01,7290.451104828896,5471.250215949213,-2022.491095114677,-654.8708809747695,7290.451104828896,8108.559488425727,8097.59409176206
2024-05-01,7226.362901108388,5340.340806171673,-2110.9380141404863,-460.06873190509214,7226.3629011083885,8065.73789784388,8051.317280754696
2024-06-01,7230.059270318654,5247.57671075073,-2366.2486436290665,-1007.1026931903325,7230.059270318655,8134.119572449588,8146.962264971706
2024-07-01,7242.39018200902,5271.298642177484,-2576.800670371874,-1190.973966288584,7242.3901820090205,8137.936533579377,8112.456974433837
2024-08-01,7276.555952709796,5313.546714231224,-2778.401656257952,-1429.5852342208818,7276.555952709797,8167.138830465291,8163.005427074604
2024-09-01,7301.601425446284,5378.128604728811,-3017.7362369110806,-1661.2459083069698,7301.601425446286,8149.207339886739,8096.307511021091
2024-10-01,7344.41517686564,5456.751931741556,-3078.043272683851,-1478.3370490790476,7344.415176865641,8201.168522962738,8239.287752574772
2024-11-01,7390.6279724894575,5552.236177094509,-3338.26912167331,-1810.0707393825141,7390.6279724894575,8194.979553252706,8207.817652562408
2024-12-01,7365.724322459306,5476.940382517551,-3463.935228911566,-1800.6303111054876,7365.724322459307,8206.939855409439,8230.795467974905
2025-01-01,7356.3687608202845,5408.146620285219,-3723.0192683268715,-2222.7721546163375,7356.3687608202845,8205.509772768795,8213.602214317361
2025-02-01,7394.613773282513,5493.503650182102,-3885.329713886592,-2270.9775478943193,7394.613773282514,8218.2179290605,8238.823750383392
2025-03-01,7395.788451208975,5510.824044699564,-4117.9819048335075,-2466.338207673747,7395.788451208976,8189.969952947831,8141.176951568072
2025-04-01,7432.956256740236,5508.891427637674,-4358.351435454652,-2937.32290875099,7432.956256740237,8232.372719633437,8255.48243442381
2025-05-01,7411.7987980301505,5511.014499679789,-4444.397167499253,-2648.5466839229484,7411.798798030152,8214.770083728377,8189.771755043814
2025-06-01,7421.367350069713,5448.0496273062445,-4679.803580262948,-3101.008502915014,7421.367350069714,8248.34787136553,8277.602385211208
2025-07-01,7412.684759381617,5383.091095783998,-4920.613434715941,-3468.2669635696802,7412.684759381617,8250.668054880802,8271.66023627932
2025-08-01,7437.369355480487,5416.703573330708,-5166.005683690807,-3791.901836222183,7437.369355480488,8249.125991981475,8254.131376537047
2025-09-01,7435.848376152489,5398.902947800711,-5337.090389546184,-3894.4411165185593,7435.84837615249,8253.992443929366,8255.828085639037
2025-10-01,7437.710321432559,5365.53431099096,-5426.50304566292,-3835.9065742092935,7437.71032143256,8295.942754986325,8368.776392840155
2025-11-01,7447.282766563694,5409.369975397329,-5637.56016520379,-3954.8547411692925,7447.282766563695,8271.814013105555,8283.487558982259
2025-12-01,7459.363138504561,5392.359256680309,-5777.740040093794,-4050.381304826471,7459.363138504562,8307.62330882575,8378.012853102111
