date,actual,combined_equal,combined_mse,combined_gr_none,combined_gr_sum,combined_gr_convex,combined_trimmed,combined_median
2025-02-01,6086.0,7394.613773282513,5576.120561710473,4905.056812055565,4724.319580151754,3417.998778576774,8218.2179290605,8238.823750383392
2025-03-01,6531.0,7395.788451208975,5592.373387833258,4958.4280043736035,4798.330931296488,3454.7307796104715,8189.969952947831,8141.176951568072
2025-04-01,6327.0,7432.956256740236,5591.991043733683,4413.450277723732,5098.1411093531315,3409.493979320108,8232.372719633437,8255.48243442381
2025-05-01,6286.0,7411.7987980301505,5593.181895210288,5173.993815869337,4772.168212842833,3437.841638728884,8214.770083728377,8189.771755043814
2025-06-01,6081.0,7421.367350069713,5533.386122594976,4604.379817527439,4966.723655990609,3294.580276624288,8248.34787136553,8277.602385211208
2025-07-01,6147.0,7412.684759381617,5470.801959522,4230.352722245832,5075.642904541892,3168.0351029809494,8250.668054880802,8271.66023627932
2025-08-01,6178.0,7437.369355480487,5503.649551232873,4048.1380023299093,5287.410722212171,3212.5919261393988,8249.125991981475,8254.131376537047
2025-09-01,6244.0,7435.848376152489,5486.533810753995,4133.145376498385,5254.416040666183,3177.1521647286804,8253.992443929366,8255.828085639037
2025-10-01,6216.0,7437.710321432559,5455.022118637205,4369.833675811922,5089.895138331136,3103.8584668170943,8295.942754986325,8368.776392840155
2025-11-01,6034.0,7447.282766563694,5496.992158313149,4563.734424978622,5142.835347338161,3187.0158303131966,8271.814013105555,8283.487558982259
2025-12-01,6825.0,7459.363138504561,5481.379068802366,4594.818751763913,5120.5343770488835,3137.3332872025217,8307.62330882575,8378.012853102111
