variable_set,threshold,ci_lower,ci_upper,regime1_pct,regime2_pct,f_statistic,ssr_reduction_pct,bootstrap_p_value,reject_linearity,backtest_rmse,backtest_mae
parsimonious,-0.0113697888467712,-0.21442046748004762,0.011247140985548576,36.74418604651163,63.25581395348837,-2.5504676169236955,-44.84238045806431,,,10773.95578178356,3034.3354203825315
bop,-0.2038940297677927,-0.2038940297677927,-0.18635146945286118,23.56020942408377,76.43979057591623,-0.8871009844520844,-36.68048989017502,,,1834.4087993467335,1360.3448969818728
monetary,-0.17617982395992104,-0.17617982395992104,-0.135831252879981,22.58064516129032,77.41935483870968,-5.336620408875485,-178.08247047357605,,,2056.39485788331,1555.7905873452962
