date,usd_lkr_pct_change,threshold,regime,regime_name
2005-03-01,0.34752266276352195,-0.17617982395992104,1,Crisis
2005-04-01,0.11785729395623612,-0.17617982395992104,1,Crisis
2005-05-01,0.2831282146220637,-0.17617982395992104,1,Crisis
2005-06-01,0.12039610317944316,-0.17617982395992104,1,Crisis
2005-07-01,0.15482358128489082,-0.17617982395992104,1,Crisis
2005-08-01,0.33768403780061185,-0.17617982395992104,1,Crisis
2005-09-01,0.45401513716183395,-0.17617982395992104,1,Crisis
2005-10-01,0.58974590597618,-0.17617982395992104,1,Crisis
2005-11-01,0.15010006671112297,-0.17617982395992104,1,Crisis
2005-12-01,0.3103922273844706,-0.17617982395992104,1,Crisis
2006-01-01,0.17406765259160295,-0.17617982395992104,1,Crisis
2006-02-01,0.03853821510209077,-0.17617982395992104,1,Crisis
2006-03-01,0.17467848180676704,-0.17617982395992104,1,Crisis
2006-04-01,0.4438608061905658,-0.17617982395992104,1,Crisis
2006-05-01,-0.012956926500129473,-0.17617982395992104,1,Crisis
2006-06-01,0.1984712742791217,-0.17617982395992104,1,Crisis
2006-07-01,0.6673590163966292,-0.17617982395992104,1,Crisis
2006-08-01,0.4172925249578574,-0.17617982395992104,1,Crisis
2006-09-01,-0.2764617893061039,-0.17617982395992104,0,Stable
2006-10-01,-1.0360850050786574,-0.17617982395992104,0,Stable
2006-11-01,3.0441054632292186,-0.17617982395992104,1,Crisis
2006-12-01,1.8936208653012043,-0.17617982395992104,1,Crisis
2007-01-01,0.06544745636836158,-0.17617982395992104,1,Crisis
2007-02-01,0.6785384611816436,-0.17617982395992104,1,Crisis
2007-03-01,0.14955506676532782,-0.17617982395992104,1,Crisis
2007-04-01,0.5611671245682404,-0.17617982395992104,1,Crisis
2007-05-01,0.05983854572204628,-0.17617982395992104,1,Crisis
2007-06-01,1.3167580319953798,-0.17617982395992104,1,Crisis
2007-07-01,0.15045194247267357,-0.17617982395992104,1,Crisis
2007-08-01,0.6364100059297328,-0.17617982395992104,1,Crisis
2007-09-01,0.45803618441082605,-0.17617982395992104,1,Crisis
2007-10-01,1.0318771231879076,-0.17617982395992104,1,Crisis
2007-11-01,-0.42632222089878935,-0.17617982395992104,0,Stable
2007-12-01,-2.1621803624545133,-0.17617982395992104,0,Stable
