date,EQUITY_Market_Capitalization
2012-08-29,1955.57
2012-08-30,1980.81
2012-09-03,2007.9
2012-09-04,2037.05
2012-09-05,2054.22
2012-09-06,2060.64
2012-09-07,2101.92
2012-09-10,2138.32
2012-09-11,2137.88
2012-09-12,2168.46
2012-09-13,2210.14
2012-09-14,2267.41
2012-09-17,2283.55
2012-09-18,2261.26
2012-09-19,2237.69
2012-09-20,2257.95
2012-09-21,2261.05
2012-09-24,2263.28
2012-09-25,2267.28
2012-09-26,2273.97
2012-09-27,2276.14
2012-09-28,2284.88
2012-10-01,2281.94
2012-10-02,2268.26
2012-10-03,2256.14
2012-10-04,2244.91
2012-10-05,2251.94
2012-10-08,2239.49
2012-10-09,2234.18
2012-10-10,2210.91
2012-10-11,2191.13
2012-10-12,2197.78
2012-10-15,2165.45
2012-10-16,2147.96
2012-10-17,2139.65
2012-10-18,2154.56
2012-10-19,2163.83
2012-10-22,2127.52
2012-10-23,2128.62
2012-10-24,2123.44
2012-10-25,2136.26
2012-10-30,2114.78
2012-10-31,2112.11
2012-11-01,2104.79
2012-11-02,2119.26
2012-11-05,2121.95
2012-11-06,2128.58
2012-11-07,2134.05
2012-11-08,2137.87
2012-11-09,2141.16
2012-11-12,2145.17
2012-11-14,2136.37
2012-11-15,2129.97
2012-11-16,2129.23
2012-11-19,2113.04
2012-11-20,2086.25
2012-11-21,2058.09
2012-11-22,2075.77
2012-11-23,2075.94
2012-11-26,2067.41
2012-11-28,2048.54
2012-11-29,2059.65
2012-11-30,2054.91
2012-12-03,2049.72
2012-12-04,2047.32
2012-12-05,2044.15
2012-12-06,2068.78
2012-12-07,2068.81
2012-12-10,2075.51
2012-12-11,2080.5
2012-12-12,2118.47
2012-12-13,2130.27
2012-12-14,2120.43
2012-12-17,2114.4
2012-12-18,2116.05
2012-12-19,2117.92
2012-12-20,2123.64
2012-12-21,2119.47
2012-12-24,2122.69
2012-12-26,2140.02
2012-12-28,2153.94
2012-12-31,2167.58
2013-01-01,0.0
2013-01-02,2183.25
2013-01-03,2201.17
2013-01-04,2207.82
2013-01-07,2207.21
2013-01-08,2209.45
2013-01-09,2206.83
2013-01-10,2201.88
2013-01-11,2207.36
2013-01-15,2208.8
2013-01-16,2232.71
2013-01-17,2256.83
2013-01-18,2257.04
2013-01-21,2251.76
2013-01-22,2255.18
2013-01-23,2260.08
2013-01-24,2257.98
2013-01-28,2249.11
2013-01-29,2228.24
2013-01-30,2237.98
2013-01-31,2234.51
2013-02-01,2227.91
2013-02-05,2220.86
2013-02-06,2220.4
2013-02-07,2232.13
2013-02-08,2247.59
2013-02-11,2247.85
2013-02-12,2242.01
2013-02-13,2238.52
2013-02-14,2237.86
2013-02-15,2239.77
2013-02-18,2218.39
2013-02-19,2204.19
2013-02-20,2201.53
2013-02-21,2199.82
2013-02-22,2203.54
2013-02-26,2178.13
2013-02-27,2180.06
2013-02-28,2165.24
2013-03-01,2171.7
2013-03-04,2163.73
2013-03-05,2161.77
2013-03-06,2176.21
2013-03-07,2182.68
2013-03-08,2187.05
2013-03-11,2182.02
2013-03-12,2192.41
2013-03-13,2185.34
2013-03-14,2186.56
2013-03-15,2192.53
2013-03-18,2193.87
2013-03-19,2199.87
2013-03-20,2204.48
2013-03-21,2215.77
2013-03-22,2217.81
2013-03-25,2208.84
2013-03-27,2208.63
2013-03-28,2205.05
2013-04-01,2188.27
2013-04-02,2188.05
2013-04-03,2197.19
2013-04-04,2206.82
2013-04-05,2211.57
2013-04-08,2215.96
2013-04-09,2212.21
2013-04-10,2219.81
2013-04-11,2227.11
2013-04-12,2237.28
2013-04-16,2242.2
2013-04-17,2248.27
2013-04-18,2257.2
2013-04-19,2253.22
2013-04-22,2249.8
2013-04-23,2254.06
2013-04-24,2273.29
2013-04-26,2284.19
2013-04-29,2286.29
2013-04-30,2280.76
2013-05-02,2288.12
2013-05-03,2304.78
2013-05-06,2346.17
2013-05-07,2377.03
2013-05-08,2380.25
2013-05-09,2391.22
2013-05-10,2395.55
2013-05-13,2391.34
2013-05-14,2378.93
2013-05-15,2384.5
2013-05-16,2414.2
2013-05-17,2450.18
2013-05-20,2483.2
2013-05-21,2473.59
2013-05-22,2481.27
2013-05-23,2491.73
2013-05-27,2475.48
2013-05-28,2470.94
2013-05-29,2479.05
2013-05-30,2478.79
2013-05-31,2481.84
2013-06-03,2477.46
2013-06-04,2476.71
2013-06-05,2466.43
2013-06-06,2447.07
2013-06-07,2422.13
2013-06-10,2435.13
2013-06-11,2420.73
2013-06-12,2413.57
2013-06-13,2384.04
2013-06-14,2388.51
2013-06-17,2388.4
2013-06-18,2378.38
2013-06-19,2384.62
2013-06-20,2385.47
2013-06-21,2363.9
2013-06-24,2361.64
2013-06-25,2337.38
2013-06-26,2332.18
2013-06-27,2347.04
2013-06-28,2350.74
2013-07-01,2355.25
2013-07-02,2358.34
2013-07-03,2349.58
2013-07-04,2332.38
2013-07-05,2322.78
2013-07-08,2302.6
2013-07-09,2296.69
2013-07-10,2310.47
2013-07-11,2328.27
2013-07-12,2315.43
2013-07-15,2310.23
2013-07-16,2307.35
2013-07-17,2302.21
2013-07-18,2303.41
2013-07-19,2324.81
2013-07-23,2341.44
2013-07-24,2339.47
2013-07-25,2323.7
2013-07-26,2328.94
2013-07-29,2330.93
2013-07-30,2330.38
2013-07-31,2323.35
2013-08-01,2369.3
2013-08-02,2369.0
2013-08-05,2352.97
2013-08-06,2355.77
2013-08-07,2367.44
2013-08-08,2367.5
2013-08-12,2359.15
2013-08-13,2364.01
2013-08-14,2389.34
2013-08-15,2394.42
2013-08-16,2567.27
2013-08-19,2563.62
2013-08-21,2519.27
2013-08-22,2506.59
2013-08-23,2451.39
2013-08-26,2428.26
2013-08-27,2439.66
2013-08-28,2369.59
2013-08-29,2399.18
2013-08-30,2402.88
2013-09-02,2381.74
2013-09-03,2369.24
2013-09-04,2366.16
2013-09-05,2342.32
2013-09-06,2336.41
2013-09-09,2308.65
2013-09-10,2334.22
2013-09-11,2360.12
2013-09-12,2366.01
2013-09-13,2368.05
2013-09-16,2360.08
2013-09-17,2349.87
2013-09-18,2347.91
2013-09-20,2394.6
2013-09-23,2381.73
2013-09-24,2386.52
2013-09-25,2382.05
2013-09-26,2383.09
2013-09-27,2392.35
2013-09-30,2390.16
2013-10-01,2380.9
2013-10-02,2391.11
2013-10-03,2418.03
2013-10-04,2427.65
2013-10-07,2439.78
2013-10-08,2452.23
2013-10-09,2457.6
2013-10-10,2477.32
2013-10-11,2473.18
2013-10-14,2475.34
2013-10-15,2479.23
2013-10-17,2485.3
2013-10-21,2472.88
2013-10-22,2463.97
2013-10-23,2453.86
2013-10-24,2468.62
2013-10-25,2473.76
2013-10-28,2465.53
2013-10-29,2456.21
2013-10-30,2467.8
2013-10-31,2476.3
2013-11-01,2476.19
2013-11-04,2464.98
2013-11-05,2458.96
2013-11-06,2456.17
2013-11-07,2441.32
2013-11-08,2435.04
2013-11-11,2438.93
2013-11-12,2418.14
2013-11-13,2419.47
2013-11-14,2424.89
2013-11-15,2417.36
2013-11-18,2422.99
2013-11-19,2416.61
2013-11-20,2410.11
2013-11-21,2413.57
2013-11-22,2409.77
2013-11-25,2402.9
2013-11-26,2391.4
2013-11-27,2390.01
2013-11-28,2393.19
2013-11-29,2402.71
2013-12-02,2402.3
2013-12-03,2401.89
2013-12-04,2405.97
2013-12-05,2405.0
2013-12-06,2417.34
2013-12-09,2421.94
2013-12-10,2404.1
2013-12-11,2407.97
2013-12-12,2410.2
2013-12-13,2411.23
2013-12-17,2417.98
2013-12-18,2417.93
2013-12-19,2440.91
2013-12-20,2436.84
2013-12-23,2432.29
2013-12-24,2432.09
2013-12-26,2433.15
2013-12-27,2444.87
2013-12-30,2454.25
2013-12-31,2459.9
2014-01-01,0.0
2014-01-02,2482.89
2014-01-03,2485.28
2014-01-06,2473.3
2014-01-07,2486.65
2014-01-08,2518.85
2014-01-09,2525.04
2014-01-10,2530.78
2014-01-13,2544.62
2014-01-16,2565.69
2014-01-17,2550.74
2014-01-20,2561.4
2014-01-21,2560.1
2014-01-22,2584.71
2014-01-23,2590.31
2014-01-24,0.0
2014-01-27,2598.5
2014-01-28,2587.28
2014-01-29,2609.95
2014-01-30,2599.56
2014-01-31,2608.27
2014-02-03,2596.27
2014-02-05,2578.02
2014-02-06,2575.05
2014-02-07,2563.87
2014-02-10,2550.74
2014-02-11,2551.96
2014-02-12,2540.0
2014-02-13,2539.54
2014-02-17,2528.2
2014-02-18,2513.81
2014-02-19,2499.83
2014-02-20,2487.29
2014-02-21,2479.41
2014-02-24,2456.76
2014-02-25,2437.08
2014-02-26,2452.49
2014-02-28,2480.83
2014-03-03,2469.84
2014-03-04,2479.29
2014-03-05,2479.21
2014-03-06,2490.03
2014-03-07,2491.75
2014-03-10,2488.22
2014-03-11,2482.78
2014-03-12,2478.17
2014-03-13,2469.99
2014-03-14,2462.6
2014-03-17,2470.78
2014-03-18,2468.08
2014-03-19,2469.93
2014-03-20,2470.98
2014-03-21,2480.73
2014-03-24,2474.2
2014-03-25,2486.96
2014-03-26,2486.2
2014-03-27,2503.97
2014-03-28,2495.43
2014-03-31,2498.0
2014-04-01,2512.03
2014-04-02,2513.27
2014-04-03,2519.0
2014-04-04,2534.1
2014-04-07,2531.52
2014-04-08,2541.47
2014-04-09,2546.24
2014-04-10,2542.68
2014-04-11,2551.26
2014-04-16,2562.35
2014-04-17,2588.28
2014-04-21,2590.9
2014-04-22,2592.91
2014-04-23,2584.93
2014-04-24,2587.17
2014-04-25,2582.85
2014-04-28,2584.6
2014-04-29,2590.59
2014-04-30,2606.26
2014-05-02,2616.63
2014-05-05,2617.05
2014-05-06,2607.29
2014-05-07,2618.38
2014-05-08,2628.07
2014-05-09,2631.9
2014-05-12,2639.91
2014-05-13,2632.29
2014-05-16,2644.95
2014-05-19,2646.65
2014-05-20,2647.65
2014-05-21,2634.13
2014-05-22,2634.49
2014-05-23,2630.36
2014-05-26,2635.68
2014-05-27,2624.99
2014-05-28,2627.22
2014-05-29,2640.21
2014-05-30,2623.33
2014-06-02,2635.46
2014-06-03,2632.78
2014-06-04,2632.8
2014-06-05,2630.33
2014-06-06,2629.91
2014-06-09,2633.21
2014-06-10,2637.33
2014-06-11,2637.21
2014-06-13,2655.6
2014-06-16,2658.5
2014-06-17,2658.63
2014-06-18,2647.41
2014-06-19,2645.57
2014-06-20,2641.06
2014-06-23,2639.76
2014-06-24,2644.59
2014-06-25,2649.09
2014-06-26,2651.85
2014-06-27,2666.68
2014-06-30,2673.02
2014-07-01,2671.93
2014-07-02,2695.65
2014-07-03,2710.22
2014-07-04,2714.51
2014-07-07,2723.52
2014-07-08,2751.53
2014-07-09,2771.66
2014-07-10,2794.72
2014-07-11,2791.59
2014-07-14,2807.37
2014-07-15,2819.42
2014-07-16,2825.61
2014-07-17,2816.96
2014-07-18,2817.1
2014-07-21,2831.48
2014-07-22,2848.18
2014-07-23,2843.01
2014-07-24,2841.94
2014-07-25,2842.89
2014-07-28,2843.16
2014-07-30,2851.79
2014-07-31,2856.87
2014-08-01,2855.28
2014-08-04,2860.86
2014-08-05,2860.36
2014-08-06,2867.85
2014-08-07,2899.29
2014-08-08,2903.51
2014-08-11,2913.88
2014-08-12,2915.97
2014-08-13,2918.59
2014-08-14,2926.55
2014-08-15,2914.27
2014-08-18,2927.22
2014-08-19,2930.06
2014-08-20,2937.82
2014-08-21,2940.1
2014-08-22,2941.47
2014-08-25,2931.4
2014-08-26,2943.7
2014-08-27,2931.77
2014-08-28,2934.65
2014-08-29,2952.42
2014-09-01,2951.09
2014-09-02,2948.58
2014-09-03,2957.94
2014-09-04,2963.61
2014-09-05,2974.86
2014-09-09,2989.99
2014-09-10,3006.7
2014-09-11,3044.22
2014-09-12,3052.44
2014-09-15,3033.96
2014-09-16,3034.44
2014-09-17,3035.75
2014-09-18,3047.92
2014-09-19,3059.88
2014-09-22,3068.97
2014-09-23,3070.76
2014-09-24,3067.28
2014-09-25,3058.21
2014-09-26,3058.52
2014-09-29,3060.4
2014-09-30,3066.35
2014-10-01,3083.66
2014-10-02,3125.37
2014-10-03,3148.99
2014-10-06,0.0
2014-10-07,3144.49
2014-10-09,3140.52
2014-10-10,3112.85
2014-10-13,3054.69
2014-10-14,3063.73
2014-10-15,3099.49
2014-10-16,3085.98
2014-10-17,3076.37
2014-10-20,3067.43
2014-10-21,3045.44
2014-10-23,3057.5
2014-10-24,3067.69
2014-10-27,3070.92
2014-10-28,3073.53
2014-10-29,3090.02
2014-10-30,3102.15
2014-10-31,3109.56
2014-11-03,3120.73
2014-11-04,3107.1
2014-11-05,3123.05
2014-11-07,3147.53
2014-11-10,3142.11
2014-11-11,3146.94
2014-11-12,3171.95
2014-11-13,3176.32
2014-11-14,3185.41
2014-11-17,3195.14
2014-11-18,3205.43
2014-11-19,3196.86
2014-11-20,3199.08
2014-11-21,3144.4
2014-11-24,3073.6
2014-11-25,3075.5
2014-11-26,3050.17
2014-11-27,3023.05
2014-11-28,3039.2
2014-12-01,3090.93
2014-12-02,3071.81
2014-12-03,3090.44
2014-12-04,3082.1
2014-12-05,3075.35
2014-12-08,3076.44
2014-12-09,3067.16
2014-12-10,3082.61
2014-12-11,3078.41
2014-12-12,3075.44
2014-12-15,3072.85
2014-12-16,3070.22
2014-12-17,3060.23
2014-12-18,3073.31
2014-12-19,3082.7
2014-12-22,3082.26
2014-12-23,3076.55
2014-12-24,3087.27
2014-12-26,3106.74
2014-12-29,3097.63
2014-12-30,3101.62
2014-12-31,3104.86
2015-01-02,3125.9
2015-01-05,-
2015-01-06,3156.42
2015-01-07,3167.6
2015-01-08,3192.82
2015-01-09,3238.9
2015-01-12,3222.25
2015-01-13,3215.08
2015-01-14,-
2015-01-16,3200.55
2015-01-19,3137.86
2015-01-20,3138.64
2015-01-21,3119.85
2015-01-22,3122.06
2015-01-23,3099.51
2015-01-26,3099.88
2015-01-27,3121.75
2015-01-28,3133.46
2015-01-29,3125.5
2015-01-30,3042.26
2015-02-02,2966.0
2015-02-05,2986.02
2015-02-06,3034.93
2015-02-09,3050.06
2015-02-10,3095.08
2015-02-11,3118.83
2015-02-12,3106.96
2015-02-13,3108.7
2015-02-16,3093.97
2015-02-18,3079.61
2015-02-19,3096.28
2015-02-20,3099.98
2015-02-23,3104.81
2015-02-24,3098.46
2015-02-25,3095.62
2015-02-26,3101.06
2015-02-27,3094.62
2015-03-02,3070.52
2015-03-03,3066.51
2015-03-04,3052.64
2015-03-06,3044.71
2015-03-09,3024.72
2015-03-10,3022.06
2015-03-11,3013.64
2015-03-12,3013.28
2015-03-13,3005.73
2015-03-16,2988.63
2015-03-17,2991.22
2015-03-18,2985.67
2015-03-19,2986.97
2015-03-20,2990.31
2015-03-23,2985.1
2015-03-24,2966.31
2015-03-25,2955.8
2015-03-26,2934.57
2015-03-27,2913.66
2015-03-30,2875.09
2015-03-31,2891.17
2015-04-01,2931.75
2015-04-02,2945.34
2015-04-06,2932.36
2015-04-07,2936.55
2015-04-08,2930.82
2015-04-09,2924.7
2015-04-10,2925.45
2015-04-15,2963.52
2015-04-16,3004.38
2015-04-17,3008.27
2015-04-20,3005.76
2015-04-21,3014.49
2015-04-22,3022.36
2015-04-23,3021.2
2015-04-24,3027.73
2015-04-27,3025.75
2015-04-28,3029.71
2015-04-29,3046.27
2015-04-30,3048.67
2015-05-05,3058.48
2015-05-06,3054.31
2015-05-07,3064.05
2015-05-08,3063.87
2015-05-11,3064.36
2015-05-12,3083.47
2015-05-13,3077.7
2015-05-14,3074.23
2015-05-15,3083.49
2015-05-18,3081.94
2015-05-19,3086.69
2015-05-20,3096.71
2015-05-21,3089.88
2015-05-22,3096.27
2015-05-25,3094.58
2015-05-26,3084.84
2015-05-27,3081.35
2015-05-28,3082.3
2015-05-29,3067.26
2015-06-01,3056.59
2015-06-03,3037.17
2015-06-04,3025.09
2015-06-05,3025.87
2015-06-08,3007.14
2015-06-09,3002.28
2015-06-10,3000.72
2015-06-11,2995.66
2015-06-12,2999.8
2015-06-15,3007.31
2015-06-16,2992.72
2015-06-17,2995.26
2015-06-18,3001.4
2015-06-19,2989.08
2015-06-22,2991.02
2015-06-23,2997.1
2015-06-24,2997.04
2015-06-25,2987.48
2015-06-26,2981.06
2015-06-29,2987.84
2015-06-30,2983.02
2015-07-02,2966.87
2015-07-03,2977.17
2015-07-06,2969.68
2015-07-07,2960.49
2015-07-08,2941.8
2015-07-09,2951.72
2015-07-10,2967.48
2015-07-13,2975.4
2015-07-14,2985.69
2015-07-15,3002.35
2015-07-16,3026.97
2015-07-17,3043.04
2015-07-20,3037.05
2015-07-21,3036.09
2015-07-22,3059.05
2015-07-23,3064.57
2015-07-24,3088.54
2015-07-27,3079.27
2015-07-28,3085.1
2015-07-29,3107.58
2015-07-30,3115.26
2015-08-03,3115.52
2015-08-04,3105.63
2015-08-05,3129.53
2015-08-06,3134.17
2015-08-07,3131.35
2015-08-10,3134.47
2015-08-11,3168.87
2015-08-12,3174.4
2015-08-13,3162.02
2015-08-14,3170.34
2015-08-17,3182.96
2015-08-18,3185.78
2015-08-19,3185.83
2015-08-20,3165.02
2015-08-21,3174.09
2015-08-24,3114.58
2015-08-25,3072.32
2015-08-26,3075.94
2015-08-27,3089.98
2015-08-28,3122.85
2015-08-31,3104.34
2015-09-01,3100.87
2015-09-02,3076.09
2015-09-03,3078.26
2015-09-04,3065.35
2015-09-07,3037.56
2015-09-08,3026.86
2015-09-09,3051.83
2015-09-10,3041.93
2015-09-11,3039.15
2015-09-14,3042.95
2015-09-15,3038.7
2015-09-16,3032.32
2015-09-17,3022.17
2015-09-18,3019.78
2015-09-21,3018.29
2015-09-22,3024.25
2015-09-23,3022.74
2015-09-25,3021.06
2015-09-28,3007.39
2015-09-29,3005.45
2015-09-30,2990.81
2015-10-01,3003.37
2015-10-02,3014.0
2015-10-05,3007.01
2015-10-06,3005.69
2015-10-07,3005.49
2015-10-08,3005.58
2015-10-09,3009.99
2015-10-12,3011.66
2015-10-13,3002.52
2015-10-14,2986.35
2015-10-15,2982.17
2015-10-16,2978.05
2015-10-19,2979.96
2015-10-20,2990.12
2015-10-21,2996.24
2015-10-22,3001.84
2015-10-23,3007.21
2015-10-26,3008.05
2015-10-28,3012.55
2015-10-29,3002.38
2015-10-30,2990.46
2015-11-02,2984.94
2015-11-03,2972.77
2015-11-04,2974.15
2015-11-05,2980.74
2015-11-06,2998.62
2015-11-09,2993.04
2015-11-11,2979.89
2015-11-12,2974.42
2015-11-13,2972.49
2015-11-16,2957.28
2015-11-17,2962.37
2015-11-18,2964.08
2015-11-19,2981.26
2015-11-20,2980.1
2015-11-23,2996.41
2015-11-24,2976.96
2015-11-26,2966.39
2015-11-27,2965.55
2015-11-30,2943.29
2015-12-01,2938.13
2015-12-02,2924.33
2015-12-03,2931.94
2015-12-04,2927.21
2015-12-07,2922.55
2015-12-08,2918.49
2015-12-09,2915.28
2015-12-10,2907.77
2015-12-11,2911.37
2015-12-14,2899.01
2015-12-15,2906.57
2015-12-16,2912.0
2015-12-17,2923.28
2015-12-18,2933.8
2015-12-21,2932.55
2015-12-22,2920.97
2015-12-23,2922.72
2015-12-28,2909.88
2015-12-29,2918.07
2015-12-30,2927.83
2015-12-31,2938.0
2016-01-04,2926.54
2016-01-05,2917.04
2016-01-06,2905.08
2016-01-07,2887.02
2016-01-08,2866.15
2016-01-11,2833.78
2016-01-12,2788.46
2016-01-13,2751.58
2016-01-14,2751.58
2016-01-18,2699.68
2016-01-19,2682.02
2016-01-20,2672.6
2016-01-21,2710.39
2016-01-22,2724.28
2016-01-25,2712.58
2016-01-26,2699.32
2016-01-27,2696.59
2016-01-28,2698.05
2016-01-29,2706.66
2016-02-01,2716.53
2016-02-02,2743.34
2016-02-03,2733.45
2016-02-05,2734.24
2016-02-08,2732.97
2016-02-09,2720.61
2016-02-10,2717.06
2016-02-11,2696.39
2016-02-12,2682.81
2016-02-15,2675.62
2016-02-16,2670.49
2016-02-17,2656.25
2016-02-18,2653.37
2016-02-19,2671.28
2016-02-23,2661.97
2016-02-24,2657.11
2016-02-25,2650.71
2016-02-26,2651.28
2016-02-29,2646.08
2016-03-01,2612.57
2016-03-02,2597.62
2016-03-03,2590.14
2016-03-04,2588.56
2016-03-08,2536.22
2016-03-09,2505.3
2016-03-10,2542.0
2016-03-11,2572.85
2016-03-14,2555.53
2016-03-15,2551.69
2016-03-16,2573.47
2016-03-17,2593.48
2016-03-18,2589.23
2016-03-21,2602.39
2016-03-23,2595.94
2016-03-24,2604.06
2016-03-28,2591.07
2016-03-29,2569.1
2016-03-30,2573.0
2016-03-31,2586.15
2016-04-01,2590.9
2016-04-04,2589.25
2016-04-05,2623.27
2016-04-06,2625.86
2016-04-07,2654.65
2016-04-08,2674.01
2016-04-11,2707.06
2016-04-12,0.0
2016-04-15,2727.57
2016-04-18,2719.46
2016-04-19,2721.83
2016-04-20,2736.86
2016-04-22,2736.65
2016-04-25,2718.28
2016-04-26,2729.26
2016-04-27,2741.59
2016-04-28,2745.13
2016-04-29,2776.54
2016-05-03,2805.03
2016-05-04,2798.96
2016-05-05,2803.02
2016-05-06,2809.03
2016-05-09,2810.03
2016-05-10,2828.34
2016-05-11,2838.44
2016-05-12,2836.17
2016-05-13,2846.28
2016-05-16,2858.45
2016-05-17,2842.42
2016-05-18,2846.41
2016-05-19,2832.77
2016-05-20,2826.43
2016-05-24,2799.72
2016-05-25,2805.22
2016-05-26,2798.95
2016-05-27,2799.99
2016-05-30,2792.17
2016-05-31,2791.18
2016-06-01,2787.88
2016-06-02,2779.82
2016-06-03,2777.86
2016-06-06,2777.75
2016-06-07,2779.98
2016-06-08,2780.89
2016-06-09,2781.7
2016-06-10,2782.76
2016-06-13,2786.06
2016-06-14,2777.46
2016-06-15,2770.03
2016-06-16,2742.39
2016-06-17,2755.29
2016-06-20,2753.21
2016-06-21,2747.14
2016-06-22,2736.03
2016-06-23,2726.34
2016-06-24,2714.43
2016-06-27,2692.52
2016-06-28,2687.92
2016-06-29,2680.88
2016-06-30,2677.63
2016-07-01,2679.26
2016-07-04,2665.49
2016-07-05,2676.4
2016-07-07,2689.31
2016-07-08,2713.02
2016-07-11,2715.55
2016-07-12,2727.94
2016-07-13,2728.56
2016-07-14,2728.19
2016-07-15,2737.05
2016-07-18,2734.11
2016-07-20,2733.55
2016-07-21,2734.82
2016-07-22,2739.64
2016-07-25,2726.14
2016-07-26,2722.2
2016-07-27,2719.89
2016-07-28,2724.03
2016-07-29,2724.76
2016-08-01,2731.82
2016-08-02,2771.4
2016-08-03,2774.93
2016-08-04,2760.72
2016-08-05,2777.29
2016-08-08,2772.94
2016-08-09,2774.3
2016-08-10,2788.64
2016-08-11,2776.29
2016-08-12,2779.43
2016-08-15,2805.2
2016-08-16,2803.22
2016-08-18,2810.5
2016-08-19,2814.3
2016-08-22,2811.1
2016-08-23,2815.0
2016-08-24,2808.4
2016-08-25,2809.0
2016-08-26,2792.4
2016-08-29,2787.9
2016-08-30,2788.6
2016-08-31,2782.8
2016-09-01,0.0
2016-09-02,0.0
2016-09-05,2780.8
2016-09-06,2781.2
2016-09-07,2774.2
2016-09-08,2771.6
2016-09-09,2768.6
2016-09-13,0.0
2016-09-14,2767.7
2016-09-15,2759.1
2016-09-19,2749.7
2016-09-20,2741.0
2016-09-21,2750.2
2016-09-22,2755.9
2016-09-23,2762.0
2016-09-26,2761.9
2016-09-27,2763.7
2016-09-28,2776.1
2016-09-29,2782.9
2016-09-30,2785.7
2016-10-03,2802.6
2016-10-04,2809.8
2016-10-05,2804.9
2016-10-06,0.0
2016-10-07,2806.0
2016-10-10,2797.5
2016-10-11,2787.2
2016-10-12,2775.2
2016-10-13,2765.4
2016-10-14,2763.5
2016-10-17,2750.7
2016-10-18,2746.6
2016-10-19,2747.3
2016-10-20,2746.4
2016-10-21,2748.6
2016-10-24,2736.2
2016-10-25,2744.1
2016-10-26,2743.3
