date,EQUITY_Market_Capitalization
2012-01-02,2214.04
2012-01-03,2204.48
2012-01-04,2181.5
2012-01-05,2169.46
2012-01-06,2166.58
2012-01-09,2145.55
2012-01-10,2141.71
2012-01-11,2143.68
2012-01-12,2173.39
2012-01-13,2168.59
2012-01-17,2167.52
2012-01-18,2139.94
2012-01-19,2118.05
2012-01-20,2116.05
2012-01-23,2072.85
2012-01-24,2026.36
2012-01-25,2033.76
2012-01-26,2046.97
2012-01-27,2095.67
2012-01-30,2106.7
2012-01-31,2084.13
2012-02-01,2079.91
2012-02-02,2051.82
2012-02-03,2045.03
2012-02-06,2035.89
2012-02-08,1992.26
2012-02-09,1946.41
2012-02-13,1903.58
2012-02-14,1834.02
2012-02-15,1839.12
2012-02-16,1935.49
2012-02-17,1937.72
2012-02-21,1946.3
2012-02-22,1987.53
2012-02-23,2019.32
2012-02-24,2040.84
2012-02-27,2007.95
2012-02-28,1991.48
2012-02-29,2001.18
2012-03-01,2005.47
2012-03-02,2001.99
2012-03-05,2003.69
2012-03-06,2008.41
2012-03-08,2000.65
2012-03-09,2000.61
2012-03-12,1988.94
2012-03-13,1988.5
2012-03-14,1986.6
2012-03-15,1978.95
2012-03-16,1997.99
2012-03-19,1998.14
2012-03-20,1985.14
2012-03-21,1974.28
2012-03-22,1961.67
2012-03-23,1988.3
2012-03-26,1991.5
2012-03-27,2014.3
2012-03-28,2011.49
2012-03-29,2009.84
2012-03-30,2012.87
2012-04-02,2004.89
2012-04-03,2013.48
2012-04-04,2007.62
2012-04-05,2016.03
2012-04-09,2012.26
2012-04-10,2004.54
2012-04-11,2017.87
2012-04-16,2021.24
2012-04-17,2012.93
2012-04-18,2011.14
2012-04-19,2052.52
2012-04-20,2029.61
2012-04-23,2028.84
2012-04-24,2023.81
2012-04-25,2024.64
2012-04-26,2026.51
2012-04-27,2024.84
2012-04-30,2016.91
2012-05-02,2016.19
2012-05-03,2005.91
2012-05-04,2000.69
2012-05-08,1971.01
2012-05-09,1956.57
2012-05-10,1922.01
2012-05-11,1901.42
2012-05-14,1904.31
2012-05-15,1908.51
2012-05-16,1941.36
2012-05-17,1948.87
2012-05-18,1949.46
2012-05-21,1944.09
2012-05-22,1924.76
2012-05-23,1884.68
2012-05-24,1873.86
2012-05-25,1870.33
2012-05-28,1842.71
2012-05-29,1797.24
2012-05-30,1816.61
2012-05-31,1807.42
2012-06-01,1827.26
2012-06-05,1807.17
2012-06-06,1803.05
2012-06-07,1812.38
2012-06-08,1827.89
2012-06-11,1832.74
2012-06-12,1831.26
2012-06-13,1845.44
2012-06-14,1875.24
2012-06-15,1901.22
2012-06-18,1904.04
2012-06-19,1927.35
2012-06-20,1934.5
2012-06-21,1920.77
2012-06-22,1919.67
2012-06-25,1901.11
2012-06-26,1900.94
2012-06-27,1903.11
2012-06-28,1890.46
2012-06-29,1894.22
2012-07-02,1890.15
2012-07-04,1890.13
2012-07-05,1881.73
2012-07-06,1883.27
2012-07-09,1881.91
2012-07-10,1874.47
2012-07-11,1860.26
2012-07-12,1861.66
2012-07-13,1859.92
2012-07-16,1864.73
2012-07-17,1854.39
2012-07-18,1842.78
2012-07-19,1868.94
2012-07-20,1867.87
2012-07-23,1865.41
2012-07-24,1862.57
2012-07-25,1866.21
2012-07-26,1863.27
2012-07-27,1885.01
2012-07-30,1885.94
2012-07-31,1889.71
2012-08-02,1896.55
2012-08-03,1885.62
2012-08-06,1884.48
2012-08-07,1872.91
2012-08-08,1869.71
2012-08-09,1855.15
2012-08-10,1856.05
2012-08-13,1853.08
2012-08-14,1876.68
2012-08-15,1888.71
2012-08-16,1877.02
2012-08-17,1884.06
2012-08-20,1892.59
2012-08-21,1890.94
2012-08-22,1922.4
2012-08-23,1926.51
2012-08-24,1916.83
2012-08-27,1939.87
2012-08-28,1951.17
