date,USD_Spot_Rate
2021-01-12,187.0
2021-02-05,194.41
2021-02-09,194.36
2021-02-10,194.31
2021-02-11,194.5
2021-02-12,194.63
2021-02-15,193.97
2021-02-16,193.97
2021-02-17,194.96
2021-02-18,194.85
2021-02-19,194.85
2021-02-22,194.83
2021-02-23,194.21
2021-02-24,194.06
2021-02-25,194.01
2021-03-01,194.01
2021-03-02,194.5
2021-03-03,195.63
2021-03-04,195.27
2021-03-05,195.36
2021-03-08,195.5
2021-03-09,195.5
2021-03-10,195.99
2021-03-12,196.53
2021-03-15,196.04
2021-03-16,196.78
2021-03-17,198.49
2021-03-18,197.45
2021-03-19,199.28
2021-03-22,197.47
2021-03-23,198.77
2021-03-24,198.95
2021-03-25,198.0
2021-03-26,198.45
2021-03-29,198.17
2021-03-30,199.44
2021-03-31,199.04
2021-04-01,199.22
2021-04-05,199.38
2021-04-06,199.75
2021-04-07,199.01
2021-04-08,200.02
2021-04-09,199.87
2021-04-12,199.91
2021-04-15,200.0
2021-04-16,199.93
2021-04-19,194.45
2021-04-20,191.97
2021-04-21,191.88
2021-04-22,192.0
2021-04-23,191.94
2021-04-27,197.5
2021-04-28,197.5
2021-04-29,199.75
2021-04-30,199.54
2021-05-03,199.23
2021-05-04,199.69
2021-05-05,199.59
2021-05-06,199.59
2021-05-07,199.52
2021-05-10,199.51
2021-05-11,199.58
2021-05-12,199.57
2021-05-13,199.50
2021-05-17,199.5
2021-05-18,199.79
2021-05-19,199.67
2021-05-20,199.66
2021-05-21,199.90
2021-05-24,199.67
2021-05-25,199.51
2021-05-28,199.56
2021-05-31,199.5
2021-06-01,199.5
2021-06-02,199.5
2021-06-03,199.53
2021-06-04,199.69
2021-06-07,199.69
2021-06-08,199.7
2021-06-09,199.83
2021-06-10,199.68
2021-06-11,199.76
2021-06-14,199.89
2021-06-15,199.5
2021-06-16,199.72
2021-06-17,199.86
2021-06-18,199.83
2021-06-21,199.87
2021-06-22,199.91
2021-06-23,199.89
2021-06-25,199.87
2021-06-28,199.89
2021-06-29,199.9
2021-06-30,201.14
2021-07-01,200.78
2021-07-02,200.52
2021-07-05,199.91
2021-07-06,199.9
2021-07-07,199.9
2021-07-08,199.9
2021-07-09,199.90
2021-07-12,199.91
2021-07-13,199.9
2021-07-14,199.9
2021-07-15,199.9
2021-07-16,199.90
2021-07-19,199.89
2021-07-20,199.9
2021-07-22,199.90
2021-07-26,199.93
2021-07-27,199.91
2021-07-28,199.9
2021-07-29,199.9
2021-07-30,199.90
2021-08-02,199.9
2021-08-03,199.9
2021-08-04,199.9
2021-08-05,199.9
2021-08-06,199.90
2021-08-09,199.91
2021-08-10,199.9
2021-08-11,199.92
2021-08-12,199.92
2021-08-13,199.92
2021-08-16,199.98
2021-08-17,199.92
2021-08-18,199.9
2021-08-19,199.9
2021-08-20,199.90
2021-08-23,199.9
2021-08-24,199.9
2021-08-25,199.9
2021-08-26,199.95
2021-08-27,200
2021-08-30,202.62
2021-08-31,210.0
2021-09-01,210.0
2021-09-02,210.0
2021-09-03,207.35
2021-09-06,207.35
2021-09-07,207.35
2021-09-08,199.95
2021-09-09,199.98
2021-09-10,200
2021-09-13,200.0
2021-09-14,200.0
2021-09-15,200.0
2021-09-16,200.01
2021-09-17,200
2021-09-21,199.93
2021-09-22,199.63
2021-09-23,199.9
2021-09-24,200.26
2021-09-27,200.0
2021-09-28,200.03
2021-09-29,199.99
2021-09-30,199.99
2021-10-01,200.70
2021-10-04,200.14
2021-10-05,200.0
2021-10-06,200.06
2021-10-07,200.04
2021-10-08,202.98
2021-10-11,202.4
2021-10-12,202.4
2021-10-13,200.0
2021-10-14,200.0
2021-10-15,201.25
2021-10-18,200.09
2021-10-21,200.51
2021-10-22,201.05
2021-10-25,201.98
2021-10-26,203.0
2021-10-27,202.21
2021-10-28,200.03
2021-10-29,201.87
2021-11-01,201.95
2021-11-02,202.5
2021-11-03,202.56
2021-11-05,202.62
2021-11-08,200.31
2021-11-09,202.05
2021-11-10,202.38
2021-11-11,201.41
2021-11-12,202.35
2021-11-15,202.05
2021-11-16,202.05
2021-11-17,201.34
2021-11-19,202.19
2021-11-22,202.2
2021-11-23,202.42
2021-11-24,200.78
2021-11-25,200.97
2021-11-26,201.21
2021-11-29,201.76
2021-11-30,202.05
2021-12-01,202.05
2021-12-02,201.93
2021-12-03,200.45
2021-12-06,202.25
2021-12-07,200.01
2021-12-08,201.59
2021-12-09,201.22
2021-12-10,201.06
2021-12-13,201.33
2021-12-14,201.87
2021-12-15,201.87
2021-12-16,200.67
2021-12-17,201.54
2021-12-20,203.0
2021-12-21,201.51
2021-12-22,201.32
2021-12-23,200.72
2021-12-24,200.92
2021-12-27,200.92
2021-12-28,201.5
2021-12-29,201.0
2021-12-30,203.0
2021-12-31,200.43
2022-01-03,200.43
2022-01-04,200.0
2022-01-05,201.71
2022-01-06,201.05
2022-01-07,201.33
2022-01-10,201.9
2022-01-11,200.95
2022-01-12,200.98
2022-01-13,201.78
2022-01-18,201.94
2022-01-19,201.94
2022-01-20,201.05
2022-01-21,202.75
2022-01-24,202.0
2022-01-25,202.03
2022-01-26,201.59
2022-01-27,202.0
2022-01-28,201.19
2022-01-31,201.19
2022-02-01,201.97
2022-02-02,201.42
2022-02-03,201.58
2022-02-07,202.0
2022-02-08,202.41
2022-02-09,202.07
2022-02-10,201.96
2022-02-11,202
2022-02-14,201.01
2022-02-15,201.0
2022-02-17,202.01
2022-02-18,202.11
2022-02-21,201.93
2022-02-22,202.0
2022-02-23,201.19
2022-02-24,201.19
2022-02-25,202.33
2022-02-28,201.06
2022-03-02,201.9
2022-03-03,202.0
2022-03-04,201.63
2022-03-07,202.04
2022-03-08,202.09
2022-03-09,229.5
2022-03-10,229.34
2022-03-11,251.97
2022-03-14,251.97
2022-03-15,263.33
2022-03-16,267.86
2022-03-18,267.88
2022-03-21,275.0
2022-03-22,280.0
2022-03-23,280.42
2022-03-24,280.0
2022-03-25,290
2022-03-28,294.98
2022-03-29,294.98
2022-03-30,306.08
2022-03-31,299.0
2022-04-01,299
2022-04-04,310.86
2022-04-05,307.79
2022-04-06,307.79
2022-04-07,299.81
2022-04-08,299
2022-04-11,311.68
2022-04-12,313.67
2022-04-18,313.67
2022-04-19,310.0
2022-04-20,310.0
2022-04-21,335.0
2022-04-22,334.80
2022-04-25,334.8
2022-04-26,340.47
2022-04-27,337.9
2022-04-28,341.85
2022-04-29,341.85
2022-05-04,340.0
2022-05-05,349.9
2022-05-06,358.57
2022-05-09,364.76
2022-05-10,364.76
2022-05-11,364.76
2022-05-12,360.0
2022-05-13,360
2022-05-17,359.75
2022-05-18,359.65
2022-05-19,359.55
2022-05-20,359.48
2022-05-23,359.44
2022-05-24,359.38
2022-05-25,359.38
2022-05-26,359.71
2022-05-27,359.25
2022-05-30,360.76
2022-05-31,360.76
2022-06-01,360.11
2022-06-02,360.6
2022-06-03,360.30
2022-06-06,360.28
2022-06-07,360.28
2022-06-08,360.03
2022-06-09,360.03
2022-06-10,359.80
2022-06-13,359.83
2022-06-15,359.85
2022-06-16,359.85
2022-06-17,359.75
2022-06-20,360.75
2022-06-21,361.75
2022-06-22,360.9
2022-06-23,360.9
2022-06-24,360.30
2022-06-27,360.3
2022-06-28,359.9
2022-06-29,359.72
2022-06-30,359.88
2022-07-01,359.55
2022-07-04,359.79
2022-07-05,359.79
2022-07-06,359.82
2022-07-07,360.82
2022-07-08,360.35
2022-07-11,361.35
2022-07-12,360.9
2022-07-14,361.9
2022-07-15,361.24
2022-07-18,361.03
2022-07-19,361.17
2022-07-20,361.87
2022-07-21,361.67
2022-07-22,361.30
2022-07-25,361.09
2022-07-26,361.0
2022-07-27,361.0
2022-07-28,361.0
2022-07-29,360.80
2022-08-01,361.0
2022-08-02,361.0
2022-08-03,360.93
2022-08-04,360.93
2022-08-05,360.80
2022-08-08,360.8
2022-08-09,360.94
2022-08-10,360.94
2022-08-12,360.85
2022-08-15,360.92
2022-08-16,360.97
2022-08-17,360.96
2022-08-18,360.97
2022-08-19,361
2022-08-22,360.95
2022-08-23,361.0
2022-08-24,361.0
2022-08-25,361.0
2022-08-26,361.40
2022-08-29,361.17
2022-08-30,361.29
2022-08-31,361.15
2022-09-01,361.08
2022-09-02,361.45
2022-09-05,361.45
2022-09-06,361.45
2022-09-07,361.81
2022-09-08,361.9
2022-09-09,362
2022-09-12,362.2
2022-09-13,362.28
2022-09-14,362.45
2022-09-15,362.45
2022-09-16,362.90
2022-09-19,362.9
2022-09-20,362.9
2022-09-21,362.9
2022-09-22,362.9
2022-09-23,362.90
2022-09-26,362.9
2022-09-27,362.9
2022-09-28,362.9
2022-09-29,362.9
2022-09-30,362.90
2022-10-03,362.9
2022-10-04,362.9
2022-10-05,362.9
2022-10-06,362.9
2022-10-07,362.90
2022-10-11,362.9
2022-10-12,362.9
2022-10-13,362.9
2022-10-14,363.14
2022-10-17,363.38
2022-10-18,363.38
2022-10-19,363.38
2022-10-20,363.38
2022-10-21,363.38
2022-10-25,363.38
2022-10-26,363.3
2022-10-27,363.3
2022-10-28,363.30
2022-10-31,363.3
2022-11-01,363.3
2022-11-02,363.3
2022-11-03,363.3
2022-11-04,363.50
2022-11-08,363.5
2022-11-09,363.5
2022-11-10,363.5
2022-11-11,363.50
2022-11-14,363.5
2022-11-15,363.5
2022-11-16,363.5
2022-11-17,363.5
2022-11-18,363.50
2022-11-21,363.5
2022-11-22,363.5
2022-11-23,363.5
2022-11-24,363.5
2022-11-25,363
2022-11-28,363.0
2022-11-29,363.19
2022-11-30,363.19
2022-12-01,363.19
2022-12-02,363.19
2022-12-05,363.18
2022-12-06,363.18
2022-12-08,363.18
2022-12-09,363.18
2022-12-12,363.18
2022-12-13,363.18
2022-12-14,363.18
2022-12-15,363.18
2022-12-16,363.18
2022-12-19,363.18
2022-12-20,363.16
2022-12-21,363.16
2022-12-22,363.16
2022-12-23,363.17
2022-12-27,363.1
2022-12-28,363.13
2022-12-29,363.13
2022-12-30,363.11
2023-01-02,363.11
2023-01-03,363.11
2023-01-04,363.11
2023-01-05,363.11
2023-01-09,363.09
2023-01-10,362.24
2023-01-11,362.24
2023-01-12,362.24
2023-01-13,362.24
2023-01-16,362.0
2023-01-17,362.24
2023-01-18,362.24
2023-01-19,362.27
2023-01-20,362.17
2023-01-23,362.16
2023-01-24,362.16
2023-01-25,362.16
2023-01-26,362.14
2023-01-27,362.14
2023-01-30,362.14
2023-01-31,362.14
2023-02-01,362.14
2023-02-02,362.14
2023-02-03,361.97
2023-02-06,361.96
2023-02-07,361.96
2023-02-08,361.96
2023-02-09,361.92
2023-02-10,361.92
2023-02-13,361.92
2023-02-14,361.92
2023-02-15,361.92
2023-02-16,361.92
2023-02-17,361.92
2023-02-20,361.92
2023-02-21,361.92
2023-02-22,361.66
2023-02-23,361.66
2023-02-24,362.67
2023-02-27,362.5
2023-02-28,361.63
2023-03-01,358.46
2023-03-02,353.65
2023-03-03,346.17
2023-03-07,337.67
2023-03-08,326.63
2023-03-09,319.56
2023-03-10,318.63
2023-03-13,319.11
2023-03-14,322.96
2023-03-15,327.06
2023-03-16,337.29
2023-03-17,336.80
2023-03-20,335.28
