date,USD_Spot_Rate
2023-03-21,335.08
2023-03-22,321.89
2023-04-04,323.78
2023-04-06,321.17
2023-04-10,319.97
2023-04-11,319.83
2023-04-12,319.85
2023-04-17,319.57
2023-04-18,319.93
2023-04-19,320.83
2023-04-20,320.72
2023-04-21,321.14
2023-04-24,321.65
2023-04-25,321.8
2023-04-26,321.76
2023-04-27,321.63
2023-04-28,321.65
2023-05-02,321.44
2023-05-03,320.9
2023-05-04,319.97
2023-05-08,319.44
2023-05-09,318.52
2023-05-10,318.09
2023-05-11,316.68
2023-05-12,313.65
2023-05-15,313.25
2023-05-16,312.64
2023-05-17,310.4
2023-05-18,307.37
2023-05-19,305.78
2023-05-22,307.08
2023-05-23,305.88
2023-05-24,304.71
2023-05-25,303.27
2023-05-26,303.05
2023-05-29,299.11
2023-05-30,296.69
2023-05-31,295.52
2023-06-01,292.46
2023-06-02,292.28
2023-06-05,292.31
2023-06-06,291.54
2023-06-07,291.21
2023-06-08,290.97
2023-06-09,293.21
2023-06-12,296.24
2023-06-13,300.43
2023-06-14,303.21
2023-06-15,308.48
2023-06-16,313.82
2023-06-19,309.2
2023-06-20,305.92
2023-06-21,306.13
2023-06-22,306.91
2023-06-23,306.95
2023-06-26,307.0
2023-06-27,308.12
2023-06-28,308.83
2023-07-04,308.12
2023-07-05,306.26
2023-07-06,306.99
2023-07-07,308.2
2023-07-10,311.51
2023-07-11,312.79
2023-07-12,313.9
2023-07-13,314.59
2023-07-14,316.36
2023-07-17,319.12
2023-07-18,322.81
2023-07-19,322.53
2023-07-20,324.25
2023-07-21,325.22
2023-07-24,326.75
2023-07-25,329.0
2023-07-26,329.42
2023-07-27,329.38
2023-07-28,329.28
2023-07-31,329.36
2023-08-02,324.65
2023-08-03,314.1
2023-08-04,318.44
2023-08-07,318.44
2023-08-08,321.5
2023-08-09,321.08
2023-08-10,320.26
2023-08-11,320.0
2023-08-14,319.98
2023-08-15,320.94
2023-08-16,321.18
2023-08-17,321.09
2023-08-18,321.86
2023-08-21,323.25
2023-08-22,323.94
2023-08-23,323.94
2023-08-24,323.97
2023-08-25,324.05
2023-08-28,323.87
2023-08-29,323.91
2023-08-31,322.66
2023-09-01,319.65
2023-09-04,319.26
2023-09-05,320.38
2023-09-06,322.0
2023-09-07,322.0
2023-09-08,322.39
2023-09-11,321.66
2023-09-12,322.28
2023-09-13,322.38
2023-09-14,323.38
2023-09-15,323.37
2023-09-18,323.38
2023-09-19,323.71
2023-09-20,324.0
2023-09-21,324.7
2023-09-22,324.61
2023-09-25,324.44
2023-09-26,324.6
2023-09-27,324.45
2023-10-02,323.52
2023-10-03,323.8
2023-10-04,323.77
2023-10-05,323.77
2023-10-06,323.69
2023-10-09,323.61
2023-10-10,323.6
2023-10-11,323.81
2023-10-12,323.85
2023-10-13,323.8
2023-10-16,323.86
2023-10-17,323.91
2023-10-18,324.14
2023-10-19,324.38
2023-10-20,324.97
2023-10-23,325.0
2023-10-24,325.9
2023-10-25,327.11
2023-10-26,326.56
2023-10-27,326.5
2023-10-30,327.13
2023-10-31,327.38
2023-11-01,327.62
2023-11-02,328.03
2023-11-03,329.06
2023-11-06,328.98
2023-11-07,327.74
2023-11-08,327.12
2023-11-09,328.41
2023-11-10,328.46
2023-11-13,327.19
2023-11-14,326.89
2023-11-15,327.36
2023-11-16,328.64
2023-11-17,328.07
2023-11-20,327.92
2023-11-21,328.09
2023-11-22,328.39
2023-11-23,328.48
2023-11-24,328.72
2023-11-27,328.75
2023-11-28,329.0
2023-11-29,329.51
2023-11-30,329.04
2023-12-01,327.56
2023-12-04,327.98
2023-12-05,328.03
2023-12-06,328.02
2023-12-07,327.13
2023-12-08,326.59
2023-12-11,326.93
2023-12-12,327.18
2023-12-13,327.1
2023-12-14,326.78
2023-12-15,326.72
2023-12-18,326.99
2023-12-19,326.92
2023-12-20,326.96
2023-12-21,326.97
2023-12-22,326.35
2023-12-25,325.74
2023-12-27,325.74
2023-12-28,324.23
2023-12-29,323.92
2024-01-01,323.99
2024-01-02,323.19
2024-01-03,321.12
2024-01-04,322.24
2024-01-05,322.43
2024-01-08,322.44
2024-01-09,322.41
2024-01-10,322.64
2024-01-11,322.83
2024-01-12,322.69
2024-01-15,153.94
2024-01-16,322.2
2024-01-17,321.75
2024-01-18,321.22
2024-01-19,320.88
2024-01-22,320.52
2024-01-23,320.05
2024-01-24,319.94
2024-01-26,319.16
2024-01-29,317.52
2024-01-30,317.94
2024-01-31,317.41
2024-02-01,316.13
2024-02-02,314.02
2024-02-05,311.41
2024-02-06,312.24
2024-02-07,314.03
2024-02-08,313.22
2024-02-09,313.59
2024-02-12,313.03
2024-02-13,313.25
2024-02-14,313.42
2024-02-15,313.17
2024-02-16,312.89
2024-02-19,312.44
2024-02-20,312.26
2024-02-21,312.03
2024-02-22,311.68
2024-02-26,311.12
2024-02-27,310.76
2024-02-28,310.75
2024-02-29,310.15
2024-03-01,309.89
2024-03-04,309.13
2024-03-05,308.11
2024-03-06,307.97
2024-03-07,307.82
2024-03-11,307.56
2024-03-12,307.03
2024-03-13,306.57
2024-03-14,306.26
2024-03-15,305.64
2024-03-18,305.24
2024-03-19,304.64
2024-03-20,303.98
2024-03-21,304.34
2024-03-22,303.94
2024-03-25,303.55
2024-03-26,302.75
2024-03-27,302.03
2024-03-28,301.18
2024-04-01,300.41
2024-04-02,300.14
2024-04-03,299.96
2024-04-04,299.89
2024-04-05,299.82
2024-04-08,299.38
2024-04-09,298.96
2024-04-10,298.68
2024-04-15,298.5
2024-04-16,298.91
2024-04-17,299.83
2024-04-18,300.91
2024-04-19,301.27
2024-04-22,302.0
2024-04-24,301.46
2024-04-25,298.72
2024-04-26,297.16
2024-04-29,296.2
2024-04-30,296.86
2024-05-02,297.6
2024-05-03,296.8
2024-05-06,297.13
2024-05-07,297.75
2024-05-08,299.62
2024-05-09,298.71
2024-05-10,298.63
2024-05-13,298.79
2024-05-14,299.9
2024-05-15,300.83
2024-05-16,302.25
2024-05-17,301.31
2024-05-20,299.88
2024-05-21,299.83
2024-05-22,299.75
2024-05-27,299.99
2024-05-28,300.42
2024-05-29,301.27
2024-05-30,301.51
2024-05-31,301.89
2024-06-03,301.89
2024-06-04,301.95
2024-06-05,302.17
2024-06-06,302.29
2024-06-07,302.71
2024-06-10,302.7
2024-06-11,303.03
2024-06-12,303.45
2024-06-13,303.74
2024-06-14,303.83
2024-06-18,303.95
2024-06-19,304.42
2024-06-20,305.28
2024-06-24,305.43
2024-06-25,305.32
2024-06-26,305.4
2024-06-27,305.34
2024-06-28,305.71
2024-07-01,306.02
2024-07-02,305.82
2024-07-03,303.52
2024-07-04,304.06
2024-07-05,304.54
2024-07-08,304.88
2024-07-09,304.47
2024-07-10,304.21
2024-07-11,303.76
2024-07-12,303.33
2024-07-15,302.19
2024-07-16,301.5
2024-07-17,303.32
2024-07-18,303.84
2024-07-19,303.99
2024-07-22,303.7
2024-07-23,303.73
2024-07-24,303.87
2024-07-25,303.56
2024-07-26,303.62
2024-07-29,303.2
2024-07-30,302.89
2024-07-31,302.37
2024-08-01,302.44
2024-08-02,302.5
2024-08-05,302.09
2024-08-06,302.21
2024-08-07,302.34
2024-08-08,301.85
2024-08-09,301.24
2024-08-12,300.4
2024-08-13,299.66
2024-08-14,299.23
2024-08-15,299.28
2024-08-16,298.9
2024-08-20,298.68
2024-08-21,299.25
2024-08-22,299.99
2024-08-23,301.13
2024-08-26,300.5
2024-08-27,300.6
2024-08-28,300.72
2024-08-29,300.68
2024-08-30,300.33
2024-09-02,299.6
2024-09-03,299.01
2024-09-04,299.17
2024-09-05,298.94
2024-09-06,298.87
2024-09-09,298.69
2024-09-10,300.07
2024-09-11,300.73
2024-09-12,300.77
2024-09-13,301.8
2024-09-18,301.2
2024-09-19,303.92
2024-09-20,304.55
2024-09-23,304.88
2024-09-24,304.42
2024-09-25,303.91
2024-09-26,301.76
2024-09-27,300.22
2024-09-30,299.36
2024-10-01,297.2
2024-10-02,295.62
2024-10-03,294.93
2024-10-04,295.47
2024-10-07,293.78
2024-10-08,293.55
2024-10-09,293.36
2024-10-10,292.92
2024-10-11,293.12
2024-10-14,292.86
2024-10-15,292.89
2024-10-16,293.69
2024-10-18,293.0
2024-10-21,292.87
2024-10-22,293.1
2024-10-23,293.26
2024-10-24,293.28
2024-10-25,293.68
2024-10-28,293.69
2024-10-29,293.54
2024-10-30,293.72
2024-11-01,293.41
2024-11-04,292.98
2024-11-05,293.09
2024-11-06,293.11
2024-11-07,292.94
2024-11-08,292.69
2024-11-11,292.65
2024-11-12,292.59
2024-11-13,292.6
2024-11-14,292.3
2024-11-18,292.19
2024-11-19,291.59
2024-11-20,290.92
2024-11-21,290.98
2024-11-22,290.99
2024-11-25,290.94
2024-11-26,291.06
2024-11-27,291.15
2024-11-28,291.09
2024-11-29,290.92
2024-12-02,290.7
2024-12-03,290.65
2024-12-04,290.54
2024-12-05,290.52
2024-12-06,290.4
2024-12-09,290.34
2024-12-10,290.36
2024-12-11,290.31
2024-12-12,290.3
2024-12-13,290.26
2024-12-16,290.32
2024-12-17,290.76
2024-12-18,290.94
2024-12-19,291.28
2024-12-20,292.68
2024-12-23,293.17
2024-12-24,295.61
2024-12-26,296.48
2024-12-27,294.33
2024-12-30,292.75
2024-12-31,292.58
2025-01-01,293.0
2025-01-02,293.41
2025-01-03,293.27
2025-01-06,293.56
2025-01-07,294.93
2025-01-08,296.15
2025-01-09,296.09
2025-01-10,295.59
2025-01-15,294.6
2025-01-16,295.22
2025-01-17,296.51
2025-01-20,296.66
2025-01-21,296.85
2025-01-22,297.5
2025-01-23,298.66
2025-01-24,298.86
2025-01-27,298.41
2025-01-28,298.47
2025-01-29,297.9
2025-01-30,296.55
2025-01-31,297.58
2025-02-03,297.64
2025-02-05,299.14
2025-02-06,298.93
2025-02-07,298.49
2025-02-10,297.66
2025-02-11,297.52
2025-02-13,297.02
2025-02-14,296.56
2025-02-17,295.52
2025-02-18,295.35
2025-02-19,295.89
2025-02-20,296.63
2025-02-21,296.48
2025-02-24,295.88
2025-02-25,295.75
2025-02-27,295.72
2025-02-28,295.5
2025-03-03,295.37
2025-03-04,295.35
2025-03-05,295.21
2025-03-06,295.23
2025-03-07,295.58
2025-03-10,295.47
2025-03-11,295.47
2025-03-12,295.5
2025-03-14,295.42
2025-03-17,295.81
2025-03-18,296.29
2025-03-19,296.04
2025-03-20,296.21
2025-03-21,296.6
2025-03-24,296.59
2025-03-25,296.72
2025-03-26,296.61
2025-03-27,296.45
2025-03-28,296.35
2025-04-01,296.32
2025-04-02,296.19
2025-04-03,296.06
2025-04-04,296.9
2025-04-07,296.76
2025-04-08,297.52
2025-04-09,298.61
2025-04-10,301.2
2025-04-11,298.87
2025-04-16,298.14
2025-04-17,298.62
2025-04-21,299.08
2025-04-22,299.23
2025-04-23,299.72
2025-04-24,299.83
2025-04-25,300.06
2025-04-28,299.7
2025-04-29,299.66
2025-04-30,299.62
2025-05-02,299.57
2025-05-05,299.48
2025-05-06,299.52
2025-05-07,299.5
2025-05-08,299.49
2025-05-09,299.3
2025-05-14,298.92
2025-05-15,298.69
2025-05-16,298.51
2025-05-19,298.82
2025-05-20,299.55
2025-05-21,300.56
2025-05-22,299.85
2025-05-23,299.41
2025-05-26,299.34
2025-05-27,299.57
2025-05-28,299.69
2025-05-29,299.67
2025-05-30,299.44
2025-06-02,299.42
2025-06-03,299.55
2025-06-04,299.52
2025-06-05,299.36
2025-06-06,299.27
2025-06-09,299.14
2025-06-11,299.11
2025-06-12,298.98
2025-06-13,299.02
2025-06-16,299.44
2025-06-17,300.79
2025-06-18,300.85
2025-06-19,300.71
2025-06-20,300.65
2025-06-23,300.45
2025-06-24,301.12
2025-06-25,300.49
2025-06-26,300.22
2025-06-27,299.97
2025-06-30,299.97
2025-07-01,299.95
2025-07-02,300.03
2025-07-03,300.0
2025-07-04,300.0
2025-07-07,300.22
2025-07-08,300.57
2025-07-09,300.91
2025-07-11,300.71
2025-07-14,300.7
2025-07-15,300.96
2025-07-16,300.95
2025-07-17,301.3
2025-07-18,301.51
2025-07-21,301.6
2025-07-22,301.85
2025-07-23,301.73
2025-07-24,301.77
2025-07-25,301.83
2025-07-28,301.87
2025-07-29,301.95
2025-07-30,302.04
2025-07-31,302.21
2025-08-01,302.19
2025-08-04,301.61
2025-08-05,301.0
2025-08-06,300.91
2025-08-07,300.77
2025-08-11,300.81
2025-08-12,300.67
2025-08-13,301.02
2025-08-14,300.93
2025-08-15,301.03
2025-08-18,301.15
2025-08-19,301.19
2025-08-20,301.54
2025-08-21,301.84
2025-08-22,301.83
2025-08-25,301.98
2025-08-26,302.23
2025-08-27,302.3
2025-08-28,302.33
2025-08-29,302.45
2025-09-01,302.29
2025-09-02,301.97
2025-09-03,302.14
2025-09-04,302.14
2025-09-08,302.02
2025-09-09,302.01
2025-09-10,301.9
2025-09-11,302.02
2025-09-12,301.91
2025-09-15,301.81
2025-09-16,302.12
2025-09-17,302.11
2025-09-18,301.98
2025-09-19,302.07
2025-09-22,302.37
2025-09-23,302.41
2025-09-24,302.53
2025-09-25,302.57
2025-09-26,302.52
2025-09-29,302.6
2025-09-30,302.61
2025-10-01,302.62
2025-10-02,302.52
2025-10-03,302.52
2025-10-07,302.48
2025-10-08,302.49
2025-10-09,302.62
2025-10-10,302.73
2025-10-13,302.68
2025-10-14,302.6
2025-10-15,302.73
2025-10-16,302.97
2025-10-17,302.99
2025-10-21,303.03
2025-10-22,303.11
2025-10-23,303.26
2025-10-24,303.61
2025-10-27,303.77
2025-10-28,304.02
2025-10-29,304.23
2025-10-30,304.34
2025-10-31,304.42
2025-11-03,304.49
2025-11-04,304.54
2025-11-06,304.62
2025-11-07,304.95
2025-11-10,304.95
2025-11-11,304.39
2025-11-12,304.28
2025-11-13,304.52
2025-11-14,305.22
2025-11-17,306.37
2025-11-18,307.9
2025-11-19,307.79
2025-11-20,308.47
2025-11-21,308.25
2025-11-24,307.98
2025-11-25,307.86
2025-11-27,308.07
2025-11-28,308.03
2025-12-01,308.07
2025-12-02,308.51
2025-12-03,308.83
2025-12-05,308.85
2025-12-08,308.66
2025-12-09,308.61
2025-12-10,308.65
2025-12-11,308.75
2025-12-12,309.03
2025-12-15,309.15
2025-12-16,309.26
2025-12-17,309.54
2025-12-18,309.65
2025-12-19,309.72
