alpha,method,rmse,mae,n_obs
0.9,dma,817.3878091112749,688.0095708672103,27
0.9,dms,854.5628681918975,712.3044009769593,27
0.95,dma,815.0070008915072,684.7427269635294,27
0.95,dms,847.6828514952658,703.47586171314,27
0.99,dma,812.8222643115769,680.5762743699097,27
0.99,dms,847.6828514952658,703.47586171314,27
1.0,dma,812.2792323003541,679.350659860961,27
1.0,dms,855.634278192358,715.1514697297267,27
