method,split,mae,rmse,mape,n_obs
dma,validation,679.350659860961,812.2792323003541,19.043151330864397,27
dms,validation,715.1514697297267,855.634278192358,19.8885112920235,27
equal_weight,validation,1541.3289655392027,1733.0630397289544,62.00037509792639,36
dma,test,453.7875299959632,808.19567482816,8.80925055212497,14
dms,test,417.43779888018116,769.5427473469207,8.05095620513115,16
equal_weight,test,830.7475998256732,1078.8349110975173,23.493262893323255,36
