model,mean_weight,std_weight,median_weight,max_weight,min_weight
ARIMA,0.012307182244410958,0.026473896346926033,4.486765692472771e-19,0.07142857142857142,3.853965460743048e-61
MS-VAR,0.015251346999578277,0.032463871857094186,9.372448443775561e-16,0.17509188720740698,4.925379934392259e-59
MS-VECM,0.02118107446393822,0.03761457588099673,1.6070812680392095e-14,0.20058052871747126,1.9939364679649583e-57
Naive,0.2398458757277781,0.3384233372919098,0.07142857142857142,0.9990506784020688,1.6869964550874749e-44
VECM,0.012120724123220426,0.026543827209348746,2.2714291292535116e-43,0.07142857142857142,6.753398734998184e-116
BVAR_par,0.061208383709095905,0.09540740234042298,0.00012293585744608155,0.3579974217590248,7.966199154578573e-47
BVAR_bop,0.023382997721418303,0.03511895842433128,1.3533358243730263e-05,0.17752599240988212,4.919040769834632e-48
BVAR_mon,0.3109815615751271,0.3389210005469557,0.09092486535204396,0.8008157119521062,1.2866521310310997e-116
BVAR_ful,0.24404681791577662,0.28688628870220906,0.1705106056235285,0.9998749664901324,0.000940361971089179
EqualWeight,0.011934629397560268,0.0266076620208323,1.2665943148192194e-72,0.07142857142857142,1.2434006088424246e-204
MSE-Weight,0.011947722194478736,0.02660302707204395,2.8824006732426504e-50,0.07142857142857142,2.540434069767834e-93
GR-Convex,0.011934629397560268,0.0266076620208323,1.266594314819172e-72,0.07142857142857142,1.2434006088423441e-204
TrimmedMean,0.011928410811192738,0.026610009388827342,7.643279559832483e-76,0.07142857142857142,1.910096058544377e-217
Median,0.01192864371886384,0.026609917376993954,5.592432002757148e-76,0.07142857142857142,8.93441589064763e-215
