date,actual,forecast,error
2020-01-01,7512.733529432759,6359.7512401699905,1152.982289262768
2020-02-01,7941.515070351391,6105.562889354103,1835.9521809972875
2020-03-01,7533.736569408685,7089.455849070877,444.2807203378079
2020-04-01,7209.520101152639,7153.993973292785,55.52612785985366
2020-05-01,6499.857251537734,7003.239464580092,-503.38221304235867
2020-06-01,6694.648013475818,7659.367872829309,-964.7198593534913
2020-07-01,7095.831822594811,7667.101855641782,-571.2700330469715
2020-08-01,7430.083006707859,7749.993389981832,-319.9103832739729
2020-09-01,6666.320938200717,7446.86953631411,-780.5485981133925
2020-10-01,5855.74394110227,7410.792989528137,-1555.049048425867
2020-11-01,5555.275602812615,7332.266645744162,-1776.9910429315469
2020-12-01,5664.265569350756,7343.810441030406,-1679.54487167965
2021-01-01,4841.863004371764,7294.518827604403,-2452.655823232639
2021-02-01,4582.993424023525,7484.755271297774,-2901.761847274249
2021-03-01,4055.2,7421.01690864088,-3365.81690864088
2021-04-01,4470.738472224253,7324.81844388417,-2854.0799716599167
2021-05-01,4032.831217910092,7073.025226896572,-3040.19400898648
2021-06-01,4060.0459080962846,6920.774985434852,-2860.7290773385675
2021-07-01,2805.884166609781,7147.973853948178,-4342.089687338397
2021-08-01,3543.508985941734,7250.539851222947,-3707.0308652812128
2021-09-01,2704.1872990039246,7046.180385965393,-4341.993086961468
2021-10-01,2269.211946488995,6798.0460968553825,-4528.834150366387
2021-11-01,1588.37233054694,6587.850674084365,-4999.478343537425
2021-12-01,3139.2264604363068,6652.90657502187,-3513.680114585563
2024-01-01,4496.0,2240.3291912486134,2255.6708087513866
2024-02-01,4520.0,2240.3291912486134,2279.6708087513866
2024-03-01,4960.0,2240.3291912486134,2719.6708087513866
2024-04-01,5471.0,2240.3291912486134,3230.6708087513866
2024-05-01,5410.0,2240.3291912486134,3169.6708087513866
2024-06-01,5654.0,2240.3291912486134,3413.6708087513866
2024-07-01,5652.0,2240.3291912486134,3411.6708087513866
2024-08-01,5959.0,2240.3291912486134,3718.6708087513866
2024-09-01,5994.0,2240.3291912486134,3753.6708087513866
2024-10-01,6472.0,2240.3291912486134,4231.670808751387
2024-11-01,6451.0,2240.3291912486134,4210.670808751387
