horizon,RMSE,MAE,MAPE,Theil_U,n_forecasts
h1,696.4598759225972,525.6725016940425,12.776088657106191,1.1457803252330157,35.0
h3,1178.0370802875555,1004.657603382507,24.15853840027644,1.9380466207050204,35.0
h6,1916.218884823775,1672.8858739142902,41.67997660988438,3.152465738478581,35.0
h12,2933.401285986706,2598.396575708383,65.19699954141805,4.825882431553503,35.0
