date,actual,forecast,error
2020-01-01,7512.733529432759,7909.821931828044,-397.0884023952858
2020-02-01,7941.515070351391,8014.035869022129,-72.52079867073826
2020-03-01,7533.736569408685,7574.015785778731,-40.279216370046015
2020-04-01,7209.520101152639,7527.101515861121,-317.58141470848204
2020-05-01,6499.857251537734,7418.838939764386,-918.9816882266523
2020-06-01,6694.648013475818,7443.267157290171,-748.6191438143533
2020-07-01,7095.831822594811,7366.03650555559,-270.2046829607798
2020-08-01,7430.083006707859,7605.938670966629,-175.85566425877005
2020-09-01,6666.320938200717,7478.641890712695,-812.3209525119782
2020-10-01,5855.74394110227,7251.388718517315,-1395.6447774150456
2020-11-01,5555.275602812615,6878.925971906516,-1323.6503690939007
2020-12-01,5664.265569350756,6757.163665052173,-1092.8980957014173
2021-01-01,4841.863004371764,7087.818590918831,-2245.9555865470675
2021-02-01,4582.993424023525,7249.160286961253,-2666.166862937728
2021-03-01,4055.2,6943.521704596031,-2888.321704596031
2021-04-01,4470.738472224253,6477.1797501658,-2006.441277941547
2021-05-01,4032.831217910092,6182.00386974206,-2149.1726518319674
2021-06-01,4060.0459080962846,6306.2207206770845,-2246.1748125808
2021-07-01,2805.884166609781,5618.80782109436,-2812.9236544845794
2021-08-01,3543.508985941734,5208.8310529918235,-1665.3220670500896
2021-09-01,2704.1872990039246,4718.796097386967,-2014.608798383042
2021-10-01,2269.211946488995,4974.113204364254,-2704.9012578752586
2021-11-01,1588.37233054694,4700.027170454088,-3111.654839907148
2021-12-01,3139.2264604363068,4461.584761823988,-1322.358301387681
2024-01-01,4496.0,2483.0031523840034,2012.9968476159966
2024-02-01,4520.0,2483.0031523840034,2036.9968476159966
2024-03-01,4960.0,2483.0031523840034,2476.9968476159966
2024-04-01,5471.0,2483.0031523840034,2987.9968476159966
2024-05-01,5410.0,2483.0031523840034,2926.9968476159966
2024-06-01,5654.0,2483.0031523840034,3170.9968476159966
2024-07-01,5652.0,4209.825840646605,1442.1741593533952
2024-08-01,5959.0,4064.3872006807583,1894.6127993192417
2024-09-01,5994.0,4453.051564205763,1540.9484357942374
2024-10-01,6472.0,5001.173380955617,1470.8266190443828
2024-11-01,6451.0,5261.184533857463,1189.815466142537
