date,actual,forecast,error
2020-01-01,7512.733529432759,7636.549534686749,-123.81600525399062
2020-02-01,7941.515070351391,7473.465980752589,468.0490895988023
2020-03-01,7533.736569408685,7756.863936387694,-223.1273669790089
2020-04-01,7209.520101152639,7528.438582814603,-318.9184816619645
2020-05-01,6499.857251537734,7018.065168509353,-518.2079169716189
2020-06-01,6694.648013475818,6905.572275194525,-210.92426171870738
2020-07-01,7095.831822594811,6833.466785854356,262.36503674045434
2020-08-01,7430.083006707859,7178.324802228718,251.75820447914066
2020-09-01,6666.320938200717,7296.52576829017,-630.204830089453
2020-10-01,5855.74394110227,6969.903312335776,-1114.1593712335061
2020-11-01,5555.275602812615,6185.915560514337,-630.6399577017219
2020-12-01,5664.265569350756,5713.452883363013,-49.18731401225705
2021-01-01,4841.863004371764,6005.395915642275,-1163.5329112705112
2021-02-01,4582.993424023525,5164.00197430024,-581.0085502767151
2021-03-01,4055.2,4782.81967373201,-727.6196737320106
2021-04-01,4470.738472224253,4310.062278141414,160.67619408283917
2021-05-01,4032.831217910092,4313.49431418935,-280.66309627925784
2021-06-01,4060.0459080962846,4327.053108391421,-267.0072002951365
2021-07-01,2805.884166609781,4188.446094862769,-1382.5619282529883
2021-08-01,3543.508985941734,3179.8262446038934,363.6827413378405
2021-09-01,2704.1872990039246,3244.9314155730453,-540.7441165691207
2021-10-01,2269.211946488995,2822.486240700441,-553.274294211446
2021-11-01,1588.37233054694,2249.8511233470417,-661.4787928001017
2021-12-01,3139.2264604363068,1503.2449244780569,1635.9815359582499
2024-01-01,4496.0,2397.6480809508857,2098.3519190491143
2024-02-01,4520.0,4364.158920340927,155.84107965907333
2024-03-01,4960.0,4367.396524475952,592.603475524048
2024-04-01,5471.0,4802.039725247741,668.9602747522586
2024-05-01,5410.0,5042.57896141876,367.4210385812403
2024-06-01,5654.0,5416.6331337520405,237.36686624795948
2024-07-01,5652.0,5545.174721426256,106.82527857374407
2024-08-01,5959.0,5708.830192331145,250.16980766885536
2024-09-01,5994.0,5901.629082733007,92.37091726699327
2024-10-01,6472.0,5798.91888345882,673.0811165411797
2024-11-01,6451.0,6415.043086079824,35.95691392017579
