date,actual,forecast,error
2020-01-01,7512.733529432759,7627.9148487475395,-115.18131931478092
2020-02-01,7941.515070351391,7493.808146967522,447.70692338386925
2020-03-01,7533.736569408685,7538.168961256061,-4.432391847376493
2020-04-01,7209.520101152639,7420.892870903505,-211.3727697508666
2020-05-01,6499.857251537734,7692.520484524168,-1192.6632329864342
2020-06-01,6694.648013475818,7508.820688791202,-814.1726753153844
2020-07-01,7095.831822594811,7176.147288305195,-80.31546571038416
2020-08-01,7430.083006707859,6814.725679224989,615.3573274828696
2020-09-01,6666.320938200717,6723.561625418537,-57.24068721781987
2020-10-01,5855.74394110227,7066.975508396874,-1211.2315672946042
2020-11-01,5555.275602812615,7255.059240812192,-1699.783637999577
2020-12-01,5664.265569350756,6899.683810168431,-1235.4182408176748
2021-01-01,4841.863004371764,6263.538311591277,-1421.6753072195133
2021-02-01,4582.993424023525,5918.8798184294665,-1335.8863944059412
2021-03-01,4055.2,6057.174769067726,-2001.974769067726
2021-04-01,4470.738472224253,5337.13338805244,-866.3949158281866
2021-05-01,4032.831217910092,4952.909277100902,-920.0780591908097
2021-06-01,4060.0459080962846,4476.532116330145,-416.48620823386045
2021-07-01,2805.884166609781,4689.439176707076,-1883.5550100972946
2021-08-01,3543.508985941734,4491.926911690194,-948.4179257484602
2021-09-01,2704.1872990039246,4294.41670485568,-1590.2294058517555
2021-10-01,2269.211946488995,3011.1141319982307,-741.9021855092356
2021-11-01,1588.37233054694,3273.316615166867,-1684.944284619927
2021-12-01,3139.2264604363068,2616.404804116465,522.8216563198416
2024-01-01,4496.0,2563.087811577546,1932.9121884224542
2024-02-01,4520.0,2563.087811577546,1956.9121884224542
2024-03-01,4960.0,2563.087811577546,2396.912188422454
2024-04-01,5471.0,4278.268759910229,1192.7312400897708
2024-05-01,5410.0,4165.241324690836,1244.7586753091637
2024-06-01,5654.0,4578.252311048562,1075.7476889514382
2024-07-01,5652.0,5053.619424284796,598.380575715204
2024-08-01,5959.0,5305.4317144729275,653.5682855270725
2024-09-01,5994.0,5429.503307341374,564.4966926586258
2024-10-01,6472.0,5599.494948398543,872.5050516014571
2024-11-01,6451.0,5796.151017946557,654.8489820534433
