forecast_origin,forecast_date,horizon,split,actual,forecast_point,forecast_mean,forecast_lower_10,forecast_upper_90,error,abs_error,sq_error,in_interval
2020-01-01,2020-02-01,1,validation,7941.515070351391,7709.422504443691,7701.073250086468,7113.892538461387,8291.26287402041,232.0925659077002,232.0925659077002,53866.959149620154,True
2020-01-01,2020-04-01,3,validation,7209.520101152639,7841.290064595565,7830.474261376937,6856.337054462188,8798.202093286849,-631.7699634429264,631.7699634429264,399133.28670867655,True
2020-01-01,2020-07-01,6,validation,7095.831822594811,8014.459603625126,8015.577519176323,6762.4316172776835,9330.127584128535,-918.6277810303154,918.6277810303154,843877.0000806812,True
2020-01-01,2021-01-01,12,validation,4841.863004371764,8359.403504242047,8362.533046338462,6618.878819971628,10158.720105636874,-3517.5404998702834,3517.5404998702834,12373091.168227684,False
2020-02-01,2020-03-01,1,validation,7533.736569408685,7611.913313011556,7603.582170357258,7014.674451600558,8193.579647916156,-78.17674360287128,78.17674360287128,6111.603240349076,True
2020-02-01,2020-05-01,3,validation,6499.857251537734,7741.249168101034,7730.449975828151,6758.2361898634545,8695.688297831904,-1241.3919165633006,1241.3919165633006,1541053.8905087046,False
2020-02-01,2020-08-01,6,validation,7430.083006707859,7912.968145539837,7914.065344212361,6666.355337234438,9226.78407248846,-482.8851388319781,482.8851388319781,233178.05730477878,True
2020-02-01,2021-02-01,12,validation,4582.993424023525,8255.737085414548,8258.798460661148,6521.799670818347,10056.451796145391,-3672.743661391023,3672.743661391023,13489046.00228794,False
2020-03-01,2020-04-01,1,validation,7209.520101152639,7984.483860602318,7976.174084869188,7393.125922314816,8562.919459601382,-774.963759449679,774.963759449679,600568.8284603799,False
2020-03-01,2020-06-01,3,validation,6694.648013475818,8116.26435355239,8105.567010419956,7138.424625951161,9068.833323775327,-1421.6163400765727,1421.6163400765727,2020993.0183727096,False
2020-03-01,2020-09-01,6,validation,6666.320938200717,8300.679454178395,8301.896504164599,7055.646767122305,9607.392308689488,-1634.3585159776776,1634.3585159776776,2671127.7587487567,False
2020-03-01,2021-03-01,12,validation,4055.2,8668.318632370985,8671.709582773621,6933.3382044008695,10451.335767626066,-4613.118632370985,4613.118632370985,21280863.51632835,False
2020-04-01,2020-05-01,1,validation,6499.857251537734,7669.516767631765,7661.17368687497,7077.156614078109,8254.861681962047,-1169.6595160940315,1169.6595160940315,1368103.3835893238,False
2020-04-01,2020-07-01,3,validation,7095.831822594811,7817.065210871448,7806.346673346868,6841.652380915242,8767.003129947345,-721.233388276637,721.233388276637,520177.6003649983,True
2020-04-01,2020-10-01,6,validation,5855.74394110227,7999.3652284572845,8000.510189292913,6755.833482228299,9313.429978426464,-2143.621287355015,2143.621287355015,4595112.223601571,False
2020-04-01,2021-04-01,12,validation,4470.738472224253,8362.220518508231,8365.330852764895,6634.169423118772,10154.376976827038,-3891.482046283978,3891.482046283978,15143632.516550537,False
2020-05-01,2020-06-01,1,validation,6694.648013475818,7276.098604265621,7267.870250445048,6684.078382089284,7854.840914940346,-581.4505907898038,581.4505907898038,338084.7895298118,True
2020-05-01,2020-08-01,3,validation,7430.083006707859,7341.995490023954,7330.621374978131,6351.348448963076,8292.806738236743,88.08751668390505,88.08751668390505,7759.410595537251,True
2020-05-01,2020-11-01,6,validation,5555.275602812615,7480.115126794003,7480.14745422753,6217.40983141203,8790.32087883879,-1924.839523981388,1924.839523981388,3705007.1930808965,False
2020-05-01,2021-05-01,12,validation,4032.831217910092,7769.238296006254,7770.215160929779,6012.494329377436,9584.488634775933,-3736.407078096162,3736.407078096162,13960737.853247099,False
2020-06-01,2020-07-01,1,validation,7095.831822594811,6644.194158893758,6635.743015538794,6050.04356906886,7231.888350044878,451.6376637010526,451.6376637010526,203976.57927334507,True
2020-06-01,2020-09-01,3,validation,6666.320938200717,6756.673301629347,6745.302231029294,5767.7952016247,7723.940013402753,-90.35236342863027,90.35236342863027,8163.549577139284,True
2020-06-01,2020-12-01,6,validation,5664.265569350756,6878.224633768959,6878.764718694241,5613.7027104579665,8204.582616648755,-1213.9590644182035,1213.9590644182035,1473696.61008312,True
2020-06-01,2021-06-01,12,validation,4060.0459080962846,7123.47987147498,7125.144038385753,5338.524196308345,8982.227499240507,-3063.433963378696,3063.433963378696,9384627.647982104,False
2020-07-01,2020-08-01,1,validation,7430.083006707859,6773.486475588829,6765.054106510881,6180.214766349292,7358.608029766567,656.5965311190294,656.5965311190294,431119.0046775425,False
