date,mean,lower_2.5,lower_5,lower_10,lower_25,upper_75,upper_90,upper_95,upper_97.5,std
2020-01-01,7716.324631714207,6486.994233714701,6666.152723965023,6899.87671465791,7293.729378753966,8137.919939822268,8544.294082705203,8762.156160033395,8958.05999651569,635.3538458096685
2020-02-01,7776.559109542516,6047.386857327613,6292.092065217546,6634.841725471842,7181.517396061179,8370.653722548672,8895.809453825937,9257.672042342858,9542.196629403623,888.8827053006418
2020-03-01,7826.007701340039,5653.012757175311,6070.463057735417,6455.55955430702,7103.113996512866,8554.373698642836,9210.258549028436,9622.590759334496,9938.95990110354,1078.7237680819094
2020-04-01,7898.131138371063,5472.054328446822,5938.0996852790995,6395.68780961054,7081.918859973812,8705.052125872386,9448.260027842824,9921.740714075033,10309.901385177382,1215.2905044725937
2020-05-01,7962.787083859544,5308.95420765102,5840.064931651412,6278.4294504536765,7075.547834697844,8867.929450745618,9703.33887717461,10167.068213974362,10555.549651016778,1334.1595657583364
2020-06-01,8028.344448505774,5279.729654195591,5652.837654527581,6213.415784939792,7076.794308663311,8971.793723585706,9853.312635228496,10413.855951264648,10821.991495257322,1425.5577738490863
2020-07-01,8084.100015866822,5181.007255834907,5636.526006025905,6134.812174631267,7072.302825371949,9095.202798744525,10026.006903374606,10612.306205609315,11105.517318233498,1512.5129946881716
2020-08-01,8160.7120496885045,5014.222826869426,5518.84056345133,6106.105289821932,7085.568192574534,9224.809288111743,10188.79729371137,10804.678773634128,11301.592304562722,1592.0659539956307
2020-09-01,8209.015400484604,4963.361571586896,5498.7039485462055,6079.574273697674,7111.514542907883,9320.060182894322,10348.59377221812,10913.32821426318,11425.45484118806,1660.608621444844
2020-10-01,8259.734215334396,4892.888899675333,5390.036080837115,6048.143006954008,7093.579142480177,9438.856331999757,10488.611642850758,11102.403730647371,11638.075262428274,1732.3254782019396
2020-11-01,8320.78500642489,4692.9673942089075,5351.083790224621,5990.07425665509,7106.398196577728,9558.212761392233,10583.228998092645,11240.50556138963,11829.577926504739,1806.4895530855333
2020-12-01,8394.949541136153,4738.868422460647,5277.490019460796,5984.694800974123,7160.729185786367,9639.207125487887,10739.457293378025,11428.617299068796,12036.505984769927,1860.0838490534636
