forecast_origin,forecast_date,horizon,split,actual,forecast_point,forecast_mean,forecast_lower_10,forecast_upper_90,error,abs_error,sq_error,in_interval
2020-01-01,2020-02-01,1,validation,7941.515070351391,7706.540170454432,7721.810860847452,6910.701934207201,8508.688208945885,234.97489989695896,234.97489989695896,55213.20358158588,True
2020-01-01,2020-04-01,3,validation,7209.520101152639,7833.706205020938,7861.993635613309,6526.445956273511,9243.444117602981,-624.1861038682991,624.1861038682991,389608.2922622871,True
2020-01-01,2020-07-01,6,validation,7095.831822594811,8022.119330113115,8077.060236143979,6261.772515105612,9882.559678076352,-926.2875075183047,926.2875075183047,858008.5465844733,True
2020-01-01,2021-01-01,12,validation,4841.863004371764,8393.205248190387,8452.371470532014,6091.257875097769,10903.542837869496,-3551.3422438186226,3551.3422438186226,12612031.732730689,False
2020-02-01,2020-03-01,1,validation,7533.736569408685,7581.229895825192,7596.210661831523,6789.574826795421,8384.960814427823,-47.49332641650744,47.49332641650744,2255.616054104924,True
2020-02-01,2020-05-01,3,validation,6499.857251537734,7716.889901088194,7745.1352686494065,6415.822385884824,9120.892646989763,-1217.0326495504605,1217.0326495504605,1481168.470071814,True
2020-02-01,2020-08-01,6,validation,7430.083006707859,7917.459901732903,7972.352269593141,6152.946227657189,9768.325537719937,-487.3768950250442,487.3768950250442,237536.23780425295,True
2020-02-01,2021-02-01,12,validation,4582.993424023525,8310.598933248712,8369.786423894293,6019.153478121394,10807.570618238717,-3727.6055092251863,3727.6055092251863,13895042.83240596,False
2020-03-01,2020-04-01,1,validation,7209.520101152639,8002.442921046476,8017.373303460393,7217.384837133352,8798.205856627075,-792.9228198938372,792.9228198938372,628726.5983083945,False
2020-03-01,2020-06-01,3,validation,6694.648013475818,8125.2388288943075,8153.6904673468425,6831.04821806547,9511.937309431503,-1430.59081541849,1430.59081541849,2046590.0811597398,False
2020-03-01,2020-09-01,6,validation,6666.320938200717,8311.02947185117,8365.949409442106,6562.650923468272,10145.898569107741,-1644.7085336504533,1644.7085336504533,2705066.1606626245,True
2020-03-01,2021-03-01,12,validation,4055.2,8685.800504094259,8743.466534163548,6410.132427945674,11168.008850560436,-4630.600504094259,4630.600504094259,21442461.028518006,False
2020-04-01,2020-05-01,1,validation,6499.857251537734,7599.697428423365,7615.177199704314,6811.771302763319,8405.578648117615,-1099.840176885631,1099.840176885631,1209648.4146918163,False
2020-04-01,2020-07-01,3,validation,7095.831822594811,7733.479616951945,7763.046615957599,6440.476022740496,9116.396998430973,-637.6477943571344,637.6477943571344,406594.7096485184,True
2020-04-01,2020-10-01,6,validation,5855.74394110227,7937.260948653133,7995.69690635959,6209.234074112582,9780.867917565743,-2081.517007550863,2081.517007550863,4332713.0527235,False
2020-04-01,2021-04-01,12,validation,4470.738472224253,8349.845246150793,8405.961109671129,6089.552528834809,10842.105707017137,-3879.10677392654,3879.10677392654,15047469.363522768,False
2020-05-01,2020-06-01,1,validation,6694.648013475818,7265.062458422342,7279.062655689697,6487.122182704023,8061.682166131777,-570.4144449465248,570.4144449465248,325372.639003652,True
2020-05-01,2020-08-01,3,validation,7430.083006707859,7377.696868618982,7405.019493107125,6084.186659180566,8758.992487116833,52.38613808887658,52.38613808887658,2744.3074638668454,True
2020-05-01,2020-11-01,6,validation,5555.275602812615,7549.433420868174,7602.419612944605,5788.616679579335,9405.343367861757,-1994.157818055559,1994.157818055559,3976665.4033121075,False
2020-05-01,2021-05-01,12,validation,4032.831217910092,7898.093864036352,7956.922831628771,5622.211758630269,10409.533729987894,-3865.26264612626,3865.26264612626,14940255.323538976,False
2020-06-01,2020-07-01,1,validation,7095.831822594811,6566.978167916775,6583.2960773405675,5772.115092293807,7369.149821990946,528.8536546780351,528.8536546780351,279686.18806631444,True
2020-06-01,2020-09-01,3,validation,6666.320938200717,6701.940494409571,6733.338137602487,5396.827985429557,8108.402443241227,-35.61955620885419,35.61955620885419,1268.7527845157233,True
2020-06-01,2020-12-01,6,validation,5664.265569350756,6905.304033133919,6962.224534416973,5140.848823953627,8784.884306755652,-1241.038463783163,1241.038463783163,1540176.4685892733,True
2020-06-01,2021-06-01,12,validation,4060.0459080962846,7311.709263223776,7372.26442444582,5005.071287296591,9827.344765327647,-3251.6633551274917,3251.6633551274917,10573314.575078977,False
2020-07-01,2020-08-01,1,validation,7430.083006707859,6771.309612674568,6787.762476040159,5988.120042551905,7570.069519736432,658.773394033291,658.773394033291,433982.3846861416,True
