date,mean,lower_2.5,lower_5,lower_10,lower_25,upper_75,upper_90,upper_95,upper_97.5,std
2020-01-01,7598.755598158338,6344.783977869338,6537.20581449408,6763.0037433391735,7151.501801269638,8035.174015153256,8424.891321503996,8646.92553225736,8841.5070699524,643.4548095878062
2020-02-01,7612.614681449411,6086.7111298072605,6339.444166234647,6594.761540104392,7086.144796575127,8132.1128445346985,8596.322274398224,8908.342807411407,9178.89046297207,784.6355941007952
2020-03-01,7590.657652730183,5716.68331121169,6071.102605559884,6388.169270358488,6965.990783587144,8215.93636435865,8766.14716503962,9107.585781376569,9422.464803224942,935.2979024649311
2020-04-01,7598.653274701591,5559.259705096469,5916.518387683022,6296.315240745327,6905.080225695403,8304.269951978806,8925.926775009428,9334.611356180172,9635.887590316866,1039.9878731941865
2020-05-01,7591.7643416353285,5370.068569151634,5750.728711243225,6150.018078891942,6838.143814178864,8333.745739003301,9019.237225050852,9479.067743190722,9879.826322744982,1134.3742402730948
2020-06-01,7602.366486062847,5235.040342937445,5591.094700230523,6045.537853319016,6792.230041159424,8402.88149215515,9163.994011668454,9656.605475173812,10039.159494443387,1221.4422601312297
2020-07-01,7591.026340869372,5059.774899105783,5439.73142398143,5923.875377518495,6685.948623317117,8453.087403664216,9294.163674973192,9810.044230400485,10257.445126962812,1323.6548407489956
2020-08-01,7584.980525122614,4842.695171464353,5255.556874496673,5765.138804311819,6655.961630384576,8542.556407964623,9373.015073184622,9874.702181102926,10372.194905225755,1406.7914964424128
2020-09-01,7584.808441513652,4646.062000778357,5073.543951783229,5638.877867133517,6602.260489420151,8605.166239294453,9483.880360861414,9981.469915354872,10450.274259405678,1483.4784992326627
2020-10-01,7587.953609499502,4561.805720313734,5027.156804750964,5571.130877286719,6539.628251259957,8644.452815369983,9585.319920762524,10160.056949558044,10622.681893802494,1553.6530577768349
2020-11-01,7583.841219548234,4390.113970909802,4901.848251086258,5450.9168639298605,6469.11289402591,8713.104081631776,9736.351377671788,10314.011045602721,10738.133099518649,1638.5723884370566
2020-12-01,7581.116258628944,4336.096139444944,4783.064296568768,5368.474875565975,6418.597536367823,8740.75286542162,9733.255087545342,10378.601012918223,10905.217990488642,1695.0064294388424
