date,mean,lower_2.5,lower_5,lower_10,lower_25,upper_75,upper_90,upper_95,upper_97.5,std
2020-01-01,7644.864838151383,6638.395008554406,6802.078297996044,6996.859331679849,7304.925464938502,7984.7436162029635,8291.220772724395,8464.84159383129,8643.073146518658,509.5862524072272
2020-02-01,7658.603875319455,6252.908098070212,6461.2157144562625,6746.540276033776,7170.805938920698,8155.041847511399,8575.204637086574,8830.3162822085,9064.317977248911,716.6049680706741
2020-03-01,7678.099627877252,5972.193989970172,6260.695801837598,6558.100536774551,7078.991460232253,8275.564719859343,8789.967703622984,9108.961420087477,9368.507098409786,869.5547110080713
2020-04-01,7677.854813723843,5749.907668500098,6007.400616218853,6366.050380485782,6984.842489062197,8375.830650686112,8976.2063413562,9334.610844734501,9612.599346450686,1009.1477265280113
2020-05-01,7676.666158723713,5473.165663317332,5822.653771865681,6253.409024592099,6921.210788398517,8449.273914196918,9113.987689053693,9514.633462517608,9874.721040695458,1121.568741827837
2020-06-01,7679.599857417969,5329.689433528995,5702.794580693221,6097.97177390771,6845.478488000384,8515.003631294298,9213.698270979508,9688.896888533813,10051.36438416106,1221.0538873623377
2020-07-01,7688.753866595828,5115.187167491033,5539.18728779783,5985.401185058129,6812.66400401574,8573.780909142419,9388.817249487154,9856.627273177099,10295.590078294557,1314.3886645696887
2020-08-01,7690.284166589275,5005.893198009285,5374.723438162354,5856.419646020416,6735.074607048619,8646.65387463826,9472.196581124566,9986.78064659445,10458.426977134455,1403.591040110926
2020-09-01,7698.6103992610915,4793.3369639753755,5256.045399784311,5756.204373251226,6670.8692857850065,8692.366874572399,9640.153584431026,10146.360845616216,10611.170320189438,1496.037678103537
2020-10-01,7705.054613092692,4705.534488579709,5122.197522644773,5698.916362692072,6608.168044958857,8774.57455710378,9685.880010240162,10294.551537595287,10807.702668843138,1565.4065340214358
2020-11-01,7718.542086490189,4571.783351221988,5052.018522704617,5628.059422410493,6589.34471310638,8819.860383454274,9791.013129002427,10399.220192435145,10960.478254249829,1635.0037520037138
2020-12-01,7740.780616783647,4465.81304105763,4920.552923061891,5501.851405210311,6583.209149854637,8887.685401812143,9930.767684601087,10547.719838278452,11057.090149056365,1710.1125588692535
