date,forecast,mean,median
2020-01-01,7650.153518474288,7644.864838151383,7649.613919940428
2020-02-01,7660.899189494466,7658.603875319455,7647.975989839249
2020-03-01,7671.580044704349,7678.099627877252,7682.988880135968
2020-04-01,7682.274685190085,7677.854813723843,7680.362255331801
2020-05-01,7692.981741948099,7676.666158723713,7669.198803242438
2020-06-01,7703.701796296764,7679.599857417969,7680.709970862634
2020-07-01,7714.43530716803,7688.753866595828,7665.739491055885
2020-08-01,7725.182674356247,7690.284166589275,7683.312371998167
2020-09-01,7735.944245871416,7698.6103992610915,7697.6764783823455
2020-10-01,7746.7203254269325,7705.054613092692,7715.518333164584
2020-11-01,7757.511178821336,7718.542086490189,7733.491916964826
2020-12-01,7768.3170394040435,7740.780616783647,7741.609782208536
