date,forecast,mean,median
2020-01-01,7663.255259463237,7664.77519674,7662.200500984733
2020-02-01,7694.86922861312,7702.5029910800085,7699.247017097581
2020-03-01,7721.97324674395,7738.803120222951,7739.8918200547105
2020-04-01,7751.4674656984835,7757.221685209404,7757.03007324307
2020-05-01,7778.200661604146,7790.473007877474,7779.425353759272
2020-06-01,7804.4952856993195,7824.945916536444,7829.645171856024
2020-07-01,7830.208268548048,7854.54297127223,7854.279701219035
2020-08-01,7855.316241958336,7882.775533590022,7887.82402994075
2020-09-01,7879.834730583195,7910.858250802749,7904.137767247361
2020-10-01,7903.92105148215,7932.197802977392,7923.742433727095
2020-11-01,7927.617433882662,7944.821200702104,7959.938630115962
2020-12-01,7950.965354471868,7975.4618308098925,7975.119556019821
