date,forecast,mean,median
2020-01-01,7706.507680109278,7716.324631714207,7712.04556014857
2020-02-01,7770.236587905669,7776.559109542516,7778.014961453902
2020-03-01,7833.6140990211525,7826.007701340039,7828.95813382089
2020-04-01,7896.6723222804385,7898.131138371063,7901.347104036655
2020-05-01,7959.441339657151,7962.787083859544,7936.561505504527
2020-06-01,8021.949413665757,8028.344448505774,7996.260411713443
2020-07-01,8084.223167538392,8084.100015866822,8076.0711441504245
2020-08-01,8146.28774210379,8160.7120496885045,8167.8143138762225
2020-09-01,8208.166932706876,8209.015400484604,8211.287068417943
2020-10-01,8269.883309014836,8259.734215334396,8266.181051288777
2020-11-01,8331.458320136137,8320.78500642489,8333.019311135797
2020-12-01,8392.912387121805,8394.949541136153,8405.024889655731
