date,forecast,mean,median
2020-01-01,7709.425997895139,7715.431831394245,7719.303170559881
2020-02-01,7780.425386298391,7776.786410679821,7776.0436338652
2020-03-01,7841.296493756113,7828.614309783359,7832.414458269985
2020-04-01,7899.505216553611,7888.291760602312,7895.204920959604
2020-05-01,7957.1440595589365,7934.920730732281,7945.905805020961
2020-06-01,8014.442738609447,7991.440478535981,7987.614447891185
2020-07-01,8071.673791795566,8047.536807537695,8038.773934274685
2020-08-01,8128.959318106289,8113.266171755749,8103.278467230753
2020-09-01,8186.348153382789,8179.338231654647,8163.509192456311
2020-10-01,8243.866440313204,8233.6639370263,8230.312149076643
2020-11-01,8301.527942837976,8284.412634043565,8294.8499180086
2020-12-01,8359.341312855595,8349.683912177343,8358.046686766364
