date,mean,lower_2.5,lower_5,lower_10,lower_25,upper_75,upper_90,upper_95,upper_97.5,std
2020-01-01,7715.431831394245,6802.8202811335705,6955.407772997039,7117.511003330309,7404.7998141518965,8015.610086069834,8310.191292999247,8481.639224193626,8615.800734065317,465.2021693463916
2020-02-01,7776.786410679821,6533.641819007886,6747.709083490477,6981.180735472789,7354.457068115084,8185.321266635701,8574.16438860601,8801.520688069602,8983.895522267401,622.2822004883957
2020-03-01,7828.614309783359,6363.210986956919,6584.447040108868,6883.745474745991,7336.686750732402,8332.069536551417,8782.052863539031,9050.683009164472,9274.051834924321,747.3498471947878
2020-04-01,7888.291760602312,6148.182613466971,6478.296761647002,6826.053558620741,7310.8801623544605,8461.400357801513,8975.682380694027,9297.719607015413,9563.253649930175,852.713549266015
2020-05-01,7934.920730732281,6044.082277553404,6384.551819948899,6720.9907474035435,7294.800861037738,8565.445354467582,9176.818519837985,9542.079170645009,9813.014916408689,955.540755675847
2020-06-01,7991.440478535981,5989.724892919826,6299.071283685364,6676.385460092829,7291.878708427465,8688.270789246702,9311.150398376085,9745.171425816434,10057.12375733621,1036.9011381628386
2020-07-01,8047.536807537695,5922.039011659544,6234.0176435138055,6619.203268099971,7283.752908604313,8794.675457969772,9468.02083750041,9923.256006508569,10244.469672448224,1111.6419112010835
2020-08-01,8113.266171755749,5841.208519709874,6210.183822409448,6619.873043277452,7354.046960997735,8883.39768623294,9625.625560346367,10028.179762102653,10405.136625936404,1166.3769523757003
2020-09-01,8179.338231654647,5804.845915625509,6171.515767482463,6628.561737322568,7376.645890507924,8992.282227012889,9728.350042955131,10173.415278299135,10593.105247415766,1216.5358294779335
2020-10-01,8233.6639370263,5756.9550395103415,6161.565548339564,6634.2638845384645,7402.703270148622,9073.176475660568,9844.907543962903,10323.240530640422,10742.931630426878,1266.51082088942
2020-11-01,8284.412634043565,5701.288603068615,6105.567449388305,6569.700256027805,7401.112995914473,9165.748029545099,9983.23846707187,10474.646389105836,10926.79525166673,1330.504707582506
2020-12-01,8349.683912177343,5641.170241092701,6105.511963241397,6592.833237962693,7408.986218140475,9265.17630120458,10119.24576960172,10636.591925945564,11034.974551002964,1378.142319456487
