date,forecast,mean,median
2020-01-01,7594.481825372633,7598.755598158338,7601.917903331688
2020-02-01,7613.2677986510425,7612.614681449411,7607.921414165764
2020-03-01,7596.360742525896,7590.657652730183,7604.966387021857
2020-04-01,7597.311353567618,7598.653274701591,7582.534669767785
2020-05-01,7590.153996269734,7591.7643416353285,7577.155367017616
2020-06-01,7586.9027326849955,7602.366486062847,7578.080461075871
2020-07-01,7581.741721867621,7591.026340869372,7598.122373238531
2020-08-01,7577.493752787431,7584.980525122614,7582.771596629576
2020-09-01,7572.814242615345,7584.808441513652,7589.770110779571
2020-10-01,7568.347214862714,7587.953609499502,7585.34982398636
2020-11-01,7563.78248921579,7583.841219548234,7568.0661414780625
2020-12-01,7559.268831615553,7581.116258628944,7593.94245290381
