date,mean,lower_2.5,lower_5,lower_10,lower_25,upper_75,upper_90,upper_95,upper_97.5,std
2020-01-01,7664.77519674,6609.863465971186,6772.085637541345,6980.089249659151,7307.263061233662,8026.27279754786,8376.030411081152,8571.656066365671,8729.092389200976,543.2867012781873
2020-02-01,7702.5029910800085,6328.056601013213,6571.705773063879,6828.2352898713625,7245.455808350719,8151.6144637134,8589.797728947871,8867.02697892582,9075.736426483058,700.1278404190841
2020-03-01,7738.803120222951,6130.3170523083545,6407.198103110991,6692.431395360218,7198.5252579616545,8297.1975059455,8775.040732040052,9055.753827604916,9336.774504872243,815.8469976549598
2020-04-01,7757.221685209404,5968.8915679472875,6227.5670421233535,6580.214627061894,7144.005539612109,8361.289792726559,8908.606549739528,9249.920997585576,9595.021917169079,919.2468029601329
2020-05-01,7790.473007877474,5804.0447962337985,6129.625287451425,6488.018531855517,7108.292871564892,8471.341427132356,9054.419519628815,9454.13177513695,9811.637176485916,1004.9473300717965
2020-06-01,7824.945916536444,5746.082232920496,6044.371698581979,6443.659638013802,7107.269329474982,8542.755610635459,9160.074095158297,9614.371264371177,9982.094684095935,1071.1135701961032
2020-07-01,7854.54297127223,5616.328808682308,5986.220112028287,6412.6970823322445,7109.45405755818,8607.70835745001,9341.897462080677,9751.835119385434,10080.653643543212,1135.7141146452861
2020-08-01,7882.775533590022,5617.332868147947,5941.908219617487,6357.010560676311,7050.800789820693,8689.547812809353,9435.952218312425,9851.398278298868,10213.48112615231,1193.5326280545187
2020-09-01,7910.858250802749,5465.187646456299,5854.462493535106,6324.219709658858,7077.855637021206,8757.204866867374,9488.486637937564,9994.158891908242,10388.12499717393,1246.3489283155593
2020-10-01,7932.197802977392,5419.270763762162,5805.678474093007,6266.826388607911,7086.71828961921,8806.54791180357,9572.295037810873,10095.740501970138,10468.931715641245,1290.332418741166
2020-11-01,7944.821200702104,5276.547978156236,5697.821103969515,6218.214674018355,7061.406982809889,8818.261338976237,9678.246477946906,10212.060285968675,10588.057229859947,1337.9390883718095
2020-12-01,7975.4618308098925,5257.477676809881,5693.311795795255,6186.413664374524,7036.565103056761,8911.293180787743,9780.023596686015,10300.947148535166,10688.592673892557,1393.5477582724793
