date,reserve_money_total_lkr_m,money_multiplier_m1
2003-01-01,123527.0,1.1012491196256688
2003-02-01,127140.0,1.0841434638980652
2003-03-01,131778.0,1.071536978858383
2003-04-01,128642.0,1.1128947000202112
2003-05-01,132421.0,1.0874710204574802
2003-06-01,130725.0,1.0878561866513674
2003-07-01,131026.0,1.1016210523102286
2003-08-01,135246.0,1.1050530145068986
2003-09-01,134600.0,1.156664190193165
2003-10-01,137727.0,1.1015777588998525
2003-11-01,140990.0,1.1165330874530108
2003-12-01,141447.0,1.1427248368646914
2004-01-01,145881.0,1.1182196447789636
2004-02-01,146768.0,1.1349612994658236
2004-03-01,158659.0,1.0833863821151022
2004-04-01,153085.0,1.107196049227875
2004-05-01,152185.0,1.1291914446233202
2004-06-01,151130.0,1.1233441408059286
2004-07-01,156318.7,1.0997895329422527
2004-08-01,155850.0,1.1129868463265962
2004-09-01,158241.0,1.125233030630494
2004-10-01,161806.0,1.086659332781232
2004-11-01,163922.0,1.1088261490220959
2004-12-01,170967.0,1.1022770476173764
2005-01-01,174648.0,1.1378257981769044
2005-02-01,174666.0,1.1370386909873702
2005-03-01,190754.90000000002,1.0909019422819848
2005-04-01,181861.2,1.1407833455221295
2005-05-01,179195.19999999998,1.1441000027902564
2005-06-01,179817.4,1.1586446220323996
2005-07-01,184647.0,1.1648063602441414
2005-08-01,184289.0,1.1508011872656534
2005-09-01,187893.5,1.145608694263787
2005-10-01,191179.0,1.1740567740180667
2005-11-01,190968.7,1.181191711743791
2005-12-01,197932.1,1.165561910150961
2006-01-01,196864.1,1.168537670676203
2006-02-01,203029.5,1.1392848347534847
2006-03-01,217168.3,1.0783126427466294
2006-04-01,216094.0,1.1012476052088442
2006-05-01,212027.0,1.1037320718587726
2006-06-01,212418.7,1.121104686169344
2006-07-01,214844.80000000002,1.102582422288089
2006-08-01,213894.9,1.1156058419345203
2006-09-01,222140.40000000002,1.0782559138274714
2006-10-01,225512.9,1.0922350783480679
2006-11-01,226627.3,1.0723156477617657
2006-12-01,239863.3,1.082638839670979
2007-01-01,236781.90000000002,1.0784075978780472
2007-02-01,237920.3,1.0924494463061791
2007-03-01,252954.0,1.0546134870371688
2007-04-01,249337.09999999998,1.0609018874447484
2007-05-01,246220.4,1.0841686296807733
2007-06-01,247846.3,1.0466216925026024
2007-07-01,247209.2,1.0324826361499784
2007-08-01,257063.8,1.0160080882644698
2007-09-01,256714.9,1.012683330807834
2007-10-01,256519.0,0.9901831833119573
2007-11-01,264080.4,0.9737920724143101
2007-12-01,264419.4,1.00821649243588
2008-01-01,260423.87,0.9917300217069172
2008-02-01,273009.16099999996,0.9744070895779335
2008-03-01,276346.18,1.0342288290765924
2008-04-01,280201.0,0.9740982366229956
2008-05-01,277575.97000000003,0.9661008034198934
2008-06-01,271212.24,1.009110953792605
2008-07-01,281291.97,0.9572899335921391
2008-08-01,282575.64,0.9588489031434763
2008-09-01,280214.7,0.9820751922630837
2008-10-01,276102.58,0.9656446552839416
2008-11-01,253568.80999999997,1.0341938755872173
2008-12-01,268425.24,1.0331466643221277
2009-01-01,263769.6,1.0069947408647546
2009-02-01,258097.0,1.029208785844082
2009-03-01,266351.0,1.0245153950989485
2009-04-01,261176.59999999998,1.0361689582160758
2009-05-01,268603.1,1.0116405953617067
2009-06-01,262560.940702,1.0243053293252515
2009-07-01,275591.476058,1.0054380173500161
2009-08-01,276596.828901,1.0322065396977071
2009-09-01,274521.32119,1.0683125642268807
2009-10-01,288830.491907,1.0197728843557103
2009-11-01,288163.967292,1.0880312418849192
2009-12-01,303537.302256,1.1092871927470793
2010-01-01,309189.815069,1.0988570479197022
2010-02-01,310808.539535,1.0968033407690263
2010-03-01,328852.718117,1.1030827272236787
2010-04-01,325004.737813,1.082813806902397
2010-05-01,330608.312261,1.072541569651421
2010-06-01,322906.975679,1.0789607625178603
2010-07-01,331813.171708,1.0583558234422952
2010-08-01,336798.125384,1.0726562712458687
2010-09-01,338471.172369,1.1044793546574097
2010-10-01,348435.009656,1.0910477328102317
2010-11-01,344090.518709,1.1062797855452606
2010-12-01,360511.371001,1.1294836883686272
2011-01-01,362885.671374,1.1237640414635504
2011-02-01,366083.853379,1.1339252902592574
2011-03-01,382139.96322399995,1.0968316561180225
2011-04-01,405454.640712,1.0445636294865455
2011-05-01,400028.551853,1.057989514949909
2011-06-01,397194.453357,1.0598176361315528
2011-07-01,413172.099588,1.047905768541625
2011-08-01,419936.970645,1.0393715531284262
2011-09-01,422277.78043800005,1.0309924267527297
2011-10-01,425459.41163199994,1.0203357717270891
2011-11-01,420345.42790799995,1.0103289329442648
2011-12-01,439504.299606,0.998186919545874
2012-01-01,434898.655471,0.9925989477718572
2012-02-01,439406.56956900004,0.9941548225563871
2012-03-01,471146.498426,0.952190824094498
2012-04-01,449306.65827899997,0.9886305048639232
2012-05-01,449479.40636200004,0.9675037413244548
2012-06-01,457526.1392379999,0.9459129099856801
2012-07-01,463412.62748300005,0.9448683222100862
2012-08-01,472950.17370000004,0.9281413813996872
2012-09-01,473141.72944799997,0.9294324469953152
2012-10-01,471116.175271,0.903042238927894
2012-11-01,476890.83256600006,0.9017086544747055
2012-12-01,484362.439386,0.9291571207760299
2013-01-01,484095.99568799994,0.9101501525556243
2013-02-01,486728.223648,0.9192028027019845
2013-03-01,512395.91082600004,0.9083065791125046
2013-04-01,500287.639121,0.9056483130266118
2013-05-01,507211.303089,0.8726307565534197
2013-06-01,500301.22033599997,0.8875509753659664
2013-07-01,456106.03279100003,0.9751092375965082
2013-08-01,466583.91813799995,0.9710844200742262
2013-09-01,465742.69608,0.9873236576446797
2013-10-01,466851.637248,1.0309780172181713
2013-11-01,471997.257646,0.9626576219279239
