date,value_raw,value_standardized,country,country_code,source_provider,source_file_name,source_url,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY
2008-01-01,3595142214.969773,3595.142214969773,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-02-01,3741421659.6674,3741.4216596674,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-03-01,3909707446.548345,3909.707446548345,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-04-01,4085790690.964741,4085.7906909647413,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-05-01,3870679407.179738,3870.679407179738,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-06-01,4017270055.309636,4017.270055309636,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-07-01,3535806066.884779,3535.806066884779,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-08-01,3447233448.682869,3447.233448682869,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-09-01,3797679870.905677,3797.679870905677,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-10-01,3464371164.689628,3464.371164689628,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-11-01,2714270023.696771,2714.270023696771,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2008-12-01,2121020988.973695,2121.0209889736952,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-01-01,2522912747.528656,2522.912747528656,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-02-01,2118934947.745611,2118.9349477456108,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-03-01,2355924711.727069,2355.924711727069,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-04-01,2793373731.980779,2793.373731980779,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-05-01,2556901181.125788,2556.9011811257883,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-06-01,3332845207.318562,3332.845207318562,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-07-01,2631125607.541169,2631.1256075411693,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-08-01,2524266641.898526,2524.2666418985264,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-09-01,2416395113.464977,2416.395113464977,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-10-01,2968444063.247256,2968.4440632472556,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-11-01,2522353889.059566,2522.353889059566,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
2009-12-01,2903324544.782382,2903.324544782382,pakistan,PAK,imf,,https://api.imf.org/external/sdmx/2.1/data/ITG/PAK.MG.CIF_USD.M?detail=full&startPeriod=2000-01,PAK,MG,CIF_USD,M
