date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,target_diff1,target_log,target_log_diff1,target_pct_change,split
2009-01-01,2845.0,491.1225052832559,682.61380664753,258.0172194779417,113.7685,,7.953318346560431,,,train
2009-02-01,3073.0,524.2484802781544,606.3115947182515,241.3434650018653,114.1026,228.0,8.030409562130485,0.0770912155700536,8.014059753954307,train
2009-03-01,3301.0,632.0015886956218,1023.5566745806852,281.286631035467,114.2836,228.0,8.101980731853192,0.0715711697227075,7.419459811259355,train
2009-04-01,3529.0,437.6225719222221,620.6460025503133,266.2652379968468,117.3068,228.0,8.16876982367527,0.06678909182207704,6.9069978794304765,train
2009-05-01,3757.0,538.4531361060348,773.3656772212477,275.5109741085164,116.672,228.0,8.231376045573969,0.06260622189869913,6.460753754604709,train
2009-06-01,3985.0,565.210780767491,845.0991412943899,280.49028152479883,114.8105,228.0,8.290292591224315,0.05891654565034621,6.068671812616455,train
2009-07-01,4213.0,652.2373263642176,939.2792191444825,300.1334402623257,114.8002,228.0,8.345930261979017,0.055637670754702384,5.721455457967384,train
2009-08-01,4441.0,710.3629375690552,842.0875177400139,291.6635832322693,114.7148,228.0,8.398634855292102,0.0527045933130843,5.411820555423685,train
2009-09-01,4669.0,568.2329505461227,803.6255402274787,286.6487221031725,114.7667,228.0,8.448700194970938,0.050065339678836196,5.133978833596031,train
2009-10-01,4897.0,628.660979308094,1042.957434922112,292.4058094287403,114.7838,228.0,8.496378051702317,0.047677856731379364,4.883272649389592,train
2009-11-01,5126.0,612.990058066526,934.7173129335654,261.58987821087175,114.4853,229.0,8.542080906924017,0.045702855221700034,4.676332448437814,train
2009-12-01,5354.0,723.3783494852621,1092.3730818030665,294.9442841316884,114.2836,228.0,8.585599224080298,0.04351831715628052,4.447912602419035,train
2010-01-01,5507.0,656.4771475651874,1237.6522649867331,313.1306230479197,114.3589,153.0,8.613775289262481,0.028176065182183407,2.857676503548756,train
2010-02-01,5661.0,683.0335766681674,973.4400220879818,310.0872781594624,114.5079,154.0,8.64135583403666,0.02758054477417815,2.7964408934083806,train
2010-03-01,5814.0,755.9409231632552,976.4628079926936,373.23619352060666,114.1039,153.0,8.668024081118821,0.026668247082161756,2.7027027027026973,train
2010-04-01,5968.0,495.5103956355664,1001.9664997435898,339.7262518790919,113.8286,154.0,8.694167141883597,0.026143060764775683,2.6487788097695253,train
2010-05-01,6121.0,558.6548361540848,1050.561493653169,303.04171743955754,113.7025,153.0,8.71948076085107,0.025313618967473417,2.563672922252014,train
