date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,usd_lcy,m2_lcy_m,country,country_code,trade_balance_usd_m,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2000-01-01,24385.85738042118,,,0.9995,,argentina,ARG,,,,
2000-02-01,24750.146338746028,,,0.9995,,argentina,ARG,,,364.28895832484704,1.493853394784983
2000-03-01,24666.49957609164,,,0.9995,,argentina,ARG,,,-83.64676265438902,-0.33796471951942353
2000-04-01,24764.32445740868,,,0.9995,,argentina,ARG,,,97.8248813170394,0.396590043168743
2000-05-01,23632.934492269,,,0.9995,,argentina,ARG,,,-1131.3899651396787,-4.568628419828357
2000-06-01,25774.53275999536,,,0.9995,,argentina,ARG,,,2141.59826772636,9.061922752026152
2000-07-01,26116.21103889605,,,0.9995,,argentina,ARG,,,341.6782789006902,1.3256429595922992
2000-08-01,24639.51712252839,,,0.9995,,argentina,ARG,,,-1476.6939163676616,-5.654319128331265
2000-09-01,24873.02731185195,,,0.9995,,argentina,ARG,,,233.51018932356237,0.947706029149642
2000-10-01,23252.26404835406,,,0.9995,,argentina,ARG,,,-1620.7632634978909,-6.516147966940878
2000-11-01,22443.82485592089,,,0.9995,,argentina,ARG,,,-808.4391924331685,-3.476819249738372
2000-12-01,25152.11724441339,,,0.9995,,argentina,ARG,,,2708.2923884925003,12.066982369887945
2001-01-01,25441.42519437058,,,0.9995,,argentina,ARG,,,289.3079499571868,1.15023298892043
2001-02-01,25371.089191473413,,,0.9995,,argentina,ARG,,,-70.3360028971656,-0.2764625108845231
2001-03-01,21924.26661039747,,,0.9995,,argentina,ARG,,,-3446.822581075943,-13.58563109002957
2001-04-01,20545.429641789822,,,0.9995,,argentina,ARG,,,-1378.8369686076476,-6.289090500084238
2001-05-01,20204.6578513555,,,0.9995,,argentina,ARG,,,-340.7717904343226,-1.65862576921334
2001-06-01,21080.187828735852,,,0.9995,,argentina,ARG,,,875.5299773803526,4.3333076156081285
2001-07-01,16701.69666820191,,,0.9995,,argentina,ARG,,,-4378.491160533944,-20.770645860020853
2001-08-01,14402.11153302626,,,0.9995,,argentina,ARG,,,-2299.5851351756482,-13.768572025103243
2001-09-01,20558.13858968278,,,0.9995,,argentina,ARG,,,6156.027056656521,42.74392017128741
2001-10-01,18059.160342927,,,0.9995,,argentina,ARG,,,-2498.9782467557816,-12.1556639763578
2001-11-01,14726.02890917919,,,0.9995,,argentina,ARG,,,-3333.1314337478107,-18.456735365624322
2001-12-01,14555.552759610211,,,0.9995,,argentina,ARG,,,-170.47614956897814,-1.157651873565957
2002-01-01,13754.88700833721,,,1.4,,argentina,ARG,,,-800.6657512730017,-5.500758126443306
2002-02-01,13905.204653640449,,,2.1,,argentina,ARG,,,150.31764530323926,1.0928308259611885
2002-03-01,12819.480948377332,,,2.95,,argentina,ARG,,,-1085.7237052631172,-7.808038301535314
2002-04-01,12223.341903231889,,,2.93,,argentina,ARG,,,-596.1390451454427,-4.650258832990428
2002-05-01,10211.525913646139,,,3.55,,argentina,ARG,,,-2011.8159895857498,-16.458804846601073
2002-06-01,9650.28603203001,,,3.75,,argentina,ARG,,,-561.2398816161294,-5.496141187539061
2002-07-01,9004.677460914723,,,3.65,,argentina,ARG,,,-645.6085711152864,-6.690045963119273
2002-08-01,9124.397500987034,,,3.58,,argentina,ARG,,,119.72004007231044,1.3295316860816087
2002-09-01,9419.36998898507,,,3.69,,argentina,ARG,,,294.97248799803674,3.2327886632090186
2002-10-01,9897.139403905827,,,3.47,,argentina,ARG,,,477.7694149207564,5.0722013837385616
2002-11-01,10044.1878692452,,,3.59,,argentina,ARG,,,147.04846533937234,1.4857673448687603
2002-12-01,10492.42481873749,,,3.32,,argentina,ARG,,,448.2369494922914,4.4626499954742105
2003-01-01,9334.228515233852,,,3.16,,argentina,ARG,,,-1158.1963035036388,-11.038404596765073
2003-02-01,10296.67539717195,,,3.14,,argentina,ARG,,,962.4468819380982,10.31094193127311
2003-03-01,10542.117532206908,,,2.93,,argentina,ARG,,,245.44213503495848,2.3837027542149336
2003-04-01,11001.88976497245,,,2.77,,argentina,ARG,,,459.77223276554105,4.3612891941386955
2003-05-01,11389.13245146723,,,2.8,,argentina,ARG,,,387.2426864947811,3.5197833714683657
2003-06-01,12186.62433061365,,,2.75,,argentina,ARG,,,797.4918791464188,7.0022179700235165
2003-07-01,13487.4445274138,,,2.87,,argentina,ARG,,,1300.8201968001504,10.67416342302765
2003-08-01,13600.48777277606,,,2.906,,argentina,ARG,,,113.04324536225977,0.8381368696827263
2003-09-01,13433.24788073976,,,2.865,,argentina,ARG,,,-167.23989203629935,-1.2296609859174468
2003-10-01,12918.19818057225,,,2.815,,argentina,ARG,,,-515.0497001675103,-3.8341412645706896
2003-11-01,13517.66275513834,,,2.94,,argentina,ARG,,,599.464574566091,4.640465846604136
2003-12-01,14157.284136364478,,,2.905,,argentina,ARG,,,639.6213812261376,4.7317453676154475
2004-01-01,14925.18284250396,,,2.908,,argentina,ARG,,,767.8987061394819,5.424053785620164
2004-02-01,15014.890032814079,,,2.903,,argentina,ARG,,,89.70719031011868,0.6010458381431105
2004-03-01,15017.11818100152,,,2.84,,argentina,ARG,,,2.2281481874415476,0.014839590450366202
2004-04-01,15741.19411366616,,,2.82,,argentina,ARG,,,724.0759326646403,4.8216703360614455
2004-05-01,16720.38098672582,,,2.94,,argentina,ARG,,,979.1868730596598,6.2205374381956835
2004-06-01,17468.492774287603,,,2.938,,argentina,ARG,,,748.111787561782,4.474250844856353
2004-07-01,18088.63753042688,,,2.96,,argentina,ARG,,,620.1447561392779,3.5500759232764967
