horizon,mean,median,lower_10,upper_90,lower_5,upper_95
1,16654.864002774473,16699.28692326714,11803.900778586,21375.506652595137,10508.420828028933,22622.29641250194
2,-17371.827735881576,-17904.570484715732,-39156.24198909797,4531.349542878474,-44675.0397636176,10013.250784433307
3,113258.33070791415,113120.52012890109,44910.36778873021,178229.15577108503,29320.351301001883,200445.10032201154
4,-365754.7757849876,-363331.3372051774,-633120.7483563139,-98526.28473531968,-723141.2803158456,-11567.969179329826
5,1438171.7937305071,1432368.250608551,478408.75284962944,2431998.6890780344,186450.50176444862,2736623.014637091
6,-5302176.972517513,-5252306.428626746,-9089874.236621717,-1687195.2474919243,-10209257.232203916,-516950.1164264734
7,19976395.66701377,19769759.90308533,6476484.892613159,33976701.61911631,2208375.1910835262,38299507.693351984
8,-74755010.3872476,-73831024.48959984,-129118363.56211767,-24169775.535474423,-144276828.25285792,-8140695.405089919
9,280534307.53495973,277251087.57811004,90439372.04495245,491715789.56912786,30068821.708093494,549591059.1157804
10,-1052261716.1417654,-1031679748.2999709,-1857608399.9441068,-333561920.66045856,-2086118739.8642485,-109340823.5612633
11,3949578831.391515,3863657230.9992824,1236534477.8555691,6975379101.638833,399901275.38222677,7853680441.80005
12,-14828289725.114685,-14462067408.376104,-25925686628.87923,-4582541007.446753,-29692922222.01579,-1459584594.2649
