date,const_mean,const_lower_16,const_upper_84,const_lower_5,const_upper_95,gross_reserves_usd_m_lag1_mean,gross_reserves_usd_m_lag1_lower_16,gross_reserves_usd_m_lag1_upper_84,gross_reserves_usd_m_lag1_lower_5,gross_reserves_usd_m_lag1_upper_95,usd_lkr_lag1_mean,usd_lkr_lag1_lower_16,usd_lkr_lag1_upper_84,usd_lkr_lag1_lower_5,usd_lkr_lag1_upper_95,m2_usd_m_lag1_mean,m2_usd_m_lag1_lower_16,m2_usd_m_lag1_upper_84,m2_usd_m_lag1_lower_5,m2_usd_m_lag1_upper_95
2005-02-01,97.16933862580218,97.0722141464854,97.26417370830289,97.00747424731072,97.34294534912763,1.042941897987543,1.0169520153088916,1.0695098885550445,1.0013596155966789,1.0882162391456875,1.5304476665633266,1.4288510637691485,1.6323786857067668,1.3655449139302331,1.6989370604946328,0.16668109981962298,0.09286642716526491,0.23732383537883806,0.04631966717184628,0.2814871408787257
2005-03-01,97.16551841205673,97.06061550150243,97.26283260892129,97.01306220112149,97.32681033788296,1.0420173922818816,1.0199950976739591,1.0651009695233398,1.0018668537064916,1.0828430154290705,1.5235526692782566,1.4191664456888806,1.6307591703116835,1.358989839425522,1.6835287422522929,0.15975383595065928,0.09273398758275786,0.23171285566503388,0.03788448729781771,0.27736118835464096
2005-04-01,97.16540517961836,97.06063569282671,97.27416101193036,97.00946095023895,97.33745683166465,1.0391984972002464,1.0139680375577202,1.0638770792408314,0.9945916200155469,1.0806443426819508,1.5162456868037237,1.4069965665217872,1.6266242368309969,1.33354482427155,1.6868426708690354,0.1659226095122131,0.08929437947228043,0.23986246986189746,0.03849268121153319,0.3000551309730063
2005-05-01,97.1661469742521,97.06631169477002,97.26738242842985,96.9927437228869,97.3461716321484,1.0406135604479596,1.0148037218612964,1.066332452800613,0.9996270740003687,1.0824660352976279,1.5323168048796458,1.4313436203620717,1.638080395927161,1.379204570840633,1.694813141413671,0.1729398190964423,0.09962233557047329,0.2503925358054541,0.05264178878149069,0.2962286398413688
2005-06-01,97.16674521054637,97.07198881303057,97.25696399795692,96.98582439274642,97.31546540541562,1.0407181017886615,1.0159617645764292,1.065103515711937,0.9985659310787937,1.0843690879155519,1.526484820466225,1.427870934487513,1.6222111564997346,1.3638991671727256,1.6851515157699664,0.1643486236868511,0.09426980986952975,0.24122482496701514,0.04671423527959109,0.27839906221068295
2005-07-01,97.16926185347907,97.06399431211804,97.26507740869712,97.00320666576259,97.32590401625863,1.0394325729114637,1.0151300565210475,1.0638835374878024,1.0003739430017689,1.0812322049455063,1.5245422765747243,1.4198856842203564,1.6231838376023286,1.3540635305660542,1.6922415291661201,0.16776766999552706,0.09228394300432291,0.2412448312846792,0.044967987578397095,0.2904669275559196
2005-08-01,97.17257028469861,97.07009510011812,97.27360079392602,97.00577511850933,97.33312957343497,1.0392751902746284,1.0140256497425282,1.0661987469719614,0.9946303449162558,1.0826519118073012,1.530449627304626,1.4305639349800563,1.6301821450161267,1.3610008015985458,1.6983486971952582,0.17262563016547308,0.09470152492416567,0.24582909150054882,0.049795522506194,0.30966677085234795
2005-09-01,97.16568656756498,97.06699545986582,97.26940911555994,96.99719741401263,97.32925533809147,1.040441725856686,1.0177734748930822,1.0651507855254492,1.0020631731820613,1.0808558817322078,1.524427804419477,1.4192959885368592,1.6243320943830113,1.3637037850168892,1.6854720105182726,0.17230541418951845,0.09662204549458396,0.24776532296130985,0.04023113966165414,0.2964828138514556
2005-10-01,97.1652698342924,97.06243584522086,97.2631456029996,96.99684721961249,97.33843348917685,1.039780885872775,1.0136859933320963,1.0690993902821468,0.9963812931577181,1.0823214106960741,1.531486226501639,1.4315845361851833,1.6313545999968808,1.3617032818804102,1.7009152389020519,0.16858394421933479,0.09120933041499235,0.24143694284544628,0.04036133294062101,0.2927663558201444
2005-11-01,97.17091081633467,97.06523498767262,97.2803667601025,96.99958745600877,97.3354032623399,1.0377425807953127,1.0115447811126683,1.0643407387612038,0.9963942825270761,1.0783576420080663,1.5299013563721864,1.4206768417657556,1.6322110819937192,1.3640220571822559,1.6947765521767761,0.17503522677037417,0.09682285182165239,0.2547089716298607,0.05239920693260256,0.29329287498294165
2005-12-01,97.16477727668662,97.0635720223443,97.26583655162804,97.00174392633791,97.31789529890963,1.0384045012930967,1.0144271749053944,1.063615965284772,0.9927907412732087,1.0771605089812315,1.5289906337224077,1.4202117704271504,1.6325956735078244,1.343856974621388,1.714233326799457,0.17538961364010777,0.10527900676977439,0.256781187051505,0.04236024518622579,0.28825466314872644
2006-01-01,97.16752644344531,97.06236644557555,97.27264892315804,96.98536840098596,97.3285939768391,1.0350655919653635,1.011038764557097,1.0589326128830228,0.99392733302107,1.077994424892291,1.5284712614016638,1.4277928477550736,1.6329288978775187,1.3465612873336457,1.687479024136853,0.17436492246176916,0.09745771787328332,0.2493947581823775,0.042902375692464585,0.2915843077188777
2006-02-01,97.16476649917067,97.05002362168547,97.27810852920364,96.9808279764446,97.34930919977496,1.0344434754628211,1.0088631001106962,1.061057342813731,0.9916814170915811,1.0775294292927566,1.534099858244942,1.427946362536151,1.6365396475712737,1.3683312011091178,1.7074281934597662,0.1733657373912425,0.10325159891371638,0.24454840876723605,0.05649879296446902,0.2923967277851255
2006-03-01,97.17132815992736,97.06044778256502,97.27818412787155,96.99625382444589,97.33402390275762,1.0348131584379328,1.0105992763683056,1.0589602303927004,0.9951915338329619,1.0752244876553292,1.5211959839922113,1.4126903712581067,1.6291070347020935,1.3443664521742238,1.7070390134101372,0.17664682620221495,0.10583414865051707,0.2514302001116208,0.04980182544717684,0.29470320154989227
2006-04-01,97.17305500054756,97.06828340479838,97.2715046682289,97.0154895913576,97.33421704728089,1.0337606326708202,1.008865238202193,1.0579273141808627,0.992943227233709,1.0735985927775809,1.5374538275487193,1.4262346850190566,1.6402492330171141,1.3653142537401313,1.7215741038364778,0.18515487961287203,0.11707109307946303,0.2572425904408937,0.07000868173473183,0.2980131826740509
2006-05-01,97.17382986827053,97.06559740254427,97.28147432784036,96.9796620995183,97.35014482935321,1.0312742138676774,1.0024860954828443,1.0565777023738097,0.9899854258197934,1.0738844056474495,1.5224812579867748,1.4267556401914776,1.62908731096843,1.3487307409030092,1.7024783422880578,0.18590408643062872,0.11718568466967255,0.26053841707219244,0.057591138497470405,0.3089140100545173
2006-06-01,97.17375281045894,97.07933979957191,97.27499990886385,97.00658085680693,97.33553677972459,1.0328317804369354,1.007737756080875,1.0576855464320805,0.9893943405313346,1.0726402677067481,1.5302791394005084,1.424104632129722,1.6372264768598277,1.3521634944802814,1.692871581576433,0.17756310368164938,0.10319475216298118,0.25365803654792807,0.0538481480419371,0.30424399105786726
2006-07-01,97.17523254223664,97.08430559487888,97.26958883753832,97.00149136112326,97.33421611185211,1.0340104928261447,1.008063397207924,1.0592614850775561,0.9912413981833361,1.0761504766100412,1.5286429346211596,1.4155055853485656,1.6411995702259834,1.3432339845569614,1.7217357292433475,0.1857907676007128,0.11311228801274673,0.26131670303700194,0.06831032882930482,0.30530375260880005
2006-08-01,97.17539750635112,97.06173107864858,97.29010870491673,96.98798577133734,97.36131791254911,1.0304487158141846,1.007389432574595,1.0542647703593877,0.9939311821245307,1.0677097144880001,1.5289058254702699,1.4135464927885528,1.6442921761179583,1.3530545531692786,1.7084327264007468,0.1924238510293492,0.11741047782683306,0.27018064911284495,0.07102016639937403,0.3075626098744321
2006-09-01,97.16609170310703,97.0613545439185,97.28337092324261,96.97635142921959,97.3566810277644,1.0316783617033172,1.0044774137514185,1.0558100986943697,0.990514910309003,1.072402974419738,1.5287245938375154,1.4149463999322835,1.6360038868811702,1.3514499163708842,1.7274795379991978,0.19679094025182786,0.12022532496885173,0.2684633612565646,0.06714603520585179,0.31200716172842896
2006-10-01,97.16842577891629,97.05693151477003,97.28512686328042,96.99242644722095,97.3563009185696,1.031793793668301,1.0057427829364978,1.0554039549597969,0.9902954398371367,1.0751597678154072,1.5352695275610446,1.4313529133057676,1.646665501985287,1.3743975963982449,1.7092295380087033,0.1934529516281288,0.11772752999743574,0.2648977364480573,0.07393798446661413,0.3116413000973354
2006-11-01,97.16975243374468,97.05720994795352,97.28907522097796,96.97277478857535,97.35061109904225,1.0300392012080202,1.00713521085996,1.0530050128950752,0.993113281574819,1.0666348054385926,1.5393950100564344,1.4299641086059396,1.6466301060336248,1.3689942494469005,1.718925784519807,0.19935308296903226,0.12569383408895093,0.2745606877753085,0.08150280301549623,0.3166574956801738
2006-12-01,97.16417888655839,97.05336321176571,97.28439391558611,96.96924395901814,97.35924330916018,1.0348348730594725,1.011702633428308,1.0577867702547927,0.9964093088984161,1.0717843533775462,1.5268755550076691,1.4085735958894539,1.6392690838873676,1.3386777081632124,1.7199073150446622,0.1968671846274672,0.1247290271410407,0.2692440671552458,0.0790911165250083,0.3252875496982446
