target,origin,forecast_mean,forecast_lower,forecast_upper,actual
2021-04-01,2021-01-01,-3.237013086145119e+19,-3.2370227046885876e+19,-3.2370031975083225e+19,4470.738472224253
2021-10-01,2021-07-01,-3.9270209244348e+20,-3.927034158881989e+20,-3.9270089292945084e+20,2269.211946488995
2022-04-01,2022-01-01,-7.500613423446638e+23,-7.500614136024262e+23,-7.500612764264905e+23,1812.0
2022-10-01,2022-07-01,2.0943898974531195e+24,2.0943893958940362e+24,2.0943903682064752e+24,1705.0
2023-04-01,2023-01-01,-3.0655095194240984e+25,-3.0655096643422113e+25,-3.0655093965784053e+25,2761.0
2023-10-01,2023-07-01,-6.727360113446215e+25,-6.727360564568073e+25,-6.72735970996479e+25,3569.0
2024-04-01,2024-01-01,-6.421431670970144e+24,-6.421437331432931e+24,-6.421426674661149e+24,5471.0
2024-10-01,2024-07-01,1.0770702228891786e+26,1.0770702074827978e+26,1.077070240324822e+26,6472.0
