segment,start_date,end_date,n_obs,reserves_mean,reserves_std,coef_const_mean,coef_const_std,coef_gross_reserves_usd_m_lag1_mean,coef_gross_reserves_usd_m_lag1_std,coef_exports_usd_m_lag1_mean,coef_exports_usd_m_lag1_std,coef_imports_usd_m_lag1_mean,coef_imports_usd_m_lag1_std,coef_remittances_usd_m_lag1_mean,coef_remittances_usd_m_lag1_std
1,2005-01-01,2009-09-01,57,3017.0526315789475,499.47202199110177,-6777.856372457479,162.75108466362016,-5031990.207908327,112786.5877497744,450850.10560609563,8553.270735968767,3256575.732728202,67918.24334834587,-89462.46563212408,30170.951563561975
2,2009-10-01,2012-11-01,38,6608.368421052632,607.2017973949037,-8403.354443083661,767.7970664878798,-6164614.872896961,539335.7998392438,613599.1802420802,98668.41861937972,4085980.0493791364,438977.1997045965,-41140.92505432864,43689.04942388254
3,2012-12-01,2015-12-01,37,7632.995687793262,774.6525226233763,-11027.609189457455,749.1642325660658,-8028364.284845293,537964.3291840326,1206400.459367576,228284.7038790841,5604755.660514281,456380.46818458854,-48509.262045437776,43335.394829750185
4,2016-01-01,2020-12-01,60,7024.377667834585,1069.6367463919914,-14563.322319552974,1326.984012547664,-10647968.113005465,1011825.2009554511,1495323.9296549172,281961.85114171286,7132221.955749098,257605.98852396768,-139479.93761399025,213731.20477611464
5,2021-01-01,2025-12-01,60,4109.782648221882,1720.7173662871553,-19272.127960157086,1786.721757990511,-13873299.215851804,956841.0431621623,-8718363.209012767,5730829.665981007,15249895.233411387,9759034.613385005,3186885.058656862,42625740.56964327
