horizon,mean,median,lower_10,upper_90,lower_5,upper_95
1,-121129310511.64317,-121129310487.55151,-121129312047.61758,-121129309047.73744,-121129312418.08206,-121129308710.28575
2,-3.022028199266055e+19,-3.022028199267929e+19,-3.022028210244841e+19,-3.022028187579443e+19,-3.02202821460104e+19,-3.022028184016842e+19
3,3.0948874796465565e+26,3.094887481310086e+26,3.0948869416095065e+26,3.094887984007419e+26,3.0948867734116e+26,3.094888155923667e+26
4,1.9897429230859945e+35,1.989742923553501e+35,1.9897429003612874e+35,1.9897429463464338e+35,1.9897428934434632e+35,1.9897429515935467e+35
5,-2.9538103763794235e+42,-2.9538103702286207e+42,-2.9538108645439097e+42,-2.9538099029906877e+42,-2.95381100571318e+42,-2.953809725332435e+42
6,-1.1692663704481562e+51,-1.169266370343274e+51,-1.1692663907903798e+51,-1.169266350809647e+51,-1.1692663951594482e+51,-1.1692663452989437e+51
7,1.859540135571317e+58,1.8595401306221983e+58,1.8595397134677558e+58,1.8595405631646624e+58,1.8595395652573483e+58,1.8595406932718197e+58
8,7.088288672137572e+66,7.08828867277625e+66,7.088288497541406e+66,7.088288854669044e+66,7.088288443520797e+66,7.088288891751266e+66
9,-1.2634006213244238e+74,-1.2634006160671241e+74,-1.2634009494796352e+74,-1.2634002933286175e+74,-1.2634010483222128e+74,-1.2634001846331573e+74
10,-4.2568666626618896e+82,-4.2568666641186184e+82,-4.256866806207628e+82,-4.256866526708459e+82,-4.256866836360303e+82,-4.2568664805277105e+82
11,8.318817448844882e+89,8.318817393349732e+89,8.318815020441769e+89,8.318819877866453e+89,8.318814230183528e+89,8.318820648762697e+89
12,2.561534928537192e+98,2.5615349300084452e+98,2.5615348255507026e+98,2.5615350378526284e+98,2.5615347892078813e+98,2.561535061840207e+98
