segment,start_date,end_date,n_obs,reserves_mean,reserves_std,coef_const_mean,coef_const_std,coef_gross_reserves_usd_m_lag1_mean,coef_gross_reserves_usd_m_lag1_std,coef_trade_balance_usd_m_lag1_mean,coef_trade_balance_usd_m_lag1_std,coef_usd_lkr_lag1_mean,coef_usd_lkr_lag1_std
1,2005-01-01,2009-09-01,57,3017.0526315789475,499.47202199110177,275.2667824856477,0.013234494697058428,57.43436506081602,4.522509900594424,-0.16581436121877607,0.029401286618496936,-0.8082329603638165,0.8385418719106308
2,2009-10-01,2012-11-01,38,6608.368421052632,607.2017973949037,275.3151555170561,0.016726334597854064,74.6528738552416,5.401267170946699,-0.2645818397461806,0.018345575535737017,-6.47506597408526,2.0119823986619014
3,2012-12-01,2015-12-01,37,7632.995687793262,774.6525226233763,275.36884929697334,0.015753630957788513,93.11814968309938,5.25165716333179,-0.25018505032611477,0.018201820002106503,-3.1158452619600046,3.351584408662448
4,2016-01-01,2020-12-01,60,7024.377667834585,1069.6367463919914,275.4366643216191,0.02434822998357669,116.98699930986285,8.546828188234187,-0.17754842854746147,0.03001607169900679,7.9924812650550425,2.5036851345959104
5,2021-01-01,2025-12-01,60,4109.782648221882,1720.7173662871553,275.4991288962924,0.016429959519212025,140.4712092765004,4.916797260543295,1.5185056788090316,1.1188045538617883,67.21855526886813,83.48876635210492
