segment,start_date,end_date,n_obs,reserves_mean,reserves_std,coef_const_mean,coef_const_std,coef_gross_reserves_usd_m_lag1_mean,coef_gross_reserves_usd_m_lag1_std,coef_usd_lkr_lag1_mean,coef_usd_lkr_lag1_std,coef_m2_usd_m_lag1_mean,coef_m2_usd_m_lag1_std
1,2005-01-01,2009-09-01,57,3017.0526315789475,499.47202199110177,97.17049180495893,0.005191588632642198,1.0347032083412608,0.020007866905571867,1.5326340389863053,0.0064770493977583474,0.2058128894542008,0.02785632329095971
2,2009-10-01,2012-11-01,38,6608.368421052632,607.2017973949037,97.17264663110525,0.00617416882761312,1.1064842235138392,0.021214459104908517,1.5460554065797436,0.005974330895572134,0.2801516527281365,0.01982198776891956
3,2012-12-01,2015-12-01,37,7632.995687793262,774.6525226233763,97.17171192562236,0.006768037473979705,1.0770683996986257,0.04763596507278236,1.5587287413230417,0.007790208320846928,0.3586592637303898,0.023820565520042934
4,2016-01-01,2020-12-01,60,7024.377667834585,1069.6367463919914,97.17234582967795,0.008065769495917134,1.2311836238661382,0.25916070797151813,1.5707223207518293,0.00857497834330714,0.5317911447165444,0.0931089569727792
5,2021-01-01,2025-12-01,60,4109.782648221882,1720.7173662871553,97.17176293617433,0.008081377202543255,0.25755623974490827,1.9407709145447867,1.5804657827614037,0.007421055594421838,0.8527341646074021,0.05720733103958975
