date,const,gross_reserves_usd_m_lag1,usd_lkr_lag1,m2_usd_m_lag1
2005-02-01,97.16933862580218,1.042941897987543,1.5304476665633266,0.16668109981962298
2005-03-01,97.16551841205673,1.0420173922818816,1.5235526692782566,0.15975383595065928
2005-04-01,97.16540517961836,1.0391984972002464,1.5162456868037237,0.1659226095122131
2005-05-01,97.1661469742521,1.0406135604479596,1.5323168048796458,0.1729398190964423
2005-06-01,97.16674521054637,1.0407181017886615,1.526484820466225,0.1643486236868511
2005-07-01,97.16926185347907,1.0394325729114637,1.5245422765747243,0.16776766999552706
2005-08-01,97.17257028469861,1.0392751902746284,1.530449627304626,0.17262563016547308
2005-09-01,97.16568656756498,1.040441725856686,1.524427804419477,0.17230541418951845
2005-10-01,97.1652698342924,1.039780885872775,1.531486226501639,0.16858394421933479
2005-11-01,97.17091081633467,1.0377425807953127,1.5299013563721864,0.17503522677037417
2005-12-01,97.16477727668662,1.0384045012930967,1.5289906337224077,0.17538961364010777
2006-01-01,97.16752644344531,1.0350655919653635,1.5284712614016638,0.17436492246176916
2006-02-01,97.16476649917067,1.0344434754628211,1.534099858244942,0.1733657373912425
2006-03-01,97.17132815992736,1.0348131584379328,1.5211959839922113,0.17664682620221495
2006-04-01,97.17305500054756,1.0337606326708202,1.5374538275487193,0.18515487961287203
2006-05-01,97.17382986827053,1.0312742138676774,1.5224812579867748,0.18590408643062872
2006-06-01,97.17375281045894,1.0328317804369354,1.5302791394005084,0.17756310368164938
2006-07-01,97.17523254223664,1.0340104928261447,1.5286429346211596,0.1857907676007128
2006-08-01,97.17539750635112,1.0304487158141846,1.5289058254702699,0.1924238510293492
2006-09-01,97.16609170310703,1.0316783617033172,1.5287245938375154,0.19679094025182786
2006-10-01,97.16842577891629,1.031793793668301,1.5352695275610446,0.1934529516281288
2006-11-01,97.16975243374468,1.0300392012080202,1.5393950100564344,0.19935308296903226
2006-12-01,97.16417888655839,1.0348348730594725,1.5268755550076691,0.1968671846274672
2007-01-01,97.17879068620991,1.0332254886032854,1.5375167337806197,0.20246016901585046
2007-02-01,97.17726858142537,1.0378060735502455,1.531116191278236,0.19399947716578034
2007-03-01,97.17494773202124,1.0387100104597915,1.5235957790567423,0.20234175963258863
2007-04-01,97.16701048667824,1.0432588966313268,1.54315418904163,0.20665213864369988
2007-05-01,97.17711363099394,1.0455376510255627,1.527683934428294,0.1924596614869525
2007-06-01,97.17307985049794,1.0482125681981833,1.5345480664007551,0.20033656705042532
2007-07-01,97.1771362520335,1.0525363391600029,1.5242184436627624,0.20052540279076625
2007-08-01,97.17002091043672,1.0581000903468496,1.535592597987395,0.2110223076106622
2007-09-01,97.16834622601385,1.0599879387316602,1.5354237647125353,0.20811669162545401
2007-10-01,97.1754974274455,1.0625208293564132,1.5263632436372778,0.21467208141407002
2007-11-01,97.16328516975761,1.063168662214554,1.5395009865668614,0.21718215113778044
2007-12-01,97.16110446671446,1.0596520179505562,1.536788378923281,0.21647906474681877
2008-01-01,97.17936430464728,1.052430542530319,1.5288634522782092,0.219009473374586
2008-02-01,97.16897636334511,1.042060422480371,1.5294719293121415,0.214252417931729
2008-03-01,97.16687027106849,1.0388007785577922,1.5294286923989335,0.22003489471602136
2008-04-01,97.17133243360317,1.0284874318238024,1.5370124351410523,0.22974212269452743
2008-05-01,97.17194546164991,1.02196984189224,1.529634778450586,0.21989000888386956
2008-06-01,97.17445038339643,1.0123106293358544,1.5402979320725043,0.2253689219944933
2008-07-01,97.16520367207565,1.0058348774774861,1.5446703968653313,0.23080681215523435
2008-08-01,97.1779923395112,0.9983459972933457,1.5366196775832996,0.22988996635277248
2008-09-01,97.16946654631579,0.9947902172261301,1.528144050690363,0.23427943383334962
2008-10-01,97.178254916888,0.9881827456191581,1.5370579693808901,0.23882082536970609
2008-11-01,97.15798295970107,0.9845717308487543,1.5320015662928337,0.23840006309229997
2008-12-01,97.16812374308358,0.9854140057127726,1.5351424754779475,0.23657188982576566
2009-01-01,97.17724457120057,0.9942105972068269,1.5427632398299225,0.2391751252861655
2009-02-01,97.17694574540218,1.0065695429805057,1.5367696219234883,0.2393007684597211
2009-03-01,97.17180311537388,1.0204680099896315,1.5383516545985534,0.24482164631158804
2009-04-01,97.18045326177793,1.0328794356328252,1.5353788272431081,0.2468830182914732
2009-05-01,97.17367495485006,1.0483203402644217,1.5438885282548875,0.24541146093500757
2009-06-01,97.16974481647115,1.0557884816013448,1.539490289718516,0.24727635355082841
2009-07-01,97.1703349690803,1.0619413075405777,1.5395940529190644,0.25578871379982804
2009-08-01,97.15942463264749,1.066168834374799,1.5446215262143967,0.25552731691645253
2009-09-01,97.1693815273155,1.0655561326619696,1.542160429095534,0.24899128240595636
2009-10-01,97.16704689353341,1.0739280903412816,1.5354107892254947,0.24917194539868015
2009-11-01,97.16915785408096,1.0848839625444682,1.5457634997246577,0.25786323646932013
2009-12-01,97.17174372472276,1.0894705251165453,1.540412124927039,0.2527444196290879
