date,const_mean,const_lower_16,const_upper_84,const_lower_5,const_upper_95,gross_reserves_usd_m_lag1_mean,gross_reserves_usd_m_lag1_lower_16,gross_reserves_usd_m_lag1_upper_84,gross_reserves_usd_m_lag1_lower_5,gross_reserves_usd_m_lag1_upper_95,trade_balance_usd_m_lag1_mean,trade_balance_usd_m_lag1_lower_16,trade_balance_usd_m_lag1_upper_84,trade_balance_usd_m_lag1_lower_5,trade_balance_usd_m_lag1_upper_95,usd_lkr_lag1_mean,usd_lkr_lag1_lower_16,usd_lkr_lag1_upper_84,usd_lkr_lag1_lower_5,usd_lkr_lag1_upper_95
2007-02-01,275.2441409232716,275.15083710249513,275.3411328378336,275.0951456952211,275.3965628376389,49.85217569328589,49.75940392129164,49.9460455244354,49.69341220121268,50.00253697346737,-0.11428043897411075,-0.16937175170674212,-0.05424943467862094,-0.20878150597936193,-0.016719784339150272,0.6166919844369437,0.6109249778723143,0.6223395954118209,0.6071378751753143,0.6263925790169889
2007-03-01,275.24637250486074,275.14246093426743,275.3500605005388,275.08061444333794,275.4005765784938,50.3371857032516,50.250601290430644,50.428563014290326,50.194532177694576,50.48074048284836,-0.1186828339488877,-0.17713672644588307,-0.06267852800099975,-0.20663476129674516,-0.022156219322066465,0.5491449811321033,0.5451742987822089,0.5532485177769235,0.5428008544780046,0.5551185258150074
2007-04-01,275.2444332055164,275.1314621230071,275.3555993651483,275.0655318686772,275.40302022534024,50.82478154609187,50.73127708728001,50.9191109616201,50.68098100231084,50.975642518495036,-0.1232963079414283,-0.17788208843402378,-0.06611712505511295,-0.21433264407389235,-0.03389750089595743,0.47654428551768196,0.47218865274904176,0.48106655639550816,0.4685054555162974,0.4837223932444052
2007-05-01,275.2506563214944,275.14361806577375,275.3531955829161,275.07959556747545,275.4160877383251,51.309845183222855,51.21936330969341,51.4033989559001,51.15106102269889,51.47018606126897,-0.12737501376840507,-0.18477601798927415,-0.07024679027761808,-0.22143834337753754,-0.0382247739367591,0.4112831278303094,0.40561115596515906,0.41699104024825745,0.4017998428312919,0.42180415843647795
2007-06-01,275.2563790538365,275.1650312727748,275.3581140985268,275.09235182276564,275.42527162532065,51.803684309581854,51.70090338329911,51.89534367355992,51.638870158890526,51.96015072779616,-0.12753522863569494,-0.18859726612537026,-0.0741940097509597,-0.21880647172877707,-0.029855487181056066,0.3466437889708239,0.34089915365678974,0.3520985091017665,0.33786493775953225,0.35607999243877286
2007-07-01,275.2492288255982,275.1498221854943,275.3481957442876,275.0799479724476,275.4127118241903,52.290392950003216,52.190732662394524,52.378362142559794,52.13399530906929,52.44809558973665,-0.13378290061246456,-0.1957515937701339,-0.06917602566878064,-0.22780598986178432,-0.035580430813597234,0.24600734138198088,0.24197403022998093,0.24977439080434646,0.23974128690564378,0.2523530226349582
2007-08-01,275.25636004658685,275.158769288963,275.35867113038745,275.07384030326614,275.43286007976616,52.7870540522292,52.69170344498623,52.88323697666953,52.615832664860456,52.93361887300201,-0.13695533246531216,-0.18811327258431304,-0.08131085894417689,-0.23002000137675477,-0.04100344585548363,0.11511151897836538,0.11168324202995081,0.11870639078503638,0.10875648640236596,0.12092881647711938
2007-09-01,275.2582663603081,275.1643004375942,275.35801228145965,275.07945402887253,275.4119757772237,53.270932285815434,53.165631390156456,53.371138262024004,53.11221424616435,53.43180105964684,-0.1393149665109305,-0.192674981988659,-0.08184612891191291,-0.22759248857083283,-0.05350180503953284,-0.004087806568727805,-0.008521102385351314,0.00030974794716567974,-0.011707249092664237,0.0036292869302527787
2007-10-01,275.26271591416076,275.1675586234778,275.3632445684852,275.0910399100118,275.4258243061909,53.75818872346884,53.654723908643355,53.8592748130711,53.60103751306863,53.92346348087255,-0.14543742324832218,-0.20040479243358605,-0.08729613996427203,-0.24015665588381765,-0.05330364214156803,-0.14801676394070054,-0.15241050102955708,-0.14321643973316234,-0.15543033859470035,-0.1408091704471389
2007-11-01,275.25892880532876,275.14893933210834,275.36611509394993,275.081030334177,275.4199078320217,54.2462607869347,54.141546479351895,54.349347939084865,54.08532114646753,54.40695916420028,-0.1494245457492661,-0.20434526163906666,-0.09298290896174558,-0.2434764384738536,-0.051716814758126416,-0.28691601671156436,-0.29208882740544617,-0.28139145498125473,-0.2954948288906027,-0.278326144191628
2007-12-01,275.25838469534983,275.1575311467707,275.3601897897428,275.07483765240926,275.42459550079667,54.74073831815747,54.64948769240942,54.83341282760561,54.58441522807024,54.90335769222867,-0.15592908391770802,-0.2157768160458047,-0.09650127798138393,-0.24733719512652863,-0.0634582692644296,-0.44251559218912606,-0.44774535667413956,-0.43738490441736094,-0.4512298281098136,-0.4349831346511733
2008-01-01,275.2514185641769,275.15036855908943,275.35843199030677,275.0685924313691,275.4087284170602,55.23778892817044,55.134859623705495,55.34271143678216,55.08200379708677,55.40751179520607,-0.15969477130322424,-0.21852733241957398,-0.10286844538957755,-0.25100406206533465,-0.06536028136391651,-0.6042620515741524,-0.6082423167923322,-0.6000989824692358,-0.6111584760046919,-0.5971167603076214
2008-02-01,275.25644976564115,275.15251792759165,275.35716443164773,275.08416145729535,275.4190015046156,55.722477808783644,55.62263349328389,55.826847670842234,55.552656263721715,55.882719131671365,-0.16301305243618897,-0.21517285858556312,-0.10993506151109825,-0.2478283017917189,-0.06582328034779025,-0.6955165101679132,-0.7021394884207139,-0.6892565111230976,-0.7069063430268729,-0.6841059484874025
2008-03-01,275.270414848979,275.1654511015394,275.38190394382053,275.0907207195927,275.4522333478373,56.21219773692964,56.11663313870845,56.31621956514674,56.05503091404277,56.36217929435269,-0.16417344443412213,-0.2170592014775177,-0.11254301514561117,-0.2527360334163678,-0.07385215311431295,-0.7896634945076357,-0.793911582089719,-0.785533632162692,-0.7973393586168177,-0.782666601505148
2008-04-01,275.2616628141333,275.15258232197283,275.3683018055334,275.09053074136125,275.4315002534714,56.69613213177185,56.6009695599135,56.79888656780441,56.52597302642375,56.87004020893315,-0.1559787685276403,-0.20902388000497063,-0.10061501881292646,-0.24656343327098879,-0.06666970951027468,-0.8815336666078069,-0.8869862400690993,-0.8758961748002343,-0.8914333662024364,-0.8715712760751299
2008-05-01,275.27302738520643,275.1713171034806,275.3733246074113,275.11328724464164,275.438669545838,57.18141762796873,57.06990276686988,57.28609871407416,57.00793134562115,57.34431895773638,-0.1665954134484597,-0.21921952170798872,-0.11122691482782267,-0.2620764911065515,-0.07804744969878369,-0.9499844739847443,-0.9579441331985316,-0.9423808698024595,-0.9630766709185693,-0.9360614856622522
2008-06-01,275.26668782403726,275.16190507056353,275.37016722263934,275.0903576216137,275.4407994043711,57.672055466110834,57.57092084728604,57.76878413536579,57.505166656566324,57.83317134387429,-0.1672590419833728,-0.21912857072194555,-0.11554273310048371,-0.2531490276873224,-0.08105127896623521,-1.00426552032315,-1.010374206458015,-0.9984386525293737,-1.0137084171102242,-0.9944697112175
