target,origin,forecast_mean,forecast_lower,forecast_upper,actual
2021-04-01,2021-01-01,20189.617538765757,14568.35225954473,25804.211548202125,4470.738472224253
2021-10-01,2021-07-01,329.4757402524888,-2224.945520074298,3045.6573333270153,2269.211946488995
2022-04-01,2022-01-01,1401.6448982296686,-1572.7990810437218,4539.435674082273,1812.0
2022-10-01,2022-07-01,30146.157049739057,21854.94933491719,37984.248667386746,1705.0
2023-04-01,2023-01-01,-26661.394748253344,-29056.094144037575,-24030.474273228727,2761.0
2023-10-01,2023-07-01,28501579.03982737,28004567.552655764,29074162.203925665,3569.0
2024-04-01,2024-01-01,29052934.837581497,27938832.944682762,30098449.033948794,5471.0
2024-10-01,2024-07-01,457916953.1707235,449651090.23172295,465077612.60612416,6472.0
