date,const_mean,const_lower_16,const_upper_84,const_lower_5,const_upper_95,gross_reserves_usd_m_lag1_mean,gross_reserves_usd_m_lag1_lower_16,gross_reserves_usd_m_lag1_upper_84,gross_reserves_usd_m_lag1_lower_5,gross_reserves_usd_m_lag1_upper_95,exports_usd_m_lag1_mean,exports_usd_m_lag1_lower_16,exports_usd_m_lag1_upper_84,exports_usd_m_lag1_lower_5,exports_usd_m_lag1_upper_95,imports_usd_m_lag1_mean,imports_usd_m_lag1_lower_16,imports_usd_m_lag1_upper_84,imports_usd_m_lag1_lower_5,imports_usd_m_lag1_upper_95,remittances_usd_m_lag1_mean,remittances_usd_m_lag1_lower_16,remittances_usd_m_lag1_upper_84,remittances_usd_m_lag1_lower_5,remittances_usd_m_lag1_upper_95
2009-02-01,-6530.432553674198,-6530.5348483931775,-6530.330347893592,-6530.591832473401,-6530.253710850329,-4860021.961359817,-4860022.049961617,-4860021.879560729,-4860022.099571622,-4860021.799794329,442281.05077706143,442280.9956518794,442281.10616429587,442280.9612677323,442281.14252650196,3149950.715363809,3149950.647052192,3149950.7859190125,3149950.593031839,3149950.825550536,-126144.90974529932,-126144.92506324606,-126144.89501326106,-126144.93673167207,-126144.8830852184
2009-03-01,-6600.399664914559,-6600.498811510089,-6600.3066664287335,-6600.562513999124,-6600.233006436279,-4908967.298632192,-4908967.38799839,-4908967.204818242,-4908967.433361389,-4908967.155458991,443273.59103066946,443273.5374243817,443273.6422519835,443273.51184552285,443273.6776049819,3179345.451631092,3179345.381465803,3179345.5199947804,3179345.3458935483,3179345.5588631113,-84330.82380600405,-84330.83786864189,-84330.80924496743,-84330.84684156756,-84330.79987206138
2009-04-01,-6670.780706481171,-6670.883390252204,-6670.677061641446,-6670.939495069377,-6670.62059938423,-4958011.423533368,-4958011.5277653085,-4958011.333883232,-4958011.585265599,-4958011.25867695,441882.67693827883,441882.6263056704,441882.725120091,441882.59555130405,441882.76047702256,3215698.768331102,3215698.699724366,3215698.8387578684,3215698.6571394065,3215698.873411186,-83191.36711742199,-83191.38287654184,-83191.35178582536,-83191.39175128342,-83191.34179958109
2009-05-01,-6741.420225556708,-6741.5160783675265,-6741.323742665213,-6741.587224576772,-6741.2639601509745,-5007128.897149828,-5007128.984532991,-5007128.808712019,-5007129.055494667,-5007128.743939273,447220.1008551899,447220.04813196126,447220.1524997209,447220.01360143296,447220.19424282905,3244709.7544294265,3244709.6842290424,3244709.825435165,3244709.632881646,3244709.874308039,-134676.49986153483,-134676.5122466881,-134676.48803019908,-134676.52001502353,-134676.48050177624
2009-06-01,-6812.656257672186,-6812.751332459159,-6812.5576569580435,-6812.824982204064,-6812.497023557052,-5056408.182936721,-5056408.281285814,-5056408.094652619,-5056408.356483093,-5056408.022937853,450441.8088742705,450441.75337767025,450441.8618662252,450441.71688253473,450441.89553192357,3273561.344095716,3273561.2703846805,3273561.4187567467,3273561.224661671,3273561.4667549473,-102530.43576893174,-102530.44934176946,-102530.4228756665,-102530.45719621227,-102530.41502383062
2009-07-01,-6884.086785118227,-6884.190062893954,-6883.983212293768,-6884.255574270042,-6883.918328200681,-5105738.274936695,-5105738.364731501,-5105738.180772992,-5105738.418180282,-5105738.123346431,454273.08666773885,454273.03562636685,454273.1363347813,454273.0053856666,454273.16781630996,3302972.165838451,3302972.091058077,3302972.23577772,3302972.0456925067,3302972.2876878097,-85281.1723628588,-85281.18515884207,-85281.15923315429,-85281.1936137257,-85281.1523495869
2009-08-01,-6955.578983075977,-6955.681600803305,-6955.475115660778,-6955.735265106233,-6955.4180505014465,-5155085.362008386,-5155085.462136377,-5155085.268205152,-5155085.515669665,-5155085.202553043,460715.36128096946,460715.3080838176,460715.4157576201,460715.27735854406,460715.4473132825,3330635.952051229,3330635.8906712113,3330636.019504128,3330635.8362816833,3330636.0661639045,-65390.185954819266,-65390.19843374147,-65390.17391228336,-65390.20402704326,-65390.162446309754
2009-09-01,-7027.495803166803,-7027.587569701112,-7027.403224829406,-7027.65257726912,-7027.34251699502,-5204560.262709601,-5204560.361910614,-5204560.165914308,-5204560.444422461,-5204560.10000124,466713.1684245869,466713.1127012267,466713.22343054763,466713.08073191793,466713.2608385197,3355731.710084787,3355731.6420118646,3355731.782328535,3355731.5956330025,3355731.8322079177,-34154.33044012267,-34154.3424540288,-34154.31743774383,-34154.350504751535,-34154.30975668247
2009-10-01,-7099.749312388736,-7099.848524664624,-7099.654261610523,-7099.905991433232,-7099.593417915535,-5254135.537164281,-5254135.629604959,-5254135.444075753,-5254135.691627959,-5254135.377313996,467723.41804177844,467723.36786796845,467723.4677837288,467723.33469881694,467723.498084685,3390415.1057288777,3390415.0398924914,3390415.169080842,3390414.9961781735,3390415.215560557,-70980.24723917415,-70980.25790936973,-70980.23604019335,-70980.26337538655,-70980.2295987256
2009-11-01,-7172.14193287287,-7172.238109778032,-7172.043456836417,-7172.298085997363,-7171.977503463383,-5303746.791563174,-5303746.886660902,-5303746.694544226,-5303746.948207373,-5303746.63791057,468287.30185367266,468287.2492763065,468287.35381790943,468287.2115451405,468287.3799714232,3425223.505526021,3425223.432888905,3425223.5765965786,3425223.3880651873,3425223.616772166,-48918.55736573782,-48918.569923663985,-48918.54536776209,-48918.57760167112,-48918.538312565615
2009-12-01,-7244.237456579543,-7244.343728210012,-7244.127798071118,-7244.418388249498,-7244.066739175385,-5353272.816084362,-5353272.912440464,-5353272.722159259,-5353272.966943195,-5353272.656389077,472119.465197854,472119.41455100494,472119.5114249525,472119.376196788,472119.5499125979,3454950.114829064,3454950.044474469,3454950.1886816258,3454950.0007716375,3454950.2310562143,-16323.248222634025,-16323.259184588924,-16323.237681952056,-16323.265510733629,-16323.23038177199
