date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,trade_balance_usd_m,m2_usd_m,tourism_usd_m,cse_net_usd_m,target_diff1,target_log,target_log_diff1,target_pct_change,split
2012-01-01,6770.0,888.1768344193363,1915.003349666776,472.7576840578115,113.8195,-1026.8265152474398,19478.083993528086,88.89247110000001,4.140000000000004,,8.820256365906321,,,train
2012-02-01,6800.0,821.0083740706526,1580.669756343379,470.3534018449788,117.281,-759.6613822727264,19361.362266778506,84.93674888999998,16.290000000000006,30.0,8.824677891164198,0.004421525257876979,0.4431314623338345,train
2012-03-01,6831.0,860.9534070468782,1853.572430961998,564.663615774557,125.6605,-992.6190239151198,18471.767113898164,92.8967094,143.75,31.0,8.82922635473185,0.004548463567651595,0.45588235294118373,train
2012-04-01,6862.0,747.8077199412343,1440.3974471538768,475.1612655562439,128.4248,-692.5897272126425,18325.78454109938,73.11230459999999,7.300000000000003,31.0,8.833754223418396,0.004527868686546199,0.45381349729176623,train
2012-05-01,6892.0,805.9587920660201,1575.0258405028171,507.1056700307135,129.0045,-769.067048436797,18227.037639482885,57.27655106,10.380000000000004,30.0,8.83811659764782,0.004362374229424759,0.43719032352083076,train
2012-06-01,6923.0,755.8097439061191,1419.0185200287503,452.3305087541127,131.8519,-663.2087761226312,18060.739994079646,62.766994900000014,4.68,31.0,8.842604480678025,0.004487883030204642,0.4497968659315177,train
2012-07-01,6953.0,794.4485838607419,1325.0006983966075,475.01051159084767,132.4848,-530.5521145358656,18192.52591579955,100.4919912,18.56,30.0,8.846928500099018,0.0043240194209932525,0.4333381482016563,train
2012-08-01,6984.0,828.9094751989539,1750.0125331366398,490.06391254912114,131.9896,-921.103057937686,18481.58371726371,81.83968,21.42,31.0,8.851377097519439,0.004448597420420697,0.4458507119229127,train
2012-09-01,7015.0,801.5163159441854,1314.42178035095,511.2188303465269,131.5105,-512.9054644067646,18667.78346054908,68.8496702,23.27,31.0,8.855805992536562,0.004428895017122514,0.4438717067583031,train
2012-10-01,7045.0,770.3680166743912,1579.12486874701,522.1089073660701,129.0859,-808.7568520726187,19082.762512370446,79.47875520000001,18.65,30.0,8.86007342433278,0.004267431796218801,0.4276550249465494,train
2012-11-01,7076.0,827.5999432430898,1918.1156798011084,491.2921828051703,130.234,-1090.5157365580185,19425.354064219173,114.7276212,11.809999999999995,31.0,8.864464055279676,0.004390630946895513,0.4400283889283152,train
