date,gross_reserves_usd_m,usd_lkr,exports_usd_m,imports_usd_m,trade_balance_usd_m,m2_usd_m,split
2007-02-01,57.0,0.1623000000000019,98.37475550138316,-61.91453339940563,160.2892889007888,145.6050782342645,train
2007-03-01,58.0,0.6098999999999961,44.89610332250106,126.84266528745968,-81.94656196495862,118.59999611030617,train
2007-04-01,57.0,0.0653999999999968,-98.99506035241734,95.14355044660999,-194.1386107990274,120.95375018975392,train
2007-05-01,57.0,1.4399999999999977,105.54856838785372,44.82825629556805,60.720312092285724,-86.89654813931156,train
2007-06-01,57.0,0.16670000000000584,30.05340116763807,-153.9249157611896,183.97831692882767,98.1690386134378,train
2007-07-01,57.0,0.7061999999999955,16.662062887131242,-29.957235344451192,46.619298231582434,-15.447995496057047,train
2007-08-01,58.0,0.5114999999999981,-31.095170329575012,107.67905683144579,-138.7742271610208,110.03571253697373,train
2007-09-01,57.0,1.1576000000000022,66.52299805863129,68.24572157776083,-1.722723519129545,10.301242807488961,train
2007-10-01,57.0,-0.4831999999999965,-95.23642799492757,69.41703829976598,-164.6534662946936,118.56855804880979,train
2007-11-01,57.0,-2.4402000000000044,-46.25486026583769,-66.5362921353252,20.281431869487562,451.72145820222613,train
2007-12-01,57.0,-1.5270999999999901,263.63213837464,151.95511574469958,111.67702262994044,285.5063834087141,train
2008-01-01,-75.0,-0.7353000000000094,-289.45756724369437,15.382325863284223,-304.8398931069786,40.39336888422804,train
2008-02-01,-75.0,-0.32869999999999777,87.08992626876216,-207.150178220616,294.24010448937815,132.63625680261612,train
2008-03-01,-75.0,-0.1431999999999931,38.786427489251196,179.09122056768229,-140.30479307843115,324.26741024825424,train
2008-04-01,-75.0,0.09529999999999461,-69.73670547319944,151.97357376046443,-221.7102792336638,25.426249004922283,train
2008-05-01,-75.0,-0.008600000000001273,135.59726036562142,-67.03228985665373,202.62955022227516,-45.834974421530205,train
2008-06-01,-76.0,-0.007199999999997431,-90.81880518523974,-28.246703696114082,-62.57210148912566,136.82602205744843,train
2008-07-01,-75.0,-0.1547000000000054,193.23086503992045,58.890424367783226,134.34044067213722,189.0696841880399,train
2008-08-01,-75.0,0.10950000000001125,-87.75179391070196,7.4564753554707295,-95.20826926617269,66.97048792482383,train
