date,gross_reserves_usd_m,usd_lkr,exports_usd_m,imports_usd_m,trade_balance_usd_m,m2_usd_m,split,regime_init_high_vol
2007-02-01,0.05296808571344803,-0.2051818658594788,0.8464500740210933,-0.3950663096211588,0.9438200471666919,-0.1263280857985825,train,0
2007-03-01,0.05497956141091154,0.09438352012342555,0.37029695992302886,0.6983037379475873,-0.4564664205502099,-0.2089741075317039,train,0
2007-04-01,0.05296808571344803,-0.27003415786516544,-0.9108539831828617,0.51468762718445,-1.1050120722623888,-0.20177070744902537,train,0
2007-05-01,0.05296808571344803,0.6499447956024528,0.9103229131200308,0.2232378920640258,0.36824425881388767,-0.8378732082334889,train,0
2007-06-01,0.05296808571344803,-0.20223707654239664,0.23814331422103655,-0.9280335121415394,1.0807585938866553,-0.2715007589806409,train,0
2007-07-01,0.05296808571344803,0.1588342499495066,0.11891204782943778,-0.2099546808324788,0.2867308956198712,-0.619212935050474,train,0
2007-08-01,0.05497956141091154,0.02852732266873925,-0.3062997776440132,0.5872991477390829,-0.784968623182862,-0.23518413581753897,train,0
2007-09-01,0.05296808571344803,0.46094286306989707,0.5628544171011635,0.3588828121393958,0.007281430820728273,-0.5404102823246671,train,0
2007-10-01,0.05296808571344803,-0.637195844081031,-0.8773885828997329,0.3656676268588672,-0.9345680661397009,-0.20907032018907523,train,0
2007-11-01,0.05296808571344803,-1.9469578198820896,-0.4412757592332234,-0.42183769955541345,0.13448027820066152,0.8105067246111067,train,0
2007-12-01,0.05296808571344803,-1.3358471095581446,2.317837520727725,0.8437668055392487,0.6628083869155994,0.30182415069033347,train,0
2008-01-01,-0.21254670635173553,-0.8059188865437098,-2.606658048548171,0.05267328005756209,-1.744940088783133,-0.448316709184684,train,0
2008-02-01,-0.21254670635173553,-0.5337935828335804,0.7459743446926118,-1.2363391457913757,1.718146034579262,-0.16601770766209412,train,0
2008-03-01,-0.21254670635173553,-0.4096439423067017,0.3158987831626881,1.0009518264419754,-0.7938163256779243,0.4204479212781928,train,0
2008-04-01,-0.21254670635173553,-0.2500229759150128,-0.6503489737722613,0.8438737230063188,-1.2643948971556214,-0.49412189908003046,train,0
2008-05-01,-0.21254670635173553,-0.3195601600160471,1.1778647765897603,-0.4247107505221351,1.1885752919257913,-0.712208872228185,train,0
2008-06-01,-0.21455818204919905,-0.3186231815969738,-0.8380557879985532,-0.20004648086595572,-0.344468981993269,-0.1531954015228972,train,0
2008-07-01,-0.21254670635173553,-0.4173405507490769,1.6910119712978728,0.30469255170614035,0.7938182167293029,0.006690460554600942,train,0
2008-08-01,-0.21254670635173553,-0.24051933766442687,-0.8107483127753516,0.006763044013389305,-0.5331280261975281,-0.36698042041686907,train,0
2008-09-01,-0.21254670635173553,-0.2433971999515827,-1.0115551197034998,-0.22835565793495072,-0.42886197469391013,-0.05042973934375,train,0
2008-10-01,-0.21254670635173553,-0.08437857682928794,0.07480034740862043,-0.02957502293570687,0.07807896812947511,-0.6683141029827186,train,0
2008-11-01,-0.21254670635173553,0.886397992357955,-0.17341757652493325,-1.4877710698125552,1.372150343252545,-1.0340677408897332,train,0
2008-12-01,-0.21254670635173553,0.6814004996712548,0.29328269478301616,0.3446602661600143,-0.1535445591743723,-0.2442443967546673,train,0
2009-01-01,0.3969304299797085,1.2403081266469698,-1.7106849279344019,-2.1925008027645574,1.077373557232658,-1.1300336726040727,train,0
2009-02-01,0.3969304299797085,-0.09020122843351644,0.26550031624966963,-0.4784064781977633,0.6498086009811701,-0.23246613727278662,train,0
2009-03-01,0.3969304299797085,-0.19266651126188433,0.9299512799072719,2.3804504536585815,-1.7718322367462085,-0.08905594194726726,train,0
2009-04-01,0.3969304299797085,1.709533533511607,-1.7601156237516458,-2.3702755567884943,1.2226934366248214,-0.9948878065660998,train,0
2009-05-01,0.3969304299797085,-0.7386572214604088,0.8683156391414802,0.8481954887119274,-0.2827140944265303,0.057481848361205345,train,0
2009-06-01,0.3969304299797085,-1.5596510976561901,0.2087991804444725,0.37908544920230797,-0.24275061294465092,0.5588411425658254,train,0
2009-07-01,0.3969304299797085,-0.32069791952491844,0.7454100278459115,0.509106742926716,-0.024112303641494946,0.2503094568174606,train,0
2009-08-01,0.3969304299797085,-0.3709601190050754,0.48808735140651066,-0.5994081791133671,0.9150786734439768,0.09241018865309153,train,0
2009-09-01,0.3969304299797085,-0.27906930690620046,-1.2949105893938153,-0.25921812833841495,-0.5820310260716188,0.09844938620528598,train,0
2009-10-01,0.3969304299797085,-0.30235991332310497,0.5085871816213078,1.3498940082181718,-1.0169449798016847,-0.5775927364208232,train,0
2009-11-01,0.398941905677172,-0.5135816197936297,-0.16896826428962675,-0.6634058026403665,0.5523522991208767,0.4828865303946652,train,0
2009-12-01,0.3969304299797085,-0.4487962548178694,0.9534139241802677,0.87678765677882,-0.2559979408248471,0.5631759074869768,train,0
2010-01-01,0.24606975266994513,-0.2634083819017353,-0.6251027532366288,0.8050966792998183,-1.209305686614689,-0.1979074800593663,train,0
2010-02-01,0.24808122836740865,-0.21408316084065168,0.2070076353910755,-1.5668693338082267,1.6980788153023818,-0.2613498040730309,train,0
2010-03-01,0.24606975266994513,-0.584189636373609,0.6196981718640464,-0.018918960590436615,0.42121979118371394,0.5304132361837227,train,0
2010-04-01,0.24808122836740865,-0.4980545488490267,-2.3482125793618316,0.11130096885028136,-1.635652552977208,-0.40502388927585886,train,0
2010-05-01,0.24606975266994513,-0.39819942018805227,0.532773055130723,0.245056599445049,0.10134554044482477,-0.012872307020934516,train,0
2010-06-01,0.24606975266994513,-0.40884081794750005,0.556801137008461,0.32879744158388,0.033375448851957715,-0.09713211617074262,train,0
2010-07-01,0.24808122836740865,-0.7176421340612565,2.2390668487682786,0.02109771019481311,1.4326605323965713,0.01798717325057049,train,0
2010-08-01,0.24606975266994513,-0.6887965841598575,-0.7077569255535985,-0.15242803600642324,-0.3073938676775026,0.4200409070029913,train,0
2010-09-01,0.24808122836740865,-0.3766489165494322,-0.8263825777355335,-0.11292594766567988,-0.42383328984928453,0.5503329215100222,train,0
2010-10-01,0.24606975266994513,-0.7393934187896746,1.9192260475088658,0.8199531633038707,0.42777484097129326,0.3352587067030758,train,0
2010-11-01,0.24808122836740865,-0.41519888579119635,-1.276141381314652,-0.7614435479590635,-0.06864227873471143,0.0751979534968096,train,0
2010-12-01,0.24606975266994513,-0.6533921853249735,-0.5776882193246775,1.7924222856738257,-2.1638370715697186,1.0119118279052015,train,0
2011-01-01,-0.1381221055455856,-0.439694178746908,1.6812432370560717,0.7698114454925161,0.3233040041635055,0.038533738829302756,train,0
2011-02-01,-0.1381221055455856,-0.32223724121338587,-0.9735257970226516,-1.959783893003667,1.323731425477775,0.29160778493974365,train,0
2011-03-01,-0.1381221055455856,-0.6519197906664325,0.9839661973008427,2.270492692347963,-1.6270291499292815,0.6823599579029416,train,0
2011-04-01,-0.1381221055455856,-0.3735702731724784,-1.6511382817519231,-0.86938086469163,-0.2043916625612825,0.4688220748145155,train,0
2011-05-01,-0.1381221055455856,-0.6149760701430715,0.7495514690564775,1.0809373250381815,-0.5920897385061324,0.24280188935731342,train,0
2011-06-01,-0.1381221055455856,-0.4635871284332066,-0.16937481730500345,-0.12087319092648892,0.010660392980138319,0.5283087019123293,train,0
