date,usd_lkr
2026-02-13,309.3532
2026-02-16,309.2053
2026-02-17,309.2197
2026-02-18,309.3161
2026-02-19,309.378
2026-02-20,309.3069
2026-02-23,309.3762
2026-02-24,309.3789
2026-02-25,309.3711
2026-02-26,309.3486
2026-02-27,309.3091
2026-03-03,309.2363
2026-03-04,310.1116
2026-03-05,310.295
2026-03-06,310.9029
2026-03-09,311.3373
2026-03-10,311.7288
2026-03-11,311.1244
2026-03-12,310.9475
2026-03-13,311.0653
2026-03-16,311.133
2026-03-17,311.3783
2026-03-18,311.3138
2026-03-19,311.3
2026-03-20,311.408
2026-03-23,311.7473
2026-03-24,312.964
2026-03-25,314.2167
2026-03-26,313.5091
2026-03-27,314.386
2026-03-30,314.8755
2026-03-31,315.1909
2026-04-02,315.21
2026-04-06,315.3833
2026-04-07,315.45
2026-04-08,315.4524
2026-04-09,315.2174
2026-04-10,315.55
2026-04-15,315.5893
2026-04-16,315.545
2026-04-17,315.7222
2026-04-20,316.44
2026-04-21,316.4443
2026-04-22,316.4625
2026-04-23,316.7792
