date,gross_reserves_usd_m,scenario
2025-04-01,6358.14423973026,Baseline
2025-05-01,6490.889944305372,Baseline
2025-06-01,6420.197791869193,Baseline
2025-07-01,6464.5084963694035,Baseline
2025-08-01,6441.644658405166,Baseline
2025-09-01,6456.586819877062,Baseline
2025-10-01,6450.305963361051,Baseline
2025-11-01,6455.800337549814,Baseline
2025-12-01,6454.791701574574,Baseline
2026-01-01,6457.35756148229,Baseline
2026-02-01,6457.964258903989,Baseline
2026-03-01,6459.642537182689,Baseline
2025-04-01,6358.14423973026,LKR Depreciation 10%
2025-05-01,6468.591767587266,LKR Depreciation 10%
2025-06-01,6382.249402926175,LKR Depreciation 10%
2025-07-01,6405.905933626982,LKR Depreciation 10%
2025-08-01,6364.781844105147,LKR Depreciation 10%
2025-09-01,6360.071990440322,LKR Depreciation 10%
2025-10-01,6334.878775621195,LKR Depreciation 10%
2025-11-01,6321.0516488345775,LKR Depreciation 10%
2025-12-01,6300.943798136513,LKR Depreciation 10%
2026-01-01,6284.288711451511,LKR Depreciation 10%
2026-02-01,6265.7408954045895,LKR Depreciation 10%
2026-03-01,6248.228351447572,LKR Depreciation 10%
2025-04-01,6358.14423973026,LKR Depreciation 20%
2025-05-01,6446.29359086916,LKR Depreciation 20%
2025-06-01,6344.301013983158,LKR Depreciation 20%
2025-07-01,6347.303370884561,LKR Depreciation 20%
2025-08-01,6287.919029805128,LKR Depreciation 20%
2025-09-01,6263.557161003582,LKR Depreciation 20%
2025-10-01,6219.451587881339,LKR Depreciation 20%
2025-11-01,6186.302960119341,LKR Depreciation 20%
2025-12-01,6147.095894698451,LKR Depreciation 20%
2026-01-01,6111.219861420733,LKR Depreciation 20%
2026-02-01,6073.5175319051905,LKR Depreciation 20%
2026-03-01,6036.814165712455,LKR Depreciation 20%
2025-04-01,6358.14423973026,Export Shock (-15%)
2025-05-01,6509.116483156004,Export Shock (-15%)
2025-06-01,6450.994463515615,Export Shock (-15%)
2025-07-01,6512.2519226865015,Export Shock (-15%)
2025-08-01,6504.139573155997,Export Shock (-15%)
2025-09-01,6535.1391368238,Export Shock (-15%)
2025-10-01,6544.203553884657,Export Shock (-15%)
2025-11-01,6565.442907530536,Export Shock (-15%)
2025-12-01,6579.95941919699,Export Shock (-15%)
2026-01-01,6598.171755990542,Export Shock (-15%)
2026-02-01,6614.358343545355,Export Shock (-15%)
2026-03-01,6631.653042790032,Export Shock (-15%)
2025-04-01,6358.14423973026,Remittance Decline (-20%)
2025-05-01,6463.2414363815415,Remittance Decline (-20%)
2025-06-01,6373.938919963706,Remittance Decline (-20%)
2025-07-01,6392.32671208389,Remittance Decline (-20%)
2025-08-01,6347.517822435948,Remittance Decline (-20%)
2025-09-01,6338.018649655783,Remittance Decline (-20%)
2025-10-01,6308.743983744143,Remittance Decline (-20%)
2025-11-01,6290.394309278285,Remittance Decline (-20%)
2025-12-01,6266.029372653159,Remittance Decline (-20%)
2026-01-01,6244.960657989952,Remittance Decline (-20%)
2026-02-01,6222.0898667491665,Remittance Decline (-20%)
2026-03-01,6200.2025106960955,Remittance Decline (-20%)
2025-04-01,6358.14423973026,Tourism Recovery (+25%)
2025-05-01,6496.192821436749,Tourism Recovery (+25%)
2025-06-01,6429.221540851904,Tourism Recovery (+25%)
2025-07-01,6478.443461454281,Tourism Recovery (+25%)
2025-08-01,6459.921409066143,Tourism Recovery (+25%)
2025-09-01,6479.536491039965,Tourism Recovery (+25%)
2025-10-01,6477.752626439082,Tourism Recovery (+25%)
2025-11-01,6487.841336377236,Tourism Recovery (+25%)
2025-12-01,6491.374162409291,Tourism Recovery (+25%)
2026-01-01,6498.510445378461,Tourism Recovery (+25%)
2026-02-01,6503.671763071198,Tourism Recovery (+25%)
2026-03-01,6509.913299439664,Tourism Recovery (+25%)
2025-04-01,6358.14423973026,Oil Price Shock
2025-05-01,6485.075046515549,Oil Price Shock
2025-06-01,6410.432068429831,Oil Price Shock
2025-07-01,6449.292681652091,Oil Price Shock
2025-08-01,6421.795665815991,Oil Price Shock
2025-09-01,6431.582269165605,Oil Price Shock
2025-10-01,6420.457435605972,Oil Price Shock
2025-11-01,6420.9184777981345,Oil Price Shock
2025-12-01,6414.989330267292,Oil Price Shock
2026-01-01,6412.567767507959,Oil Price Shock
2026-02-01,6408.2263096402885,Oil Price Shock
2026-03-01,6404.933553995076,Oil Price Shock
2025-04-01,6358.14423973026,IMF Tranche Delay
2025-05-01,6474.9897021941615,IMF Tranche Delay
2025-06-01,6393.094321861233,IMF Tranche Delay
2025-07-01,6422.698384414571,IMF Tranche Delay
2025-08-01,6386.770737828209,IMF Tranche Delay
2025-09-01,6387.709806564822,IMF Tranche Delay
2025-10-01,6367.91372242086,IMF Tranche Delay
2025-11-01,6359.628673161516,IMF Tranche Delay
2025-12-01,6344.980835926553,IMF Tranche Delay
2026-01-01,6333.832412782444,IMF Tranche Delay
2026-02-01,6320.764884525703,IMF Tranche Delay
2026-03-01,6308.7475163238,IMF Tranche Delay
2025-04-01,6358.14423973026,Combined Adverse
2025-05-01,6440.73842395411,Combined Adverse
2025-06-01,6335.382687477422,Combined Adverse
2025-07-01,6333.005416373593,Combined Adverse
2025-08-01,6269.564524223881,Combined Adverse
